"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"店舗平均","-","-","13,910","-","-","3,624,145","783,315,421","-","-","21.0%","-","20,303"
"1 沼田店","P_1.00","1,163.4","279","113","429","72,308","16,489,732","36.8%","40.5%","22.8%","109.9%","20,008"
"2 渋川インター店","P_1.00","563.6","124","48","222","35,754","6,531,048","39.4%","38.9%","18.3%","98.9%","20,637"
"3 中之条店","P_1.00","971.4","129","39","373","23,657","5,341,901","38.4%","30.0%","22.6%","78.1%","14,933"
"4 前橋若宮店","P_1.00","766.4","114","60","271","43,166","7,345,032","35.4%","52.7%","17.0%","149.0%","27,262"
"5 前橋大利根店","P_1.00","1,504.9","233","89","530","66,830","14,584,504","35.2%","38.1%","21.8%","108.4%","19,800"
"6 ガーデン前橋店","P_1.00","1,466.1","256","84","442","59,790","12,628,586","30.2%","32.7%","21.1%","108.3%","16,701"
"7 富岡店","P_1.00","336.6","177","76","114","51,549","8,753,593","33.9%","43.2%","17.0%","127.4%","21,986"
"8 安中店","P_1.00","480.6","201","64","117","49,631","9,190,515","24.3%","31.9%","18.5%","131.5%","16,980"
"9 高崎本店","P_1.00","1,223.5","131","77","518","56,876","12,241,100","42.3%","58.3%","21.5%","137.8%","31,356"
"10 倉賀野店","P_1.00","1,094.3","274","74","391","57,534","10,312,392","35.7%","26.9%","17.9%","75.4%","13,492"
"11 金古店","P_1.00","1,145.0","205","87","488","64,246","15,251,412","42.7%","42.2%","23.7%","99.0%","21,543"
"12 伊勢崎店","P_1.00","935.4","211","55","356","38,192","5,678,340","38.0%","25.9%","14.9%","68.2%","12,819"
"13 大間々店","P_1.00","1,468.8","241","96","509","66,337","15,352,367","34.7%","40.0%","23.1%","115.3%","20,016"
"14 館林店","P_1.00","905.7","195","66","233","46,897","10,108,101","25.7%","34.0%","21.6%","132.3%","17,190"
"15 太田矢島店","P_1.00","1,274.7","211","90","478","63,325","12,553,595","37.5%","42.8%","19.8%","114.0%","21,877"
"16 太田店","P_1.00","1,772.7","283","101","624","70,646","12,422,904","35.2%","35.8%","17.6%","101.8%","18,332"
"17 上越店","P_1.00","1,258.3","238","69","353","42,767","9,833,275","28.0%","28.9%","20.6%","103.1%","14,749"
"18 上田店","P_1.09","892.1","159","56","308","39,514","8,820,850","34.6%","35.0%","22.0%","101.2%","17,437"
"19 S熊谷店","P_1.00","1,235.2","240","112","365","84,451","17,051,624","29.6%","46.9%","20.2%","158.6%","24,509"
"20 S鴻巣店","P_1.00","1,213.8","209","63","316","46,832","9,700,627","26.0%","30.4%","20.7%","116.6%","15,043"
"21 S上里店","P_1.00","1,445.1","197","65","385","47,772","9,784,908","26.7%","33.0%","20.5%","123.8%","16,580"
"22 入間店","P_1.00","1,796.5","169","57","622","42,765","11,974,338","34.6%","33.9%","28.0%","98.0%","17,016"
"23 坂戸店","P_1.00","1,054.9","188","89","392","60,993","13,079,331","37.2%","47.6%","21.4%","127.9%","23,801"
"24 花園店","P_1.00","1,137.2","167","84","363","62,015","11,987,720","31.9%","50.5%","19.3%","158.3%","25,836"
"25 杉戸店","P_1.00","1,108.5","165","41","393","32,794","8,337,197","35.4%","24.9%","25.4%","70.2%","12,617"
"26 羽生店","P_1.00","1,064.7","199","43","224","32,141","6,377,900","21.0%","21.8%","19.8%","103.6%","11,054"
"27 千葉みなと店","P_1.00","808.6","216","78","301","61,026","11,723,654","37.3%","36.2%","19.2%","97.2%","18,817"
"28 浜野店","P_1.00","1,132.5","192","76","331","59,728","14,801,903","29.2%","39.3%","24.8%","134.6%","20,484"
"29 佐倉店","P_1.00","1,231.3","197","94","420","66,507","13,206,737","34.1%","47.7%","19.9%","139.9%","24,586"
"30 S東金店","P_1.00","831.6","184","115","314","80,510","13,067,316","37.7%","62.7%","16.2%","166.0%","32,925"
"32 旭店","P_1.00","926.3","184","44","238","31,660","7,495,140","25.7%","23.8%","23.7%","92.6%","11,712"
"33 妙典駅前店","P_1.00","860.5","134","52","338","43,696","10,370,152","39.3%","39.1%","23.7%","99.4%","21,225"
"34 ＷＡＫＯ鹿島店","P_1.00","671.9","217","88","194","53,563","10,777,475","28.8%","40.6%","19.5%","140.9%","20,713"
"35 神栖店","P_1.00","852.7","177","56","265","36,670","8,310,622","31.1%","31.8%","22.2%","102.2%","16,025"
"36 立川店","P_1.00","785.0","141","40","302","28,171","8,241,863","38.4%","28.7%","28.3%","74.7%","15,306"
"37 新小岩店","P_1.00","1,592.1","246","92","497","57,649","13,878,916","31.2%","37.2%","23.4%","119.3%","19,151"
"38 八王子北野店","P_1.12","1,019.5","41","14","381","12,352","2,865,429","37.4%","32.7%","22.4%","87.3%","18,303"
"40 錦糸町店","P_1.00","658.5","114","49","246","35,273","11,988,126","37.3%","43.0%","33.3%","115.3%","23,416"
"41 座間店","P_1.00","760.0","253","85","334","65,257","15,190,614","43.9%","33.8%","23.3%","77.0%","17,797"
"42 平塚駅前店","P_1.00","993.8","193","64","369","48,036","10,182,741","37.1%","33.1%","21.2%","89.4%","17,441"
"43 上永谷店","P_1.00","724.2","129","45","307","33,528","7,958,770","42.4%","34.9%","23.7%","82.2%","17,887"
"44 姫路店　","P_1.02","903.4","201","62","318","36,961","8,204,884","35.2%","30.6%","22.0%","86.8%","14,890"
"45 新開地店","P_1.00","894.6","229","123","390","68,141","11,631,613","43.6%","53.8%","16.8%","123.6%","27,087"
"46 仙台東店","P_1.00","1,111.1","180","74","340","53,224","11,865,863","30.6%","41.2%","21.8%","134.6%","22,640"
"47 仙台泉店","P_1.00","944.2","167","89","352","62,247","11,644,965","37.3%","53.0%","18.4%","142.2%","29,229"
"48 福岡本店","P_1.00","1,960.6","200","99","802","58,115","15,344,011","40.9%","49.4%","24.8%","120.9%","26,441"
"49 筑紫野店","P_1.00","2,265.7","377","161","845","100,805","24,429,198","37.3%","42.7%","22.7%","114.6%","22,592"
"50 福重店","P_1.00","1,740.2","200","95","752","59,464","15,395,367","43.2%","47.3%","24.8%","109.6%","25,050"
"51 伊都店","P_1.00","1,669.2","239","80","662","51,334","12,155,933","39.7%","33.5%","22.7%","84.6%","18,007"
"52 飯塚店","P_1.00","1,904.4","309","124","715","66,925","13,820,116","37.6%","40.2%","19.1%","107.0%","19,988"
"53 中間店","P_1.00","1,339.6","205","87","493","46,412","9,532,366","36.8%","42.6%","19.1%","115.8%","21,450"
"54 門司店","P_1.00","587.4","203","66","175","34,528","8,546,978","29.9%","32.4%","23.2%","108.3%","16,119"
"55 松浦店","P_1.00","339.2","199","37","57","23,018","7,708,563","16.8%","18.8%","31.8%","111.8%","9,475"
"56 佐々インター店","P_1.00","1,423.6","191","120","548","63,036","11,526,313","38.5%","62.6%","15.8%","162.5%","31,329"
"57 大野店","P_1.00","601.5","195","65","140","37,783","8,906,673","23.3%","33.2%","22.1%","142.8%","16,491"
"58 佐世保南店","P_1.00","1,215.2","179","95","567","53,924","13,581,048","46.7%","52.9%","23.9%","113.3%","27,297"
"59 大村店","P_1.00","823.4","206","93","280","47,804","10,897,231","34.0%","45.0%","21.1%","132.3%","23,295"
"60 諫早店","P_1.00","1,449.2","319","133","575","75,855","17,530,910","39.7%","41.7%","21.7%","105.2%","21,406"
"61 長与店","P_1.00","591.8","212","113","302","62,856","15,612,872","51.1%","53.2%","23.1%","104.2%","26,856"
"62 女神店","P_1.00","1,259.9","317","159","449","87,734","21,338,744","35.7%","50.3%","22.3%","141.0%","24,960"
"63 大分本店","P_1.00","1,815.0","262","105","583","58,564","12,649,559","32.1%","40.0%","20.1%","124.6%","20,738"
"64 南大分店","P_1.00","869.9","262","112","339","61,120","11,629,462","38.9%","42.7%","17.8%","109.7%","22,120"
"65 日向店","P_1.00","1,221.7","272","121","414","65,322","14,211,905","33.9%","44.6%","19.3%","131.6%","22,057"
"66 都城店","P_1.00","1,878.9","273","90","829","48,697","10,643,550","44.1%","32.9%","20.1%","74.5%","17,341"
"67 大淀店","P_1.00","1,651.6","311","154","833","82,951","16,622,649","50.4%","49.7%","18.9%","98.6%","25,350"
"68 延岡店","P_1.00","1,096.7","212","99","447","53,355","10,042,798","40.8%","46.8%","17.1%","114.7%","23,863"
"69 松橋インター店","P_1.00","1,057.0","172","53","395","31,281","6,058,800","37.4%","30.6%","19.4%","82.0%","15,750"
"70 八代店","P_1.00","1,738.6","240","103","607","60,284","9,990,700","34.9%","42.8%","16.6%","122.7%","21,173"
