"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"店舗平均","-","-","573","-","-","52,124","14,330,751","-","-","26.4%","-","26,616"
"2 渋川インター店","P_0.20","16.1","16","13","13","2,220","476,641","78.1%","78.1%","21.5%","100.0%","41,762"
"3 中之条店","P_0.20","40.2","24","13","26","1,719","336,608","64.7%","55.8%","19.6%","86.2%","27,743"
"5 前橋大利根店","P_0.20","86.7","51","43","57","6,659","1,612,808","66.3%","83.9%","24.2%","126.5%","44,127"
"16 太田店","P_0.20","69.0","69","41","41","5,294","1,206,339","59.2%","59.2%","22.8%","100.0%","29,402"
"17 上越店","P_0.20","172.1","78","41","71","5,159","1,612,777","41.1%","52.7%","26.6%","128.3%","25,883"
"27 千葉みなと店","P_0.20","42.4","42","27","27","4,324","1,017,075","63.5%","63.5%","23.5%","100.0%","32,357"
"32 旭店","P_0.20","100.4","36","21","24","2,899","776,122","23.5%","57.9%","26.8%","247.0%","27,486"
"36 立川店","P_0.50","127.4","59","12","37","4,014","961,946","29.1%","20.3%","22.6%","69.8%","10,372"
"42 平塚駅前店","P_0.50","134.0","35","17","58","5,514","1,506,827","43.5%","47.7%","27.3%","109.7%","24,083"
"43 上永谷店","P_0.50","90.0","49","16","30","6,208","2,115,370","33.1%","31.7%","34.1%","95.9%","15,303"
"51 伊都店","P_0.20","78.9","79","42","42","5,459","1,891,548","52.9%","52.9%","31.5%","100.0%","26,701"
"55 松浦店","P_0.20","60.0","40","21","28","2,655","816,690","46.1%","52.2%","27.4%","113.1%","26,608"
