"店舗名","アウト","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト支持率"
"店舗平均","-","-","62,852","-","-","36,255,230","5,730,615,871","-","-","15.3%","-","-"
"1 沼田店","-","3,716.3","765","274","1,128","445,397","80,113,775","30.3%","35.9%","18.0%","118.2%","-"
"2 渋川インター店","-","1,918.6","707","222","630","437,516","69,274,964","32.8%","31.4%","15.8%","95.7%","-"
"3 中之条店","-","3,140.3","457","112","1,017","154,809","24,093,151","32.4%","24.6%","15.6%","75.9%","-"
"4 前橋若宮店","-","4,055.2","592","191","1,208","420,607","57,487,576","29.8%","32.2%","13.7%","108.1%","-"
"5 前橋大利根店","-","5,778.0","1,204","383","1,943","652,860","106,880,587","33.6%","31.8%","16.4%","94.5%","-"
"6 ガーデン前橋店","-","5,814.4","1,096","325","1,791","651,087","94,599,299","30.8%","29.7%","14.5%","96.3%","-"
"7 富岡店","-","1,240.3","709","223","305","400,888","68,080,739","24.6%","31.4%","17.0%","128.0%","-"
"8 安中店","-","1,990.1","793","221","347","384,631","60,426,775","17.4%","27.9%","15.7%","159.9%","-"
"9 高崎本店","-","6,359.0","995","424","2,343","975,511","125,704,912","36.8%","42.6%","12.9%","115.6%","-"
"10 倉賀野店","-","3,843.8","974","273","1,177","449,906","63,945,992","30.6%","28.1%","14.2%","91.6%","-"
"11 金古店","-","4,943.5","996","314","1,688","641,688","97,250,829","34.1%","31.6%","15.2%","92.5%","-"
"12 伊勢崎店","-","4,487.9","841","197","1,467","339,079","43,974,704","32.7%","23.4%","13.0%","71.6%","-"
"13 大間々店","-","4,118.7","990","307","1,160","538,600","79,036,539","28.2%","31.0%","14.7%","110.1%","-"
"14 館林店","-","3,279.4","878","244","703","465,093","69,621,583","21.4%","27.8%","15.0%","129.9%","-"
"15 太田矢島店","-","5,770.0","820","277","1,908","532,087","84,065,692","33.1%","33.8%","15.8%","102.1%","-"
"16 太田店","-","7,112.0","1,326","438","2,237","711,702","65,497,920","31.4%","33.1%","9.2%","105.1%","-"
"17 上越店","-","4,943.7","1,353","355","1,330","514,420","97,371,632","26.9%","26.3%","15.9%","97.7%","-"
"18 上田店","-","4,693.5","846","207","1,376","396,370","57,147,350","29.3%","24.4%","14.1%","83.3%","-"
"19 S熊谷店","-","5,525.1","1,030","407","1,372","824,118","120,216,106","24.8%","39.5%","14.6%","159.0%","-"
"20 S鴻巣店","-","4,608.0","1,054","307","1,325","619,581","84,157,847","28.8%","29.1%","13.6%","101.2%","-"
"21 S上里店","-","4,969.8","996","279","1,097","513,071","73,668,755","22.1%","28.1%","14.4%","127.1%","-"
"22 入間店","-","6,692.3","996","256","2,059","494,581","73,693,968","30.8%","25.7%","14.9%","83.5%","-"
"23 坂戸店","-","4,610.2","944","393","1,474","811,015","121,609,079","32.0%","41.7%","15.0%","130.3%","-"
"24 花園店","-","4,962.3","896","339","1,142","775,760","133,387,948","23.0%","37.8%","17.2%","164.4%","-"
"25 杉戸店","-","4,972.6","813","196","1,568","383,537","64,913,852","31.5%","24.1%","16.9%","76.6%","-"
"26 羽生店","-","3,848.7","797","166","822","313,192","53,728,405","21.3%","20.8%","17.2%","97.7%","-"
"27 千葉みなと店","-","5,555.4","1,107","329","2,123","483,426","75,081,069","38.2%","29.7%","15.5%","77.8%","-"
"28 浜野店","-","6,231.7","920","334","1,964","674,497","98,079,787","31.5%","36.3%","14.5%","115.2%","-"
"29 佐倉店","-","5,430.6","825","321","1,653","628,102","89,058,405","30.4%","39.0%","14.2%","128.0%","-"
"30 S東金店","-","3,879.0","951","507","1,308","980,383","54,576,065","33.7%","53.3%","5.6%","157.9%","-"
"32 旭店","-","2,615.2","703","151","610","249,073","41,566,894","23.3%","21.5%","16.7%","92.2%","-"
"33 妙典駅前店","-","4,929.0","641","239","1,709","504,580","74,710,262","34.7%","37.2%","14.8%","107.5%","-"
"34 ＷＡＫＯ鹿島店","-","4,184.2","837","283","986","517,958","88,766,608","23.6%","33.8%","16.8%","143.4%","-"
"35 神栖店","-","5,456.1","898","268","1,524","512,829","88,792,345","27.9%","29.8%","16.8%","106.8%","-"
"36 立川店","-","5,236.7","1,001","202","1,783","346,884","61,956,518","34.1%","20.2%","16.8%","59.2%","-"
"37 新小岩店","-","6,256.1","750","225","1,959","383,157","77,232,407","31.3%","29.9%","19.5%","95.6%","-"
"38 八王子北野店","-","5,484.6","618","167","1,897","307,534","52,062,727","34.6%","27.1%","15.9%","78.2%","-"
"40 錦糸町店","-","4,989.8","998","421","1,835","973,600","144,288,859","36.8%","42.2%","14.1%","114.7%","-"
"41 座間店","-","4,290.7","1,031","275","1,758","461,766","72,690,522","41.0%","26.7%","15.7%","65.2%","-"
"42 平塚駅前店","-","4,757.3","993","305","1,504","599,936","103,614,722","31.6%","30.7%","17.3%","97.1%","-"
"43 上永谷店","-","3,925.8","639","153","1,213","240,672","33,283,816","30.9%","24.0%","13.8%","77.7%","-"
"44 姫路店　","-","4,163.1","912","299","1,355","489,900","67,094,177","32.6%","32.8%","13.5%","100.7%","-"
"45 新開地店","-","4,374.7","1,338","580","1,641","1,021,302","123,997,061","37.5%","43.4%","11.9%","115.6%","-"
"46 仙台東店","-","5,245.5","830","281","1,513","595,124","95,225,552","28.9%","33.9%","15.6%","117.4%","-"
"47 仙台泉店","-","5,624.5","913","340","1,885","740,086","120,437,042","33.5%","37.3%","16.0%","111.3%","-"
"48 福岡本店","-","9,578.2","1,198","422","3,070","737,928","122,079,296","32.1%","35.2%","15.1%","109.9%","-"
"49 筑紫野店","-","9,735.1","1,764","557","3,207","913,199","159,739,102","32.9%","31.6%","16.2%","95.9%","-"
"50 福重店","-","8,595.9","998","373","3,024","653,803","128,159,092","35.2%","37.3%","18.6%","106.1%","-"
"51 伊都店","-","6,010.9","998","280","2,088","353,095","71,825,272","34.7%","28.0%","19.2%","80.6%","-"
"52 飯塚店","-","7,031.9","1,256","355","2,300","524,125","98,265,078","32.7%","28.3%","17.1%","86.5%","-"
