"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"店舗平均","-","-","25,099","-","-","19,543,609","2,487,278,373","-","-","12.0%","-","9,061"
"1 沼田店","S_21.74","1,060.1","227","99","368","229,329","38,391,587","34.7%","43.4%","16.7%","124.9%","10,676"
"2 渋川インター店","S_21.74","522.3","282","107","202","252,106","33,726,218","38.6%","38.0%","13.4%","98.5%","9,685"
"3 中之条店","S_21.74","900.1","151","36","336","80,610","10,366,585","37.3%","23.6%","12.9%","63.4%","5,795"
"4 前橋若宮店","S_21.74","1,526.2","194","74","577","196,384","22,620,413","37.8%","37.9%","11.5%","100.2%","10,309"
"5 前橋大利根店","S_21.74","1,856.3","493","169","785","393,333","54,964,588","42.3%","34.2%","14.0%","81.0%","8,658"
"6 ガーデン前橋店","S_21.74","2,050.9","419","148","791","353,758","40,282,219","38.6%","35.4%","11.4%","91.9%","8,913"
"7 富岡店","S_21.74","394.9","247","91","116","204,481","30,094,239","29.4%","36.9%","14.7%","125.6%","8,858"
"8 安中店","S_21.74","653.7","240","86","137","193,479","23,578,195","21.0%","35.9%","12.2%","171.3%","8,893"
"9 高崎本店","S_21.74","2,565.3","446","216","1,113","537,568","58,828,523","43.4%","48.4%","10.9%","111.7%","12,973"
"10 倉賀野店","S_21.74","1,125.1","335","123","413","279,634","31,799,260","36.7%","36.7%","11.4%","99.7%","9,178"
"11 金古店","S_21.74","1,532.4","367","141","661","339,947","44,852,717","43.1%","38.3%","13.2%","88.9%","9,793"
"12 伊勢崎店","S_21.74","1,890.7","339","85","734","206,656","24,120,240","38.8%","25.2%","11.7%","64.8%","6,434"
"13 大間々店","S_21.74","941.4","374","129","297","299,875","32,672,195","31.6%","34.6%","10.9%","109.4%","8,522"
"14 館林店","S_21.74","1,192.0","387","117","296","269,383","31,196,999","24.9%","30.2%","11.6%","121.3%","7,470"
"15 太田矢島店","S_21.74","2,248.9","346","123","835","304,209","38,163,130","37.1%","35.6%","12.5%","95.8%","9,022"
"16 太田店","S_21.74","2,830.9","564","197","1,035","429,525","20,470,783","36.6%","34.9%","4.8%","95.4%","8,809"
"17 上越店","S_20.00","1,702.9","600","177","550","343,453","59,401,679","32.3%","29.4%","13.7%","91.1%","7,731"
"18 上田店","S_21.74","2,089.5","382","90","706","185,408","20,412,600","33.8%","23.6%","10.5%","70.0%","5,803"
"19 S熊谷店","S_21.74","2,150.1","420","185","585","435,023","49,473,847","27.2%","44.1%","11.4%","161.9%","10,995"
"20 S鴻巣店","S_21.74","1,693.8","455","154","568","365,907","37,701,672","33.5%","34.0%","10.3%","101.3%","8,583"
"21 S上里店","S_21.74","1,598.4","399","125","403","295,775","40,468,737","25.2%","31.3%","13.7%","124.1%","7,867"
"22 入間店","S_21.74","2,537.6","436","128","763","295,520","33,446,218","30.1%","29.4%","11.3%","97.6%","7,389"
"23 坂戸店","S_21.74","1,755.7","379","166","619","378,495","45,940,089","35.2%","43.9%","12.1%","124.7%","10,988"
"24 花園店","S_21.74","1,761.2","397","163","432","388,146","54,315,524","24.5%","41.0%","14.0%","167.2%","10,226"
"25 杉戸店","S_21.74","1,611.9","342","99","547","236,239","33,381,718","33.9%","28.9%","14.1%","85.1%","7,398"
"26 羽生店","S_21.74","1,243.0","320","75","297","178,544","24,055,413","23.9%","23.3%","13.5%","97.7%","5,814"
"27 千葉みなと店","S_21.74","2,287.8","377","97","1,062","240,509","26,988,740","46.4%","25.7%","11.2%","55.5%","6,550"
"28 浜野店","S_21.74","2,306.1","324","148","907","342,131","36,874,544","39.3%","45.7%","10.8%","116.3%","11,785"
"29 佐倉店","S_21.74","1,983.1","308","138","645","315,876","33,763,281","32.5%","44.9%","10.7%","138.0%","11,430"
