"店舗名","アウト","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト支持率"
"店舗平均","-","-","61,820","-","-","38,134,278","6,051,879,994","-","-","15.3%","-","-"
"1 沼田店","-","3,672.0","766","244","1,045","428,902","75,537,639","28.5%","31.8%","17.6%","111.8%","-"
"2 渋川インター店","-","1,877.3","712","230","597","439,402","67,504,401","31.8%","32.3%","15.4%","101.5%","-"
"3 中之条店","-","3,099.2","456","100","941","145,776","29,701,019","30.4%","22.0%","20.4%","72.4%","-"
"4 前橋若宮店","-","4,980.5","598","183","1,571","441,021","72,995,219","31.6%","30.6%","16.6%","96.9%","-"
"5 前橋大利根店","-","6,628.2","1,209","405","2,339","708,336","112,111,661","35.3%","33.5%","15.8%","94.9%","-"
"6 ガーデン前橋店","-","5,769.8","1,093","317","1,779","673,269","95,876,510","30.8%","29.1%","14.2%","94.2%","-"
"7 富岡店","-","1,238.8","708","209","289","409,357","63,986,095","23.3%","29.5%","15.6%","126.7%","-"
"8 安中店","-","1,985.2","788","213","333","395,847","60,254,339","16.8%","27.0%","15.2%","161.1%","-"
"9 高崎本店","-","6,287.4","992","450","2,425","1,073,107","133,214,927","38.6%","45.3%","12.4%","117.6%","-"
"10 倉賀野店","-","3,769.8","974","279","1,176","449,190","59,521,467","31.2%","28.6%","13.3%","91.7%","-"
"11 金古店","-","4,870.6","997","298","1,702","628,474","104,332,289","35.0%","29.9%","16.6%","85.7%","-"
"12 伊勢崎店","-","3,227.4","720","162","967","317,644","56,611,402","30.0%","22.6%","17.8%","75.3%","-"
"13 大間々店","-","4,077.7","983","298","1,155","527,028","78,333,216","28.3%","30.3%","14.9%","107.0%","-"
"14 館林店","-","3,262.9","865","239","731","484,814","74,012,695","22.4%","27.6%","15.3%","123.2%","-"
"15 太田矢島店","-","5,402.8","822","299","1,831","590,666","81,940,106","33.9%","36.3%","13.9%","107.2%","-"
"16 太田店","-","5,922.8","1,045","342","1,905","596,905","90,657,256","32.2%","32.7%","15.2%","101.7%","-"
"17 上越店","-","4,926.6","1,337","386","1,325","595,342","101,148,455","26.9%","28.8%","13.8%","107.3%","-"
"18 上田店","-","3,768.0","788","256","965","499,808","80,979,696","25.6%","32.5%","15.8%","126.7%","-"
"19 S熊谷店","-","5,572.4","1,027","429","1,397","876,572","128,057,394","25.1%","41.8%","14.6%","166.6%","-"
"20 S鴻巣店","-","4,595.4","1,035","342","1,309","717,512","105,198,025","28.5%","33.0%","14.7%","116.0%","-"
"21 S上里店","-","4,903.3","986","292","1,103","529,003","75,159,913","22.5%","29.6%","14.2%","131.5%","-"
"22 入間店","-","6,658.9","998","267","2,058","527,027","82,664,371","30.9%","26.8%","15.7%","86.6%","-"
"23 坂戸店","-","4,596.2","937","388","1,422","835,348","121,402,425","30.9%","41.4%","14.5%","133.8%","-"
"24 花園店","-","4,955.7","896","381","1,257","902,666","141,439,258","25.4%","42.5%","15.7%","167.6%","-"
"25 杉戸店","-","4,971.1","813","206","1,538","407,175","67,964,870","30.9%","25.3%","16.7%","81.8%","-"
"26 羽生店","-","3,832.4","793","190","824","351,797","50,264,436","21.5%","24.0%","14.3%","111.6%","-"
"27 千葉みなと店","-","5,440.5","999","328","2,101","475,493","84,447,660","38.6%","32.9%","17.8%","85.1%","-"
"28 浜野店","-","6,242.8","916","368","1,978","764,442","96,282,719","31.7%","40.2%","12.6%","126.9%","-"
"29 佐倉店","-","5,428.6","823","298","1,615","632,990","87,328,688","29.7%","36.2%","13.8%","121.7%","-"
"30 S東金店","-","3,880.0","952","511","1,343","1,025,590","-8,686,069","34.6%","53.7%","-0.8%","155.0%","-"
"32 旭店","-","2,601.3","702","156","606","263,345","44,401,944","23.3%","22.2%","16.9%","95.5%","-"
"33 妙典駅前店","-","4,723.6","635","228","1,553","505,554","73,231,784","32.9%","36.0%","14.5%","109.4%","-"
"34 ＷＡＫＯ鹿島店","-","4,177.6","837","286","1,033","530,131","95,069,580","24.7%","34.2%","17.6%","138.1%","-"
"35 神栖店","-","5,449.1","894","294","1,550","558,210","101,797,671","28.5%","32.9%","17.8%","115.7%","-"
"36 立川店","-","4,894.6","996","262","1,694","481,425","73,209,461","34.6%","26.4%","14.2%","76.2%","-"
"37 新小岩店","-","6,260.0","753","250","1,947","451,052","91,462,985","31.1%","33.2%","19.6%","106.8%","-"
"38 八王子北野店","-","5,482.0","615","172","1,806","323,072","52,564,904","32.9%","27.9%","15.3%","84.7%","-"
"40 錦糸町店","-","4,983.8","988","457","1,877","1,100,191","177,437,208","37.7%","46.3%","15.3%","122.8%","-"
"41 座間店","-","5,376.2","1,026","254","2,216","464,270","78,267,485","41.2%","24.8%","16.9%","60.1%","-"
"42 平塚駅前店","-","4,747.6","995","316","1,493","647,881","110,036,204","31.4%","31.8%","17.0%","101.1%","-"
"43 上永谷店","-","3,926.3","639","152","1,189","251,123","43,237,938","30.3%","23.8%","17.2%","78.5%","-"
"44 姫路店　","-","4,159.4","908","272","1,332","472,970","70,019,118","32.0%","30.0%","14.6%","93.6%","-"
"45 新開地店","-","4,406.8","1,336","563","1,616","1,003,687","133,092,545","36.7%","42.2%","13.1%","115.0%","-"
"46 仙台東店","-","5,248.2","833","292","1,447","636,758","103,137,438","27.6%","35.1%","15.9%","127.3%","-"
"47 仙台泉店","-","5,621.3","909","340","1,785","819,432","140,645,924","31.7%","37.4%","16.9%","117.9%","-"
"48 福岡本店","-","9,547.0","1,166","399","2,905","709,917","124,713,889","30.4%","34.2%","16.2%","112.5%","-"
"49 筑紫野店","-","9,661.8","1,693","571","3,287","953,725","166,950,440","34.0%","33.7%","16.3%","99.1%","-"
