"店舗名","アウト","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト支持率"
"50 福重店","-","8,590.4","995","371","2,911","676,556","135,951,070","33.9%","37.3%","19.0%","110.0%","-"
"51 伊都店","-","6,003.7","997","274","2,064","356,023","75,352,430","34.4%","27.4%","20.1%","79.8%","-"
"52 飯塚店","-","6,954.9","1,200","370","2,195","563,780","100,601,467","31.6%","30.8%","16.3%","97.7%","-"
"53 中間店","-","6,526.2","842","266","1,970","400,194","66,938,016","30.2%","31.6%","15.4%","104.7%","-"
"54 門司店","-","1,978.7","634","163","471","226,431","46,042,353","23.8%","25.6%","19.0%","107.8%","-"
"55 松浦店","-","1,122.4","719","124","188","152,824","38,553,524","16.8%","17.3%","24.1%","102.9%","-"
"56 佐々インター店","-","5,486.4","1,016","429","1,624","755,604","149,470,663","29.6%","42.2%","18.1%","142.6%","-"
"57 大野店","-","1,831.7","603","164","389","239,380","55,227,134","21.2%","27.2%","21.8%","128.0%","-"
"58 佐世保南店","-","4,579.1","816","351","1,607","591,456","124,046,873","35.1%","43.0%","19.8%","122.5%","-"
"59 大村店","-","2,803.0","735","281","851","470,362","79,460,093","30.4%","38.2%","15.3%","125.7%","-"
"60 諫早店","-","5,598.1","1,193","374","1,803","601,774","122,229,005","32.2%","31.4%","19.0%","97.4%","-"
"61 長与店","-","2,274.1","845","321","925","513,071","97,122,098","40.7%","38.0%","17.2%","93.4%","-"
"62 女神店","-","4,093.1","1,267","462","1,197","727,317","163,127,673","29.2%","36.5%","20.8%","124.8%","-"
"63 大分本店","-","7,969.6","995","299","2,068","365,025","62,550,668","26.0%","30.1%","15.7%","115.8%","-"
"64 南大分店","-","4,337.8","995","309","1,268","510,566","85,928,481","29.2%","31.0%","15.5%","106.1%","-"
"65 日向店","-","3,775.4","993","329","999","485,679","80,586,254","26.5%","33.2%","14.4%","125.4%","-"
"66 都城店","-","6,576.2","1,035","264","2,266","412,579","70,269,388","34.5%","25.5%","15.3%","74.0%","-"
"67 大淀店","-","7,474.5","1,336","528","2,623","790,504","94,989,362","35.1%","39.5%","10.6%","112.7%","-"
"68 延岡店","-","3,576.0","996","333","1,052","558,692","106,713,011","29.4%","33.4%","17.7%","113.5%","-"
"69 松橋インター店","-","3,300.1","828","227","1,044","427,684","64,448,467","31.6%","27.5%","15.1%","86.8%","-"
"70 八代店","-","4,836.9","996","370","1,368","685,534","82,753,364","28.3%","37.1%","12.1%","131.4%","-"
