"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"店舗平均","-","-","23,677","-","-","19,205,910","2,418,913,124","-","-","11.9%","-","9,034"
"1 沼田店","S_21.74","1,022.0","228","88","330","214,006","31,127,804","32.3%","38.5%","14.5%","119.3%","9,568"
"2 渋川インター店","S_21.74","486.8","247","96","181","234,564","26,069,370","37.3%","38.9%","11.1%","104.4%","9,783"
"3 中之条店","S_21.74","865.2","150","31","300","70,562","12,603,087","34.7%","20.8%","17.9%","59.8%","4,905"
"4 前橋若宮店","S_21.74","1,769.4","197","68","715","188,425","25,577,564","40.4%","34.6%","13.6%","85.7%","9,312"
"5 前橋大利根店","S_21.74","2,028.0","493","170","918","410,036","53,502,914","45.2%","34.6%","13.0%","76.4%","8,657"
"6 ガーデン前橋店","S_21.74","1,931.7","419","144","775","345,542","37,327,283","40.1%","34.2%","10.8%","85.4%","8,528"
"7 富岡店","S_21.74","365.8","246","84","108","198,057","27,851,325","29.6%","34.1%","14.1%","115.6%","8,186"
"8 安中店","S_21.74","598.1","212","83","131","195,763","23,191,416","22.0%","39.1%","11.8%","178.1%","9,666"
"9 高崎本店","S_21.74","2,423.7","427","224","1,110","557,962","54,980,460","45.8%","52.4%","9.9%","114.4%","13,817"
"10 倉賀野店","S_21.74","1,044.2","322","112","390","259,817","27,863,651","37.3%","34.9%","10.7%","93.5%","8,541"
"11 金古店","S_21.74","1,421.5","364","123","656","309,972","43,398,827","46.1%","33.8%","14.0%","73.3%","8,511"
"12 伊勢崎店","S_21.74","1,269.2","268","67","429","173,755","19,063,242","33.8%","25.1%","11.0%","74.4%","6,430"
"13 大間々店","S_21.74","865.1","332","119","278","275,820","28,791,696","32.1%","35.7%","10.4%","111.1%","8,675"
"14 館林店","S_21.74","1,192.4","359","107","299","264,186","35,720,977","25.0%","29.8%","13.5%","119.2%","7,397"
"15 太田矢島店","S_21.74","1,959.1","346","133","773","336,486","41,419,500","39.4%","38.3%","12.3%","97.2%","9,633"
"16 太田店","S_21.74","2,095.1","355","129","791","319,516","35,770,871","37.7%","36.3%","11.2%","96.2%","9,183"
"17 上越店","S_20.00","1,631.4","575","207","537","402,245","55,464,228","32.9%","35.9%","10.0%","109.3%","9,530"
"18 上田店","S_21.74","1,470.6","328","107","446","226,025","23,312,060","30.3%","32.6%","9.8%","107.4%","8,017"
"19 S熊谷店","S_21.74","2,351.2","395","183","583","438,575","53,498,348","24.8%","46.4%","12.2%","187.2%","11,272"
"20 S鴻巣店","S_21.74","1,674.9","439","162","544","384,759","43,613,393","32.5%","36.8%","11.3%","113.5%","9,102"
"21 S上里店","S_21.74","1,620.5","388","130","410","295,255","35,964,412","25.3%","33.6%","12.2%","133.0%","8,377"
"22 入間店","S_21.74","2,488.1","426","124","748","297,370","36,618,717","30.1%","29.1%","12.3%","96.9%","7,359"
"23 坂戸店","S_21.74","1,725.2","372","160","538","372,022","45,137,956","31.2%","43.0%","12.1%","138.0%","10,371"
"24 花園店","S_21.74","1,948.1","354","157","448","383,450","52,128,239","23.0%","44.4%","13.6%","193.4%","10,932"
"25 杉戸店","S_21.74","1,570.2","341","101","520","240,852","30,893,937","33.1%","29.7%","12.8%","89.7%","7,414"
"26 羽生店","S_21.74","1,211.9","317","81","284","189,985","19,363,259","23.5%","25.4%","10.2%","108.4%","6,458"
"27 千葉みなと店","S_21.74","2,194.9","288","81","1,008","211,815","29,323,217","45.9%","28.1%","13.8%","61.2%","7,166"
"28 浜野店","S_21.74","2,332.4","325","150","877","355,184","33,426,585","37.6%","46.1%","9.4%","122.5%","11,690"
"29 佐倉店","S_21.74","1,978.2","287","116","601","282,978","26,432,283","30.4%","40.3%","9.3%","132.6%","10,199"
"30 S東金店","S_21.74","1,411.6","420","239","549","499,874","-31,596,262","38.9%","56.9%","-6.3%","146.3%","14,931"
"32 旭店","S_21.74","536.6","220","53","125","145,747","19,452,565","23.3%","24.3%","13.3%","104.5%","5,919"
"33 妙典駅前店","S_21.74","1,970.0","310","107","707","280,763","39,611,086","35.9%","34.7%","14.1%","96.6%","9,002"
"34 ＷＡＫＯ鹿島店","S_21.74","1,767.1","249","83","451","176,372","32,495,028","25.5%","33.5%","17.9%","131.1%","8,417"
"35 神栖店","S_21.74","2,341.4","365","146","723","302,178","48,961,335","30.9%","40.0%","15.6%","129.6%","10,288"
"36 立川店","S_21.74","1,986.2","359","127","725","268,562","24,673,435","36.5%","35.4%","7.9%","97.1%","9,230"
