"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"店舗平均","-","-","93","-","-","24,500","4,279,292","-","-","16.6%","-","17,758"
"10 倉賀野店","S_2.50","30.1","30","25","25","10,878","1,201,056","82.0%","82.0%","11.0%","100.0%","19,833"
"27 千葉みなと店","S_2.50","27.3","24","21","22","5,454","873,443","81.3%","84.9%","16.0%","104.4%","18,845"
"63 大分本店","S_2.50","156.0","40","26","87","8,169","2,204,793","56.0%","64.1%","24.5%","114.5%","15,462"
