"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"店舗平均","-","-","14,182","-","-","3,954,982","880,547,350","-","-","21.6%","-","20,589"
"1 沼田店","P_1.00","1,188.0","285","98","403","70,077","16,784,161","33.9%","34.5%","24.0%","101.7%","17,597"
"2 渋川インター店","P_1.00","583.4","143","53","215","41,093","9,219,149","36.8%","36.7%","22.4%","99.5%","18,900"
"3 中之条店","P_1.00","996.0","127","37","350","24,348","5,886,738","35.1%","28.7%","24.2%","81.6%","14,242"
"4 前橋若宮店","P_1.00","992.7","121","58","349","45,994","9,246,061","35.1%","48.0%","20.1%","136.5%","25,582"
"5 前橋大利根店","P_1.00","1,727.3","236","93","605","73,174","15,573,918","35.0%","39.4%","21.3%","112.4%","20,335"
"6 ガーデン前橋店","P_1.00","1,500.5","251","82","446","60,869","12,958,595","29.7%","32.8%","21.3%","110.3%","16,205"
"7 富岡店","P_1.00","261.9","142","70","104","50,054","9,769,489","39.7%","49.1%","19.5%","123.5%","25,198"
"8 安中店","P_1.00","436.3","196","60","107","49,436","11,391,700","24.6%","30.6%","23.0%","124.1%","16,239"
"9 高崎本店","P_1.00","1,306.0","161","88","543","71,118","14,486,800","41.6%","54.8%","20.4%","131.9%","30,119"
"10 倉賀野店","P_1.00","1,100.4","280","75","382","55,425","9,485,405","34.7%","26.8%","17.1%","77.1%","13,134"
"11 金古店","P_1.00","1,188.8","209","86","487","65,751","15,351,817","41.0%","41.2%","23.3%","100.5%","20,978"
"12 伊勢崎店","P_1.00","713.0","159","40","270","31,991","10,029,070","37.8%","25.2%","31.3%","66.7%","12,639"
"13 大間々店","P_1.00","1,468.4","240","91","515","66,908","13,019,553","35.0%","38.1%","19.5%","108.6%","18,954"
"14 館林店","P_1.00","945.0","235","72","253","53,424","10,144,378","26.8%","30.4%","19.0%","113.5%","15,312"
"15 太田矢島店","P_1.00","1,273.8","211","96","488","69,673","15,415,913","38.3%","45.7%","22.1%","119.1%","23,080"
"16 太田店","P_1.00","1,515.8","283","108","584","80,079","17,696,983","38.5%","38.0%","22.1%","98.8%","19,333"
"17 上越店","P_1.00","1,216.6","237","63","345","41,010","9,771,072","28.4%","26.5%","21.5%","93.5%","13,350"
"18 上田店","P_1.09","806.8","158","78","253","57,257","12,419,636","31.3%","49.7%","21.4%","158.7%","24,644"
"19 S熊谷店","P_1.00","1,313.7","265","129","381","99,437","21,599,092","29.0%","48.6%","21.7%","167.3%","24,483"
"20 S鴻巣店","P_1.00","1,156.3","209","75","326","61,253","13,099,217","28.2%","35.8%","21.4%","127.1%","18,638"
"21 S上里店","P_1.00","1,425.9","198","68","377","51,328","11,607,419","26.4%","34.2%","22.6%","129.4%","17,448"
"22 入間店","P_1.00","1,908.9","200","67","645","51,760","10,683,436","33.8%","33.5%","20.6%","99.1%","17,689"
"23 坂戸店","P_1.00","1,074.8","189","84","392","61,112","12,777,316","36.5%","44.5%","20.9%","122.0%","22,202"
"24 花園店","P_1.00","1,112.8","169","99","397","74,232","15,443,211","35.7%","58.3%","20.8%","163.5%","29,475"
"25 杉戸店","P_1.00","1,149.2","166","46","400","37,220","9,033,146","34.8%","27.5%","24.3%","79.0%","13,760"
"26 羽生店","P_1.00","1,124.0","198","56","247","40,317","7,762,000","22.0%","28.4%","19.3%","129.4%","14,381"
"27 千葉みなと店","P_1.00","828.7","236","83","303","65,616","16,584,816","36.6%","35.1%","25.3%","95.8%","17,867"
"28 浜野店","P_1.00","1,150.9","191","82","336","65,534","15,714,744","29.2%","42.7%","24.0%","146.4%","22,497"
"29 佐倉店","P_1.00","1,214.2","197","85","413","64,286","14,857,695","34.0%","43.2%","23.1%","127.1%","21,878"
"30 S東金店","P_1.00","819.2","186","118","326","84,644","12,498,554","39.8%","63.5%","14.8%","159.7%","33,941"
"32 旭店","P_1.00","957.7","185","49","246","36,240","6,994,020","25.7%","26.4%","19.3%","102.6%","12,938"
"33 妙典駅前店","P_1.00","871.0","130","56","338","46,034","8,107,800","38.8%","42.8%","17.6%","110.5%","22,622"
"34 ＷＡＫＯ鹿島店","P_1.00","702.1","248","96","216","59,323","13,147,774","30.7%","38.9%","21.6%","126.7%","20,003"
"35 神栖店","P_1.00","903.1","175","66","306","42,200","10,015,025","33.9%","37.9%","23.1%","111.9%","19,090"
"36 立川店","P_1.00","782.3","230","65","300","42,682","10,479,847","38.4%","28.2%","23.7%","73.6%","14,877"
"37 新小岩店","P_1.00","1,685.3","246","101","501","64,363","15,327,713","29.7%","40.8%","23.2%","137.3%","20,922"
"38 八王子北野店","P_1.12","1,060.5","63","20","394","18,504","5,758,260","37.2%","31.8%","30.3%","85.7%","18,099"
"40 錦糸町店","P_1.00","594.4","104","60","257","43,644","13,610,847","43.3%","57.3%","30.5%","132.3%","30,581"
"41 座間店","P_1.00","935.6","252","81","427","66,582","17,171,125","45.6%","32.1%","25.8%","70.5%","16,872"
"42 平塚駅前店","P_1.00","996.8","196","69","368","55,798","14,113,641","36.9%","35.0%","25.3%","95.0%","18,839"
"43 上永谷店","P_1.00","735.6","131","46","304","37,711","10,741,010","41.4%","35.5%","28.5%","85.9%","18,227"
"44 姫路店　","P_1.02","901.7","200","63","320","41,147","10,614,025","35.5%","31.4%","25.6%","88.5%","14,933"
"45 新開地店","P_1.00","942.7","236","130","399","73,657","14,143,697","42.3%","55.2%","19.0%","130.5%","27,703"
"46 仙台東店","P_1.00","1,049.9","182","87","324","64,926","12,812,639","30.8%","47.8%","19.3%","154.9%","26,413"
"47 仙台泉店","P_1.00","880.4","166","84","319","66,358","16,138,099","36.2%","50.6%","24.0%","139.9%","27,985"
"48 福岡本店","P_1.00","1,975.0","214","108","781","66,989","16,737,634","39.5%","50.2%","23.5%","127.1%","26,531"
"49 筑紫野店","P_1.00","2,305.9","398","171","845","111,625","26,059,320","36.7%","43.1%","21.9%","117.6%","22,639"
"50 福重店","P_1.00","1,892.2","189","95","831","63,214","16,128,384","43.9%","50.3%","24.6%","114.4%","26,118"
"51 伊都店","P_1.00","1,658.2","239","85","665","55,510","13,588,705","40.1%","35.4%","23.4%","88.2%","18,779"
"52 飯塚店","P_1.00","1,986.4","325","134","711","76,319","15,139,805","35.8%","41.2%","18.3%","115.2%","20,823"
"53 中間店","P_1.00","1,340.8","206","87","512","48,605","12,702,455","38.2%","42.2%","24.7%","110.4%","20,715"
"54 門司店","P_1.00","585.9","202","69","182","38,387","8,449,808","31.1%","34.2%","20.5%","110.1%","16,892"
"55 松浦店","P_1.00","339.9","200","36","54","22,851","7,727,858","15.8%","17.8%","32.2%","112.7%","8,796"
"56 佐々インター店","P_1.00","1,431.1","197","125","536","68,759","10,560,561","37.4%","63.2%","13.0%","168.9%","32,078"
"57 大野店","P_1.00","594.1","197","67","139","41,798","9,388,023","23.5%","33.8%","21.0%","144.0%","17,151"
"58 佐世保南店","P_1.00","1,227.9","187","111","562","64,769","15,820,699","45.8%","59.3%","22.9%","129.6%","30,745"
"59 大村店","P_1.00","746.9","206","88","283","48,298","9,635,785","37.9%","42.6%","18.3%","112.3%","21,975"
"60 諫早店","P_1.00","1,448.5","319","131","567","80,580","20,639,781","39.1%","41.2%","24.3%","105.2%","21,042"
"61 長与店","P_1.00","594.9","215","115","306","68,399","16,070,080","51.4%","53.6%","21.5%","104.2%","27,396"
"62 女神店","P_1.00","1,225.2","318","164","443","101,138","28,248,270","36.1%","51.5%","25.9%","142.6%","26,132"
"63 大分本店","P_1.00","1,898.6","262","104","569","62,223","13,106,994","29.9%","39.8%","19.7%","132.9%","20,749"
"64 南大分店","P_1.00","869.2","261","107","315","60,969","13,502,475","36.2%","40.8%","20.9%","112.7%","20,771"
"65 日向店","P_1.00","1,219.4","270","115","404","63,888","11,971,615","33.1%","42.5%","16.0%","128.4%","20,836"
"66 都城店","P_1.00","1,878.4","272","81","811","48,844","12,660,190","43.2%","29.7%","24.2%","68.7%","15,312"
"67 大淀店","P_1.00","1,652.1","311","159","834","85,008","15,444,536","50.5%","51.0%","17.0%","100.9%","25,847"
"68 延岡店","P_1.00","1,086.1","234","86","410","49,346","9,622,866","37.8%","36.7%","17.7%","97.1%","18,798"
"69 松橋インター店","P_1.00","1,058.3","173","56","388","36,600","6,631,000","36.7%","32.2%","18.1%","87.7%","16,581"
"70 八代店","P_1.00","1,738.8","240","107","581","67,281","11,223,900","33.4%","44.6%","16.7%","133.3%","22,394"
