"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"店舗平均","-","-","4,018","-","-","1,436,357","237,816,356","-","-","16.0%","-","11,776"
"1 沼田店","S_5.49","177.7","41","19","68","14,975","2,956,302","38.2%","46.2%","19.7%","120.9%","11,564"
"2 渋川インター店","S_5.49","81.0","36","17","31","13,540","3,114,439","37.7%","46.5%","23.0%","123.3%","11,375"
"3 中之条店","S_5.49","145.7","24","11","60","8,274","586,396","41.4%","45.5%","7.1%","109.9%","11,227"
"4 前橋若宮店","S_5.49","123.7","17","8","48","6,678","949,262","39.0%","46.2%","14.2%","118.4%","11,915"
"5 前橋大利根店","S_5.49","198.9","75","43","106","32,343","4,118,406","53.1%","56.8%","12.7%","106.8%","14,223"
"6 ガーデン前橋店","S_5.49","274.5","71","30","107","23,283","3,113,302","38.8%","41.9%","13.4%","108.0%","10,244"
"7 富岡店","S_5.49","63.5","36","11","16","8,059","1,437,292","25.2%","29.4%","17.8%","116.7%","6,866"
"8 安中店","S_5.49","125.9","98","42","47","28,233","4,539,565","37.7%","42.7%","16.1%","113.4%","10,250"
"9 高崎本店","S_5.49","293.7","34","22","164","17,865","2,350,324","55.7%","64.5%","13.2%","115.7%","16,745"
"10 倉賀野店","S_5.49","116.0","53","26","67","20,784","1,933,493","57.3%","49.7%","9.3%","86.7%","12,103"
"11 金古店","S_5.49","131.9","48","25","73","19,174","3,004,648","55.3%","51.6%","15.7%","93.3%","13,057"
"12 伊勢崎店","S_5.49","197.1","70","35","81","25,346","3,640,281","41.1%","49.4%","14.4%","120.2%","12,125"
"13 大間々店","S_5.49","116.6","84","45","59","34,810","5,258,440","50.5%","54.1%","15.1%","107.1%","13,594"
"14 館林店","S_5.49","202.3","42","20","58","15,254","1,847,722","28.7%","46.1%","12.1%","161.0%","11,584"
"15 太田矢島店","S_5.49","182.2","42","23","101","19,123","2,961,933","55.2%","55.5%","15.5%","100.6%","14,063"
"16 太田店","S_5.49","160.2","56","33","91","24,939","3,193,774","56.9%","59.1%","12.8%","103.9%","14,768"
"17 上越店","S_5.62","234.7","80","34","86","25,101","6,045,650","36.5%","42.2%","21.0%","115.5%","10,647"
"18 上田店","S_5.43","183.2","26","10","61","7,785","1,820,310","33.4%","40.0%","22.8%","119.6%","9,642"
"19 S熊谷店","S_5.49","227.4","49","29","109","22,167","3,107,555","47.9%","58.8%","14.0%","122.9%","14,353"
"20 S鴻巣店","S_5.49","236.8","87","42","121","32,050","3,042,334","51.1%","48.4%","9.5%","94.6%","11,730"
"21 S上里店","S_5.49","311.1","120","56","129","42,173","4,872,138","41.4%","46.7%","11.6%","112.9%","11,415"
"22 入間店","S_5.49","159.8","76","33","56","24,771","3,220,348","35.2%","43.2%","13.0%","122.8%","10,535"
"23 坂戸店","S_5.49","165.9","59","32","77","25,327","2,988,997","46.6%","53.5%","11.8%","114.8%","12,832"
"25 杉戸店","S_5.49","242.5","84","30","103","22,015","2,636,137","42.5%","35.8%","12.0%","84.1%","8,856"
"26 羽生店","S_5.49","302.3","80","26","103","19,396","1,533,339","33.9%","32.3%","7.9%","95.1%","8,084"
"27 千葉みなと店","S_5.49","291.9","142","84","165","59,745","8,419,822","56.5%","59.2%","14.1%","104.8%","14,577"
"28 浜野店","S_5.49","412.4","85","54","176","42,354","7,082,567","42.6%","63.3%","16.7%","148.6%","16,176"
"29 佐倉店","S_5.49","308.8","56","28","133","22,593","3,844,857","43.2%","49.5%","17.0%","114.6%","12,679"
"30 S東金店","S_5.49","186.0","47","28","77","23,550","3,008,161","41.4%","60.6%","12.8%","146.4%","15,846"
"32 旭店","S_5.49","178.9","39","19","56","13,855","1,348,008","31.0%","48.9%","9.7%","157.5%","11,356"
"33 妙典駅前店","S_6.25","207.6","53","30","107","27,417","3,991,669","51.6%","57.1%","14.6%","110.6%","14,674"
"34 ＷＡＫＯ鹿島店","S_5.49","277.3","21","7","89","4,713","1,245,961","32.1%","30.8%","25.8%","95.8%","7,666"
"35 神栖店","S_5.49","213.3","31","13","71","9,416","1,854,748","33.1%","43.5%","18.9%","131.5%","11,011"
"36 立川店","S_5.49","498.5","75","25","228","19,378","4,166,675","45.7%","33.0%","20.4%","72.1%","8,465"
"38 八王子北野店","S_6.25","361.2","93","29","131","23,810","5,705,212","36.3%","30.8%","23.1%","84.7%","7,824"
"41 座間店","S_5.49","173.6","101","44","78","34,101","4,958,119","45.0%","43.8%","14.5%","97.3%","11,278"
"42 平塚駅前店","S_5.49","206.9","65","41","125","31,982","4,498,263","60.6%","63.5%","14.1%","104.8%","16,773"
"43 上永谷店","S_5.56","201.8","69","28","72","22,636","3,361,578","35.7%","40.4%","14.9%","113.2%","10,373"
"44 姫路店　","S_5.43","208.6","83","47","103","34,318","5,383,475","49.5%","57.3%","15.4%","115.8%","14,278"
"45 新開地店","S_5.49","386.0","113","56","187","40,420","5,705,079","48.5%","49.6%","13.8%","102.3%","12,790"
"46 仙台東店","S_5.49","28.0","28","17","17","15,398","1,984,088","62.1%","62.1%","12.4%","100.0%","18,427"
"47 仙台泉店","S_5.49","24.9","25","13","13","11,844","2,283,671","52.4%","52.4%","18.9%","100.0%","15,634"
"48 福岡本店","S_5.49","237.8","80","41","105","29,643","6,709,132","44.1%","50.8%","21.2%","115.2%","13,004"
"49 筑紫野店","S_5.49","317.2","107","53","115","37,728","8,279,604","36.3%","49.1%","20.3%","135.2%","12,337"
"50 福重店","S_5.49","489.4","60","28","238","20,500","4,139,074","48.6%","47.6%","18.9%","98.0%","12,262"
"51 伊都店","S_5.49","436.0","80","36","228","26,241","5,054,583","52.2%","45.7%","17.6%","87.5%","11,682"
"52 飯塚店","S_5.49","331.7","76","32","125","22,797","4,766,365","37.7%","41.8%","19.1%","110.9%","10,319"
"53 中間店","S_5.49","220.0","60","30","94","21,246","4,897,193","42.9%","50.8%","21.6%","118.5%","12,387"
"54 門司店","S_5.49","154.0","52","18","49","12,532","3,027,725","31.6%","35.4%","22.5%","112.2%","8,669"
"55 松浦店","S_5.49","97.0","80","21","23","13,849","2,850,391","23.6%","26.0%","18.2%","110.2%","6,390"
"56 佐々インター店","S_5.49","253.9","39","20","93","14,501","3,788,528","36.4%","51.9%","24.2%","142.5%","13,136"
"57 大野店","S_5.49","120.8","71","27","35","20,031","3,898,101","29.3%","38.2%","17.7%","130.5%","10,054"
"58 佐世保南店","S_5.49","115.1","36","18","56","13,290","3,637,534","48.5%","49.1%","26.3%","101.1%","12,555"
"59 大村店","S_5.49","167.1","56","19","56","13,885","2,908,773","33.6%","33.0%","19.5%","98.3%","8,341"
"60 諫早店","S_5.49","257.9","78","34","94","24,139","5,503,009","36.6%","43.5%","21.1%","118.9%","10,931"
"61 長与店","S_5.49","34.1","34","22","22","15,860","3,228,229","63.8%","63.8%","18.9%","100.0%","15,769"
"62 女神店","S_5.49","128.6","79","37","49","23,477","6,048,910","37.9%","46.9%","23.8%","123.5%","11,162"
"63 大分本店","S_5.49","446.9","86","41","160","28,117","5,765,495","35.9%","48.2%","18.8%","134.5%","11,886"
"64 南大分店","S_5.49","236.2","34","14","88","10,425","1,680,854","37.1%","40.8%","14.9%","109.8%","10,527"
"65 日向店","S_5.49","205.1","69","25","63","17,428","3,655,397","30.9%","35.6%","18.8%","115.3%","8,766"
"66 都城店","S_5.49","174.1","74","33","66","23,113","4,453,089","38.1%","45.2%","18.0%","118.7%","11,251"
"67 大淀店","S_5.49","389.8","78","37","168","25,648","2,490,433","43.0%","47.4%","8.5%","110.3%","12,069"
"68 延岡店","S_5.49","63.0","45","20","26","14,965","3,222,155","42.0%","45.6%","19.6%","108.5%","11,005"
"69 松橋インター店","S_5.49","63.7","64","27","27","19,496","2,557,976","42.4%","42.4%","13.1%","100.0%","10,261"
"70 八代店","S_5.49","81.0","41","23","42","16,465","2,139,466","52.2%","56.6%","13.0%","108.4%","13,818"
