"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"店舗平均","-","-","487","-","-","50,904","14,300,623","-","-","27.0%","-","29,163"
"2 渋川インター店","P_0.20","18.0","18","13","13","2,243","489,873","73.3%","73.3%","21.8%","100.0%","37,603"
"3 中之条店","P_0.20","43.7","26","12","25","1,552","431,707","56.7%","45.1%","27.8%","79.5%","20,498"
"5 前橋大利根店","P_0.20","87.0","51","43","57","7,079","1,784,035","65.8%","84.5%","25.2%","128.5%","44,845"
"16 太田店","P_0.20","35.6","36","26","26","3,962","1,194,056","74.2%","74.2%","30.1%","100.0%","37,642"
"17 上越店","P_0.20","172.5","79","42","72","5,660","1,529,831","41.8%","53.6%","22.3%","128.3%","26,143"
"27 千葉みなと店","P_0.20","39.6","40","28","28","4,928","1,554,430","71.9%","71.9%","31.5%","100.0%","35,994"
"32 旭店","P_0.20","36.2","36","22","22","3,346","937,814","59.6%","59.6%","28.0%","100.0%","28,990"
"42 平塚駅前店","P_0.50","131.6","33","18","62","5,841","1,599,093","47.5%","53.7%","27.4%","113.2%","27,417"
"43 上永谷店","P_0.50","89.6","49","17","29","6,886","1,803,685","32.7%","34.6%","26.2%","105.7%","17,064"
"51 伊都店","P_0.20","79.7","80","42","42","5,895","1,914,262","52.7%","52.7%","29.3%","100.0%","26,571"
"55 松浦店","P_0.20","60.0","40","21","27","2,704","841,068","45.2%","51.3%","27.7%","113.3%","25,038"
"63 大分本店","P_0.50","84.0","44","18","36","809","220,769","42.4%","41.7%","25.4%","98.2%","21,046"
