"店舗名","アウト","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト支持率"
"店舗平均","-","-","62,031","-","-","36,076,632","6,027,471,002","-","-","16.2%","-","-"
"1 沼田店","-","3,663.8","760","237","995","417,127","71,578,967","27.1%","31.1%","17.2%","114.6%","-"
"2 渋川インター店","-","1,875.6","711","206","555","418,346","71,662,145","29.6%","29.0%","17.1%","98.1%","-"
"3 中之条店","-","3,087.8","452","102","894","151,973","28,223,473","28.9%","22.6%","18.6%","78.0%","-"
"4 前橋若宮店","-","4,019.9","597","180","1,193","428,592","67,149,611","29.7%","30.1%","15.7%","101.6%","-"
"5 前橋大利根店","-","5,664.1","1,206","377","1,918","674,420","112,220,890","33.9%","31.3%","16.6%","92.4%","-"
"6 ガーデン前橋店","-","5,771.6","1,094","296","1,742","627,769","97,462,441","30.2%","27.1%","15.5%","89.7%","-"
"7 富岡店","-","1,241.5","711","196","274","391,803","65,349,546","22.0%","27.5%","16.7%","125.0%","-"
"8 安中店","-","1,986.5","790","205","323","378,460","63,529,259","16.3%","25.9%","16.8%","159.1%","-"
"9 高崎本店","-","6,286.0","991","421","2,324","1,010,552","130,220,565","37.0%","42.5%","12.9%","114.9%","-"
"10 倉賀野店","-","3,772.6","978","260","1,131","446,419","58,099,278","30.0%","26.6%","13.0%","88.8%","-"
"11 金古店","-","4,869.2","997","292","1,661","620,311","97,183,219","34.1%","29.3%","15.7%","85.9%","-"
"12 伊勢崎店","-","4,291.4","713","157","1,149","308,440","48,099,016","26.8%","22.1%","15.6%","82.5%","-"
"13 大間々店","-","4,077.2","982","284","1,092","518,050","88,671,151","26.8%","28.9%","17.1%","108.1%","-"
"14 館林店","-","3,268.2","866","229","699","468,413","79,092,043","21.4%","26.4%","16.9%","123.5%","-"
"15 太田矢島店","-","5,379.3","822","291","1,769","576,096","84,788,173","32.9%","35.4%","14.7%","107.5%","-"
"16 太田店","-","5,898.5","1,026","324","1,840","566,671","94,513,040","31.2%","31.6%","16.7%","101.2%","-"
"17 上越店","-","4,935.5","1,346","341","1,262","533,173","107,498,681","25.6%","25.4%","17.1%","99.2%","-"
"18 上田店","-","3,817.0","836","234","959","481,674","86,231,588","25.1%","28.0%","17.5%","111.3%","-"
"19 S熊谷店","-","5,410.8","1,024","420","1,352","868,128","140,376,529","25.0%","41.1%","16.2%","164.3%","-"
"20 S鴻巣店","-","4,606.4","1,046","313","1,285","661,035","97,017,072","27.9%","29.9%","14.7%","107.1%","-"
"21 S上里店","-","4,946.0","993","278","1,057","522,447","87,280,060","21.4%","28.0%","16.7%","130.9%","-"
"22 入間店","-","6,652.4","995","244","1,993","497,891","82,065,047","30.0%","24.6%","16.5%","82.0%","-"
"23 坂戸店","-","4,604.7","945","372","1,457","806,530","124,198,056","31.6%","39.4%","15.4%","124.4%","-"
"24 花園店","-","4,955.2","897","346","1,192","826,689","138,810,664","24.1%","38.6%","16.8%","160.4%","-"
"25 杉戸店","-","4,964.3","813","190","1,514","381,692","59,268,194","30.5%","23.4%","15.5%","76.7%","-"
"26 羽生店","-","3,837.2","797","174","806","316,107","40,860,474","21.0%","21.8%","12.9%","103.8%","-"
"27 千葉みなと店","-","5,479.4","1,028","324","2,094","468,217","73,246,125","38.2%","31.6%","15.6%","82.6%","-"
"28 浜野店","-","6,240.5","919","325","1,826","679,048","106,791,578","29.3%","35.4%","15.7%","120.8%","-"
"29 佐倉店","-","5,429.7","824","298","1,559","615,876","89,386,876","28.7%","36.2%","14.5%","126.1%","-"
"30 S東金店","-","3,880.6","953","476","1,250","971,251","36,852,581","32.2%","49.9%","3.8%","155.0%","-"
"32 旭店","-","2,613.6","703","150","586","246,187","38,964,276","22.4%","21.4%","15.8%","95.3%","-"
"33 妙典駅前店","-","4,749.0","638","216","1,513","474,982","73,285,549","31.9%","33.9%","15.4%","106.3%","-"
"34 ＷＡＫＯ鹿島店","-","4,180.8","836","276","995","513,185","93,380,184","23.8%","33.0%","17.9%","138.9%","-"
"35 神栖店","-","5,449.5","895","287","1,510","549,111","96,201,033","27.7%","32.1%","17.1%","115.8%","-"
"36 立川店","-","5,227.2","1,002","217","1,789","411,613","74,996,429","34.2%","21.7%","17.2%","63.4%","-"
"37 新小岩店","-","6,256.8","750","227","1,858","407,943","90,467,568","29.7%","30.3%","21.5%","102.0%","-"
"38 八王子北野店","-","5,466.9","603","155","1,749","307,318","53,082,522","32.0%","25.9%","16.3%","80.9%","-"
