"店舗名","アウト","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト支持率"
"店舗平均","-","-","60,946","-","-","39,017,115","5,866,634,575","-","-","14.5%","-","-"
"1 沼田店","-","3,665.8","764","265","1,096","442,811","69,207,379","29.9%","34.8%","15.6%","116.3%","-"
"2 渋川インター店","-","1,877.4","712","242","615","449,055","67,851,535","32.8%","34.0%","15.1%","103.9%","-"
"3 中之条店","-","3,096.6","456","107","987","156,133","25,460,197","31.9%","23.4%","16.3%","73.5%","-"
"4 前橋若宮店","-","4,969.9","601","188","1,536","447,749","65,604,136","30.9%","31.2%","14.7%","101.0%","-"
"5 前橋大利根店","-","6,530.2","1,125","440","2,379","738,194","102,609,727","36.4%","39.1%","13.9%","107.4%","-"
"6 ガーデン前橋店","-","4,731.8","1,027","375","1,508","719,791","100,157,983","31.9%","36.5%","13.9%","114.5%","-"
"7 富岡店","-","1,240.2","709","225","304","428,873","65,669,728","24.5%","31.8%","15.3%","129.7%","-"
"8 安中店","-","1,995.2","798","225","348","408,748","61,469,304","17.5%","28.2%","15.0%","161.6%","-"
"9 高崎本店","-","6,211.8","994","494","2,544","1,133,815","117,615,932","41.0%","49.7%","10.4%","121.4%","-"
"10 倉賀野店","-","3,777.6","986","326","1,287","460,843","58,560,634","34.1%","33.1%","12.7%","97.1%","-"
"11 金古店","-","4,864.9","998","344","1,693","708,264","88,536,335","34.8%","34.5%","12.5%","99.1%","-"
"12 伊勢崎店","-","3,219.6","711","177","972","346,213","56,679,435","30.2%","24.9%","16.4%","82.5%","-"
"13 大間々店","-","4,088.7","994","290","1,149","522,006","77,662,945","28.1%","29.2%","14.9%","103.7%","-"
"14 館林店","-","3,269.4","879","256","797","508,455","70,094,737","24.4%","29.2%","13.8%","119.7%","-"
"15 太田矢島店","-","5,397.3","819","331","1,903","631,639","84,164,495","35.3%","40.4%","13.3%","114.5%","-"
"16 太田店","-","6,394.0","1,041","358","2,068","594,063","87,608,620","32.3%","34.4%","14.7%","106.3%","-"
"17 上越店","-","4,905.5","1,318","415","1,377","605,957","89,780,404","28.1%","31.5%","11.7%","112.2%","-"
"18 上田店","-","3,776.0","794","268","937","520,675","84,492,768","24.8%","33.7%","15.9%","135.8%","-"
"19 S熊谷店","-","5,567.6","1,028","472","1,435","935,477","125,185,876","25.8%","45.9%","13.4%","178.3%","-"
"20 S鴻巣店","-","4,598.2","1,032","380","1,343","767,056","91,926,446","29.2%","36.8%","12.0%","126.1%","-"
"21 S上里店","-","4,900.4","994","321","1,123","557,257","80,183,617","22.9%","32.2%","14.4%","140.5%","-"
"22 入間店","-","6,622.6","994","283","2,078","542,668","73,683,650","31.4%","28.5%","13.6%","90.7%","-"
"23 坂戸店","-","4,583.5","923","400","1,443","869,814","127,185,993","31.5%","43.3%","14.6%","137.5%","-"
"24 花園店","-","4,936.3","898","410","1,262","936,001","142,365,762","25.6%","45.6%","15.2%","178.5%","-"
"25 杉戸店","-","4,972.0","815","249","1,611","437,175","65,640,022","32.4%","30.6%","15.0%","94.3%","-"
"26 羽生店","-","3,842.1","789","226","872","387,311","42,973,584","22.7%","28.7%","11.1%","126.4%","-"
"27 千葉みなと店","-","5,428.3","998","345","2,201","492,868","74,641,433","40.5%","34.5%","15.1%","85.2%","-"
"28 浜野店","-","6,239.8","916","392","2,087","750,019","93,109,144","33.4%","42.8%","12.4%","127.8%","-"
"29 佐倉店","-","5,425.3","820","339","1,697","678,035","72,275,588","31.3%","41.4%","10.7%","132.3%","-"
"32 旭店","-","2,600.4","705","146","602","247,265","33,527,831","23.2%","20.7%","13.6%","89.3%","-"
"33 妙典駅前店","-","4,689.5","604","211","1,549","479,587","64,394,742","33.0%","35.0%","13.4%","106.0%","-"
"34 ＷＡＫＯ鹿島店","-","4,177.0","835","303","1,082","554,403","93,179,403","25.9%","36.3%","16.5%","140.1%","-"
"35 神栖店","-","5,449.1","895","310","1,636","600,841","97,345,975","30.0%","34.7%","15.7%","115.5%","-"
"36 立川店","-","4,895.4","1,006","276","1,757","490,670","83,673,574","35.9%","27.4%","16.2%","76.4%","-"
"37 新小岩店","-","6,264.1","757","272","1,960","473,355","83,615,837","31.3%","35.9%","17.0%","114.8%","-"
"38 八王子北野店","-","5,481.8","616","188","1,834","348,934","59,461,763","33.5%","30.5%","16.1%","91.0%","-"
"40 錦糸町店","-","4,987.0","996","495","1,934","1,108,125","163,379,737","38.8%","49.7%","13.9%","128.2%","-"
"41 座間店","-","5,365.4","1,034","293","2,305","525,444","80,662,323","43.0%","28.3%","15.4%","66.0%","-"
"42 平塚駅前店","-","4,745.5","994","334","1,532","675,858","104,186,688","32.3%","33.6%","15.4%","104.2%","-"
"43 上永谷店","-","3,926.0","639","165","1,233","268,538","44,837,123","31.4%","25.9%","16.7%","82.4%","-"
"44 姫路店　","-","4,159.0","907","299","1,376","499,863","64,051,141","33.1%","33.0%","12.6%","99.8%","-"
"45 新開地店","-","4,403.8","1,336","578","1,682","1,047,585","128,380,854","38.2%","43.3%","12.1%","113.3%","-"
"46 仙台東店","-","5,244.6","831","304","1,495","665,928","105,459,743","28.5%","36.6%","15.5%","128.5%","-"
"47 仙台泉店","-","5,550.8","907","378","1,732","885,726","139,068,471","31.2%","41.7%","15.4%","133.5%","-"
"48 福岡本店","-","9,571.7","1,191","469","3,098","800,298","119,909,800","32.4%","39.4%","13.7%","121.8%","-"
"49 筑紫野店","-","9,690.7","1,726","614","3,444","996,107","156,026,306","35.5%","35.6%","14.5%","100.1%","-"
"50 福重店","-","8,584.8","991","379","2,867","692,329","134,607,875","33.4%","38.2%","18.4%","114.4%","-"
"51 伊都店","-","6,000.4","999","283","2,063","366,857","68,129,711","34.4%","28.3%","17.4%","82.4%","-"
"52 飯塚店","-","6,985.3","1,238","396","2,231","615,489","107,058,107","31.9%","32.0%","16.1%","100.1%","-"
"53 中間店","-","6,529.5","846","293","1,973","438,933","64,500,868","30.2%","34.7%","13.4%","114.7%","-"
"54 門司店","-","1,977.8","633","170","479","239,654","46,889,038","24.2%","26.9%","18.4%","111.0%","-"
"55 松浦店","-","1,120.2","717","127","189","157,044","39,430,304","16.9%","17.7%","23.9%","104.8%","-"
"56 佐々インター店","-","5,471.8","1,013","450","1,666","772,151","142,984,832","30.4%","44.4%","16.9%","145.9%","-"
"57 大野店","-","1,825.9","602","172","383","246,473","52,886,606","21.0%","28.6%","20.1%","136.2%","-"
"58 佐世保南店","-","4,569.3","812","363","1,644","614,557","123,087,808","36.0%","44.7%","18.8%","124.3%","-"
"59 大村店","-","2,799.0","731","289","860","478,715","76,580,894","30.7%","39.5%","14.6%","128.6%","-"
"60 諫早店","-","5,595.6","1,190","403","1,863","633,214","123,134,772","33.3%","33.9%","18.2%","101.7%","-"
"61 長与店","-","2,270.4","841","336","938","537,773","98,086,848","41.3%","40.0%","16.5%","96.7%","-"
"62 女神店","-","4,087.5","1,264","504","1,262","781,663","152,383,760","30.9%","39.9%","17.8%","129.3%","-"
"63 大分本店","-","7,968.6","993","307","2,182","361,251","61,510,666","27.4%","30.9%","15.6%","113.0%","-"
"64 南大分店","-","4,337.6","994","327","1,339","527,679","84,964,278","30.9%","32.9%","14.8%","106.6%","-"
"65 日向店","-","3,771.4","992","359","1,038","519,823","77,638,638","27.5%","36.2%","13.0%","131.4%","-"
"66 都城店","-","5,634.1","1,029","331","2,048","520,848","75,790,446","36.3%","32.2%","13.0%","88.5%","-"
"67 大淀店","-","7,472.3","1,333","552","2,755","856,242","91,263,660","36.9%","41.4%","9.3%","112.2%","-"
