"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"店舗平均","-","-","22,628","-","-","19,472,798","2,245,679,963","-","-","10.8%","-","9,959"
"1 沼田店","S_21.74","1,019.1","228","97","358","221,140","29,464,175","35.1%","42.7%","13.3%","121.5%","10,480"
"2 渋川インター店","S_21.74","486.3","246","104","195","243,031","29,155,913","40.1%","42.1%","12.0%","105.0%","10,604"
"3 中之条店","S_21.74","865.1","151","34","327","75,153","7,473,130","37.8%","22.8%","9.9%","60.2%","5,357"
"4 前橋若宮店","S_21.74","2,082.7","198","72","785","189,763","21,765,326","37.7%","36.3%","11.5%","96.3%","9,759"
"5 前橋大利根店","S_21.74","2,278.1","429","179","1,003","411,002","43,316,674","44.0%","41.8%","10.5%","94.9%","10,452"
"6 ガーデン前橋店","S_21.74","1,514.9","369","155","634","356,810","39,260,827","41.8%","42.0%","11.0%","100.4%","10,478"
"7 富岡店","S_21.74","402.6","246","91","116","208,709","28,055,525","28.8%","37.1%","13.4%","128.6%","8,907"
"8 安中店","S_21.74","633.4","211","83","135","195,104","22,274,241","21.3%","39.4%","11.4%","185.2%","9,902"
"9 高崎本店","S_21.74","2,313.8","412","240","1,108","567,010","39,600,524","47.9%","58.1%","7.0%","121.3%","15,410"
"10 倉賀野店","S_21.74","1,013.0","290","115","414","262,281","25,628,088","40.9%","39.8%","9.8%","97.2%","9,775"
"11 金古店","S_21.74","1,421.7","367","150","627","347,151","27,285,806","44.1%","40.8%","7.9%","92.4%","10,355"
"12 伊勢崎店","S_21.74","1,229.7","268","74","426","186,213","24,969,214","34.7%","27.7%","13.4%","80.0%","6,949"
"13 大間々店","S_21.74","888.9","356","119","282","277,995","31,922,109","31.8%","33.3%","11.5%","104.8%","8,139"
"14 館林店","S_21.74","1,179.0","365","117","337","277,083","26,835,259","28.6%","31.9%","9.7%","111.7%","7,859"
"15 太田矢島店","S_21.74","1,958.4","347","149","802","355,252","34,549,912","40.9%","42.9%","9.7%","104.9%","10,673"
"16 太田店","S_21.74","2,329.9","353","137","880","326,585","33,446,672","37.8%","38.9%","10.2%","103.1%","9,754"
"17 上越店","S_20.00","1,586.4","521","210","549","401,074","45,852,450","34.6%","40.4%","7.6%","116.9%","10,609"
"18 上田店","S_21.74","1,424.5","282","104","426","218,291","29,787,360","29.9%","36.9%","13.1%","123.6%","9,016"
"19 S熊谷店","S_21.74","2,248.6","393","204","629","454,745","43,492,324","28.0%","51.9%","9.6%","185.7%","12,612"
"20 S鴻巣店","S_21.74","1,601.8","389","180","555","396,627","39,700,652","34.6%","46.2%","10.0%","133.4%","11,344"
"21 S上里店","S_21.74","1,585.9","359","135","416","306,720","33,662,632","26.2%","37.7%","11.0%","143.8%","9,363"
"22 入間店","S_21.74","2,433.3","403","135","757","304,943","31,073,607","31.1%","33.6%","10.2%","107.9%","8,456"
"23 坂戸店","S_21.74","1,768.7","358","170","555","399,401","48,797,519","31.4%","47.3%","12.2%","151.0%","11,575"
"24 花園店","S_21.74","1,628.7","354","171","433","403,057","49,600,302","26.6%","48.2%","12.3%","181.4%","11,972"
