"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"55 松浦店","P_4.00","236.6","157","10","13","32,519","10,469,683","5.5%","6.6%","31.8%","121.3%","3,310"
"56 佐々インター店","P_4.00","1,603.9","316","96","287","273,835","69,260,394","17.9%","30.5%","24.6%","170.3%","15,459"
"57 大野店","P_4.00","388.0","117","20","37","63,263","17,167,374","9.4%","17.1%","26.7%","181.2%","8,838"
"58 佐世保南店","P_4.00","1,185.7","246","83","287","245,519","53,457,638","24.2%","33.7%","21.1%","139.2%","18,170"
"59 大村店","P_4.00","823.5","196","64","159","182,631","26,256,753","19.3%","32.5%","13.7%","168.6%","17,777"
"60 諫早店","P_4.00","1,610.6","353","75","355","222,244","53,494,506","22.1%","21.3%","23.6%","96.7%","11,034"
"61 長与店","P_4.00","700.1","246","57","189","165,814","35,785,568","27.0%","23.4%","20.9%","86.4%","12,241"
"62 女神店","P_4.00","1,089.8","390","95","160","269,802","52,241,369","14.7%","24.3%","18.6%","165.3%","12,461"
"63 大分本店","P_4.00","2,480.5","261","29","424","90,857","18,041,802","17.1%","11.3%","19.5%","66.2%","5,845"
"64 南大分店","P_4.00","1,500.3","330","70","348","194,013","35,966,778","23.2%","21.3%","17.9%","91.9%","11,215"
"65 日向店","P_4.00","996.2","311","76","167","202,859","36,898,106","16.8%","24.3%","17.2%","144.9%","12,620"
"66 都城店","P_4.00","1,623.3","269","50","410","149,052","31,882,118","25.3%","18.4%","20.9%","72.8%","9,777"
"67 大淀店","P_4.00","2,419.0","395","141","664","362,718","44,117,190","27.5%","35.8%","11.5%","130.4%","18,700"
"68 延岡店","P_4.00","952.5","345","109","204","296,458","60,142,799","21.4%","31.6%","19.8%","147.7%","16,876"
"69 松橋インター店","P_4.00","768.5","263","44","171","148,918","30,540,200","22.2%","16.8%","20.5%","75.8%","8,922"
"70 八代店","P_4.00","1,084.2","317","78","193","240,748","36,765,300","17.8%","24.5%","15.3%","137.7%","12,532"
