"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"店舗平均","-","-","179","-","-","35,491","5,841,375","-","-","15.2%","-","16,884"
"5 前橋大利根店","S_2.00","18.0","18","16","16","3,523","457,336","86.8%","86.8%","13.0%","100.0%","19,881"
"10 倉賀野店","S_2.50","39.5","40","31","31","10,046","1,213,425","79.1%","79.1%","12.1%","100.0%","19,048"
"16 太田店","S_2.50","47.7","16","12","27","2,313","417,595","56.7%","77.6%","18.1%","136.9%","17,730"
"17 上越店","S_2.00","85.8","40","22","45","5,398","1,036,386","52.3%","55.6%","14.6%","106.3%","13,425"
"27 千葉みなと店","S_2.50","34.8","32","27","29","6,781","1,174,132","82.1%","84.4%","17.3%","102.8%","19,021"
"63 大分本店","S_2.50","156.0","40","24","85","7,431","1,542,501","54.4%","60.5%","18.3%","111.3%","14,830"
