"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"店舗平均","-","-","3,782","-","-","1,318,712","218,606,680","-","-","15.9%","-","11,871"
"1 沼田店","S_5.49","177.8","41","20","75","14,726","1,513,133","42.4%","50.0%","10.3%","117.9%","12,284"
"2 渋川インター店","S_5.49","80.9","36","19","34","13,631","1,677,749","42.2%","52.8%","12.3%","125.2%","12,263"
"3 中之条店","S_5.49","145.8","24","12","67","8,373","855,543","45.6%","49.7%","10.2%","109.0%","11,746"
"5 前橋大利根店","S_5.49","196.6","40","27","113","19,536","2,964,075","57.5%","67.0%","15.2%","116.5%","16,260"
"6 ガーデン前橋店","S_5.49","169.0","52","30","73","21,494","3,454,621","43.4%","57.8%","16.1%","133.2%","13,766"
"7 富岡店","S_5.49","86.3","35","12","20","9,278","1,279,341","22.6%","34.6%","13.8%","153.1%","8,356"
"8 安中店","S_5.49","150.6","100","43","50","28,587","3,250,330","33.5%","43.3%","11.4%","129.3%","10,290"
"9 高崎本店","S_5.49","202.6","34","23","135","17,863","1,538,108","66.6%","66.4%","8.6%","99.8%","17,134"
"10 倉賀野店","S_5.49","101.9","41","25","69","18,072","1,583,281","67.5%","62.1%","8.8%","92.1%","14,763"
"11 金古店","S_5.49","87.9","47","27","60","20,619","2,867,145","68.5%","57.6%","13.9%","84.0%","14,340"
"12 伊勢崎店","S_5.49","111.0","70","32","44","22,311","3,397,511","39.9%","45.3%","15.2%","113.4%","11,047"
"13 大間々店","S_5.49","96.0","63","32","48","24,077","2,174,329","49.7%","51.1%","9.0%","102.9%","12,629"
"14 館林店","S_5.49","199.6","40","20","60","15,242","1,541,649","30.2%","51.7%","10.1%","171.4%","12,573"
"15 太田矢島店","S_5.49","169.1","42","26","97","20,105","2,642,971","57.5%","61.9%","13.1%","107.6%","15,230"
"16 太田店","S_5.49","147.1","43","30","90","21,878","2,452,496","61.2%","69.7%","11.2%","113.9%","17,063"
"17 上越店","S_5.62","239.0","80","28","79","20,162","5,361,900","33.1%","34.8%","24.0%","105.2%","8,845"
"18 上田店","S_5.43","167.0","39","18","57","11,611","1,693,120","34.0%","45.4%","14.1%","133.5%","10,976"
