"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"店舗平均","-","-","877","-","-","84,039","22,155,681","-","-","25.6%","-","28,150"
"2 渋川インター店","P_0.20","36.0","36","25","25","4,012","926,542","68.6%","68.6%","23.1%","100.0%","34,957"
"3 中之条店","P_0.20","61.9","26","10","35","1,337","264,640","56.2%","38.8%","19.8%","69.2%","18,125"
"5 前橋大利根店","P_0.20","144.3","88","64","87","9,359","2,248,383","60.5%","72.6%","24.0%","120.2%","36,672"
"6 ガーデン前橋店","P_0.20","42.7","43","31","31","4,735","794,217","71.8%","71.8%","16.8%","100.0%","36,420"
"10 倉賀野店","P_0.20","71.7","72","48","48","7,497","1,627,546","67.6%","67.6%","21.7%","100.0%","32,953"
"16 太田店","P_0.20","35.5","35","26","26","3,836","991,651","73.7%","73.7%","25.9%","100.0%","36,611"
"17 上越店","P_0.20","213.8","120","48","80","6,113","1,824,122","37.2%","39.9%","25.2%","107.2%","18,833"
"21 S上里店","P_0.20","80.0","40","26","56","4,102","1,138,719","69.4%","65.7%","27.8%","94.8%","31,641"
"25 杉戸店","P_0.20","237.0","54","38","122","6,020","1,773,683","51.3%","70.1%","29.5%","136.6%","34,223"
"26 羽生店","P_0.20","139.0","39","26","82","859","228,980","58.8%","66.9%","26.6%","113.8%","32,386"
"27 千葉みなと店","P_0.20","36.2","36","25","25","4,053","1,172,466","69.5%","69.5%","28.9%","100.0%","36,764"
"28 浜野店","P_0.20","123.5","39","24","60","3,912","1,178,292","48.4%","61.8%","30.1%","127.7%","30,714"
"32 旭店","P_0.20","37.9","38","16","16","2,391","633,302","41.2%","41.2%","26.5%","100.0%","21,178"
"42 平塚駅前店","P_0.50","133.8","35","18","64","6,295","1,320,111","48.0%","52.0%","21.0%","108.2%","27,064"
"43 上永谷店","P_0.50","90.4","48","16","29","6,413","1,922,895","32.4%","33.3%","30.0%","102.8%","16,254"
"51 伊都店","P_0.20","80.0","80","42","42","5,598","1,951,230","52.4%","52.4%","31.7%","100.0%","26,138"
"55 松浦店","P_0.20","59.4","39","20","26","2,561","897,358","44.3%","50.0%","32.0%","113.0%","25,123"
"63 大分本店","P_0.50","83.5","44","17","34","4,946","1,261,544","40.5%","39.5%","23.5%","97.7%","18,806"
