"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"店舗平均","-","-","13,936","-","-","4,055,897","927,269,281","-","-","22.2%","-","20,354"
"1 沼田店","P_1.00","1,166.6","283","111","427","80,687","21,391,885","36.6%","39.4%","26.5%","107.4%","19,734"
"2 渋川インター店","P_1.00","563.5","124","48","224","40,244","8,822,283","39.8%","39.2%","21.9%","98.4%","20,414"
"3 中之条店","P_1.00","974.6","128","38","373","26,091","6,155,301","38.3%","29.4%","23.6%","76.6%","14,659"
"4 前橋若宮店","P_1.00","766.6","115","58","264","46,469","9,837,947","34.5%","50.2%","21.2%","145.7%","26,405"
"5 前橋大利根店","P_1.00","1,507.7","236","91","530","75,519","15,822,468","35.2%","38.7%","21.0%","109.9%","20,142"
"6 ガーデン前橋店","P_1.00","1,465.7","256","80","437","63,692","12,960,308","29.8%","31.3%","20.3%","104.9%","16,165"
"7 富岡店","P_1.00","331.4","171","74","112","57,132","12,144,861","33.8%","43.2%","21.3%","127.7%","22,023"
"8 安中店","P_1.00","478.7","199","65","117","56,859","12,275,178","24.5%","32.9%","21.6%","134.3%","17,647"
"9 高崎本店","P_1.00","1,232.0","130","74","526","62,276","12,866,200","42.7%","56.7%","20.7%","132.8%","30,950"
"10 倉賀野店","P_1.00","1,097.7","278","77","396","62,449","12,362,692","36.0%","27.7%","19.8%","76.9%","13,582"
"11 金古店","P_1.00","1,148.5","209","90","491","73,379","17,676,845","42.8%","43.3%","24.1%","101.2%","22,098"
"12 伊勢崎店","P_1.00","935.9","212","56","371","43,780","6,938,870","39.6%","26.6%","15.8%","67.2%","13,282"
"13 大間々店","P_1.00","1,468.1","240","99","505","75,511","14,565,457","34.4%","41.4%","19.3%","120.3%","21,187"
"14 館林店","P_1.00","904.5","194","66","238","52,273","12,909,226","26.4%","34.1%","24.7%","129.4%","17,013"
"15 太田矢島店","P_1.00","1,273.0","209","91","487","71,308","15,692,203","38.3%","43.4%","22.0%","113.3%","22,337"
"16 太田店","P_1.00","1,643.0","284","105","604","78,647","14,880,019","36.8%","36.8%","18.9%","100.2%","18,982"
"17 上越店","P_1.00","1,256.8","237","62","306","42,859","8,410,160","24.3%","26.3%","17.2%","108.1%","13,449"
"18 上田店","P_1.09","893.9","158","60","306","45,742","7,178,132","34.2%","38.3%","15.4%","111.9%","19,234"
"19 S熊谷店","P_1.00","1,236.5","241","119","373","96,312","22,230,379","30.1%","49.3%","23.1%","163.4%","25,030"
"20 S鴻巣店","P_1.00","1,216.5","207","66","325","56,103","14,037,887","26.7%","31.7%","25.0%","118.9%","15,998"
"21 S上里店","P_1.00","1,446.0","199","66","384","55,430","11,843,204","26.6%","33.4%","21.4%","125.8%","17,360"
"22 入間店","P_1.00","1,796.9","169","62","653","51,058","11,483,841","36.3%","36.9%","22.5%","101.7%","18,688"
"23 坂戸店","P_1.00","1,058.9","189","92","404","69,066","14,802,521","38.1%","48.5%","21.4%","127.1%","24,115"
"24 花園店","P_1.00","1,130.7","160","83","367","69,337","16,297,992","32.5%","52.1%","23.5%","160.5%","26,882"
"25 杉戸店","P_1.00","1,110.9","168","44","406","39,929","8,548,567","36.5%","26.6%","21.4%","72.7%","13,639"
"26 羽生店","P_1.00","1,063.5","198","46","234","37,838","9,362,800","22.0%","23.4%","24.7%","106.4%","12,007"
