"店舗名","アウト","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト支持率"
"24 花園店","-","4,958.8","896","366","1,199","950,041","156,729,641","24.2%","40.9%","16.5%","168.9%","-"
"25 杉戸店","-","4,975.6","817","214","1,670","461,513","78,844,171","33.6%","26.2%","17.1%","78.1%","-"
"26 羽生店","-","3,851.5","797","181","866","376,174","60,118,083","22.5%","22.7%","16.0%","101.1%","-"
"27 千葉みなと店","-","5,561.5","1,107","338","2,193","561,555","89,886,749","39.4%","30.6%","16.0%","77.5%","-"
"28 浜野店","-","6,237.1","917","349","2,007","794,261","119,802,976","32.2%","38.0%","15.1%","118.1%","-"
"29 佐倉店","-","5,427.7","821","329","1,692","738,079","103,216,490","31.2%","40.1%","14.0%","128.6%","-"
"30 S東金店","-","3,877.7","951","526","1,353","1,146,204","56,660,543","34.9%","55.4%","4.9%","158.7%","-"
"32 旭店","-","2,613.3","702","165","640","303,885","47,958,495","24.5%","23.5%","15.8%","96.0%","-"
"33 妙典駅前店","-","4,924.4","637","242","1,782","575,963","82,912,816","36.2%","37.9%","14.4%","104.8%","-"
"34 ＷＡＫＯ鹿島店","-","4,182.2","839","308","1,074","624,329","107,307,503","25.7%","36.7%","16.9%","142.9%","-"
"35 神栖店","-","5,448.5","894","305","1,641","630,842","114,522,747","30.1%","34.2%","17.7%","113.5%","-"
"36 立川店","-","5,236.1","1,001","190","1,796","395,123","80,928,569","34.3%","19.0%","19.5%","55.4%","-"
"37 新小岩店","-","6,255.4","749","228","2,006","452,106","96,703,341","32.1%","30.5%","20.7%","95.0%","-"
"38 八王子北野店","-","5,483.6","617","170","1,941","357,957","67,608,952","35.4%","27.6%","18.0%","78.1%","-"
"40 錦糸町店","-","4,985.7","996","437","1,916","1,117,681","187,370,077","38.4%","43.9%","16.1%","114.1%","-"
"41 座間店","-","4,291.0","1,031","289","1,826","552,577","89,185,073","42.6%","28.0%","16.1%","65.9%","-"
"42 平塚駅前店","-","4,756.4","992","322","1,562","717,608","121,764,835","32.8%","32.4%","17.0%","98.7%","-"
"43 上永谷店","-","3,924.0","637","157","1,241","278,566","50,798,131","31.6%","24.7%","18.2%","78.0%","-"
"44 姫路店　","-","4,163.2","912","298","1,384","560,223","86,511,454","33.2%","32.6%","15.2%","98.1%","-"
"45 新開地店","-","4,366.9","1,337","599","1,656","1,204,172","154,964,670","37.9%","44.8%","12.7%","118.1%","-"
"46 仙台東店","-","5,245.9","830","303","1,605","728,509","115,574,891","30.6%","36.5%","15.5%","119.3%","-"
"47 仙台泉店","-","5,622.8","911","370","2,003","905,283","143,408,411","35.6%","40.6%","15.6%","114.0%","-"
"48 福岡本店","-","9,574.7","1,197","433","3,079","861,176","161,965,252","32.2%","36.2%","17.6%","112.6%","-"
"49 筑紫野店","-","9,730.7","1,762","570","3,277","1,068,658","205,426,916","33.7%","32.3%","18.1%","96.0%","-"
"50 福重店","-","8,593.0","997","378","3,085","757,408","150,601,028","35.9%","37.9%","18.9%","105.6%","-"
"51 伊都店","-","6,008.0","998","286","2,142","417,834","85,696,891","35.6%","28.6%","19.5%","80.4%","-"
"52 飯塚店","-","7,026.6","1,256","374","2,386","635,537","111,812,056","34.0%","29.8%","16.1%","87.8%","-"
"53 中間店","-","6,536.8","844","271","2,019","460,478","78,854,788","30.9%","32.2%","15.9%","104.1%","-"
"54 門司店","-","1,983.7","635","156","457","233,532","52,868,441","23.1%","24.6%","21.4%","106.7%","-"
"55 松浦店","-","1,123.2","719","134","203","185,467","51,205,352","18.1%","18.6%","26.6%","103.0%","-"
"56 佐々インター店","-","5,486.7","1,018","460","1,717","882,325","169,411,833","31.3%","45.2%","17.7%","144.5%","-"
"57 大野店","-","1,833.8","604","164","401","273,135","66,048,417","21.9%","27.1%","23.0%","123.9%","-"
"58 佐世保南店","-","4,580.0","818","334","1,679","640,882","149,666,622","36.7%","40.9%","22.3%","111.5%","-"
"59 大村店","-","2,815.7","738","294","862","524,335","87,901,990","30.6%","39.8%","15.5%","130.1%","-"
"60 諫早店","-","5,598.8","1,193","391","1,846","696,050","149,037,470","33.0%","32.8%","20.2%","99.4%","-"
"61 長与店","-","2,271.5","843","323","929","567,570","120,847,075","40.9%","38.4%","19.7%","93.8%","-"
"62 女神店","-","4,108.1","1,274","460","1,244","791,974","174,356,865","30.3%","36.1%","20.6%","119.1%","-"
"63 大分本店","-","7,971.7","996","296","2,142","411,426","75,577,293","26.9%","29.7%","17.0%","110.4%","-"
"64 南大分店","-","4,341.0","998","341","1,414","606,469","103,656,945","32.6%","34.1%","15.8%","104.9%","-"
"65 日向店","-","3,778.9","997","355","1,058","588,511","96,701,381","28.0%","35.7%","14.6%","127.4%","-"
"66 都城店","-","6,583.4","1,038","277","2,316","435,618","72,718,971","35.2%","26.7%","15.3%","75.9%","-"
"67 大淀店","-","7,471.1","1,332","519","2,603","846,417","106,935,160","34.8%","38.9%","11.3%","111.8%","-"
"68 延岡店","-","3,589.6","996","382","1,160","672,463","126,636,292","32.3%","38.4%","17.5%","118.7%","-"
"69 松橋インター店","-","3,300.5","828","235","1,101","477,828","69,731,785","33.4%","28.4%","14.6%","85.0%","-"
"70 八代店","-","4,833.2","993","347","1,400","729,200","99,875,109","29.0%","34.9%","13.7%","120.5%","-"
