"店舗名","アウト","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト支持率"
"店舗平均","-","-","62,723","-","-","42,965,432","7,030,902,177","-","-","15.9%","-","-"
"1 沼田店","-","3,723.3","768","276","1,160","519,154","102,882,184","31.2%","35.9%","19.8%","115.2%","-"
"2 渋川インター店","-","1,921.6","710","232","660","514,139","84,616,856","34.3%","32.8%","16.5%","95.4%","-"
"3 中之条店","-","3,147.3","458","112","1,048","180,819","35,744,599","33.3%","24.4%","19.8%","73.3%","-"
"4 前橋若宮店","-","4,054.1","591","194","1,236","485,424","81,604,168","30.5%","32.8%","16.8%","107.7%","-"
"5 前橋大利根店","-","5,781.4","1,207","410","2,035","799,992","131,924,764","35.2%","33.9%","16.5%","96.4%","-"
"6 ガーデン前橋店","-","5,816.0","1,097","338","1,844","772,712","120,096,429","31.7%","30.8%","15.5%","97.2%","-"
"7 富岡店","-","1,236.1","705","223","309","464,224","82,140,573","25.0%","31.6%","17.7%","126.8%","-"
"8 安中店","-","1,982.9","786","236","366","468,717","77,717,207","18.5%","30.0%","16.6%","162.5%","-"
"9 高崎本店","-","6,371.0","993","450","2,474","1,187,581","152,571,118","38.8%","45.3%","12.8%","116.6%","-"
"10 倉賀野店","-","3,854.1","984","284","1,233","528,523","75,536,872","32.0%","28.9%","14.3%","90.3%","-"
"11 金古店","-","4,945.5","997","329","1,772","750,593","123,123,656","35.8%","33.0%","16.4%","92.2%","-"
"12 伊勢崎店","-","4,488.7","841","228","1,610","452,938","46,553,353","35.9%","27.1%","10.3%","75.5%","-"
"13 大間々店","-","4,116.9","988","337","1,205","671,200","91,115,490","29.3%","34.1%","13.6%","116.6%","-"
"14 館林店","-","3,282.5","880","249","743","547,897","91,800,904","22.6%","28.3%","16.8%","125.0%","-"
"15 太田矢島店","-","5,771.4","818","298","2,030","650,681","99,969,141","35.2%","36.5%","15.4%","103.7%","-"
"16 太田店","-","7,113.4","1,331","470","2,349","841,621","63,525,747","33.0%","35.3%","7.5%","106.9%","-"
"17 上越店","-","4,943.3","1,353","343","1,232","578,973","121,520,103","24.9%","25.4%","18.1%","101.7%","-"
"18 上田店","-","4,689.6","844","225","1,452","488,555","60,236,712","31.0%","26.7%","12.0%","86.2%","-"
"19 S熊谷店","-","5,521.4","1,030","439","1,442","983,677","159,087,988","26.1%","42.6%","16.2%","163.2%","-"
"20 S鴻巣店","-","4,606.9","1,048","325","1,389","727,526","119,100,674","30.1%","31.0%","16.4%","102.9%","-"
"21 S上里店","-","4,969.9","997","290","1,144","608,939","91,085,255","23.0%","29.1%","15.0%","126.5%","-"
"22 入間店","-","6,692.0","995","268","2,171","592,120","92,808,293","32.4%","26.9%","15.7%","83.0%","-"
"23 坂戸店","-","4,606.9","940","417","1,584","952,485","145,827,541","34.4%","44.3%","15.3%","128.9%","-"
