"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"店舗平均","-","-","521","-","-","52,817","15,063,718","-","-","27.5%","-","27,543"
"2 渋川インター店","P_0.20","18.0","18","15","15","2,718","656,646","81.0%","81.0%","24.2%","100.0%","41,245"
"3 中之条店","P_0.20","43.9","26","12","27","1,703","404,518","61.1%","47.3%","23.8%","77.4%","23,127"
"5 前橋大利根店","P_0.20","87.0","51","42","55","7,099","1,668,119","63.0%","81.8%","23.5%","129.7%","43,204"
"16 太田店","P_0.20","71.9","72","39","39","5,580","1,511,372","54.8%","54.8%","27.1%","100.0%","27,467"
"17 上越店","P_0.20","172.2","78","37","63","5,207","1,630,375","36.6%","47.1%","26.6%","128.8%","22,790"
"27 千葉みなと店","P_0.20","43.5","44","28","28","5,108","1,453,091","64.8%","64.8%","28.4%","100.0%","33,435"
"32 旭店","P_0.20","102.0","38","21","24","3,238","772,145","23.3%","55.5%","23.8%","237.6%","27,309"
"42 平塚駅前店","P_0.50","132.4","33","17","59","6,196","1,708,819","44.5%","51.0%","27.6%","114.5%","25,849"
"43 上永谷店","P_0.50","88.5","47","16","30","6,966","1,939,950","33.9%","32.9%","27.8%","96.9%","15,890"
"51 伊都店","P_0.20","79.6","80","41","41","5,995","2,350,416","51.9%","51.9%","36.2%","100.0%","25,731"
"55 松浦店","P_0.20","60.0","40","21","28","3,007","968,267","46.7%","52.1%","29.1%","111.5%","26,202"
