"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"店舗平均","-","-","25,041","-","-","22,656,832","2,911,093,104","-","-","12.2%","-","9,413"
"1 沼田店","S_21.74","1,061.2","227","99","383","260,750","42,550,608","36.1%","43.7%","16.3%","121.2%","10,886"
"2 渋川インター店","S_21.74","523.0","283","110","210","291,966","35,389,806","40.2%","38.9%","12.1%","96.7%","9,823"
"3 中之条店","S_21.74","901.2","151","38","347","95,060","14,042,410","38.5%","25.1%","14.8%","65.1%","6,199"
"4 前橋若宮店","S_21.74","1,528.8","197","78","601","228,605","32,800,108","39.3%","39.8%","14.3%","101.3%","10,806"
"5 前橋大利根店","S_21.74","1,856.9","493","182","824","471,160","62,529,910","44.4%","36.9%","13.3%","83.1%","9,322"
"6 ガーデン前橋店","S_21.74","2,045.4","419","159","814","416,911","47,836,897","39.8%","37.8%","11.5%","95.0%","9,507"
"7 富岡店","S_21.74","395.3","247","91","117","227,055","30,383,001","29.7%","36.6%","13.4%","123.4%","8,718"
"8 安中店","S_21.74","652.0","238","93","147","232,788","30,974,892","22.6%","39.2%","13.3%","173.2%","9,838"
"9 高崎本店","S_21.74","2,578.5","460","237","1,172","646,603","74,882,321","45.5%","51.5%","11.6%","113.3%","13,684"
"10 倉賀野店","S_21.74","1,125.9","335","125","436","322,505","39,068,391","38.7%","37.3%","12.1%","96.4%","9,371"
"11 金古店","S_21.74","1,531.5","365","143","689","379,532","49,790,564","45.0%","39.1%","13.1%","87.0%","9,893"
"12 伊勢崎店","S_21.74","1,869.6","338","107","828","276,462","18,097,152","44.3%","31.5%","6.5%","71.2%","8,002"
"13 大間々店","S_21.74","935.4","368","141","317","366,094","37,387,108","33.9%","38.2%","10.2%","112.8%","9,584"
"14 館林店","S_21.74","1,201.8","388","116","313","308,967","40,354,869","26.0%","29.8%","13.1%","114.4%","7,519"
"15 太田矢島店","S_21.74","2,249.0","345","135","903","366,803","45,635,241","40.2%","39.1%","12.4%","97.3%","9,823"
"16 太田店","S_21.74","2,831.0","566","214","1,082","495,173","19,096,959","38.2%","37.9%","3.9%","99.1%","9,690"
"17 上越店","S_20.00","1,701.3","599","171","520","381,095","76,979,083","30.6%","28.6%","16.7%","93.5%","7,473"
"18 上田店","S_21.74","2,073.9","380","96","759","225,261","20,452,500","36.6%","25.2%","8.6%","68.8%","6,244"
