"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"店舗平均","-","-","116","-","-","29,243","4,711,662","-","-","15.3%","-","18,263"
"5 前橋大利根店","S_2.00","18.0","18","17","17","363","40,698","93.2%","93.2%","11.2%","100.0%","21,771"
"10 倉賀野店","S_2.50","39.9","40","34","34","12,185","1,101,452","84.6%","84.6%","9.0%","100.0%","20,065"
"17 上越店","S_2.00","86.5","40","22","49","589","193,620","56.3%","55.3%","28.7%","98.2%","13,305"
"27 千葉みなと店","S_2.50","35.0","32","27","29","7,469","1,436,285","81.8%","84.7%","19.2%","103.5%","19,046"
"63 大分本店","S_2.50","156.0","40","26","91","8,637","1,939,607","58.2%","66.0%","20.1%","113.4%","16,095"
