"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"店舗平均","-","-","14,442","-","-","4,424,102","1,028,046,845","-","-","22.6%","-","21,995"
"1 沼田店","P_1.00","1,186.1","282","111","444","79,165","20,249,993","37.4%","39.3%","25.6%","105.1%","19,946"
"2 渋川インター店","P_1.00","583.4","143","56","237","44,022","10,051,992","40.6%","39.2%","22.8%","96.7%","20,132"
"3 中之条店","P_1.00","994.1","128","38","386","26,908","6,195,714","38.8%","29.8%","23.0%","76.8%","15,018"
"4 前橋若宮店","P_1.00","1,005.9","134","65","394","52,716","10,275,786","39.2%","48.5%","19.5%","123.7%","25,794"
"5 前橋大利根店","P_1.00","1,729.5","237","102","675","82,232","18,035,852","39.0%","42.8%","21.9%","109.7%","22,229"
"6 ガーデン前橋店","P_1.00","1,313.2","243","96","444","73,820","16,084,698","33.8%","39.5%","21.8%","116.8%","20,021"
"7 富岡店","P_1.00","260.9","141","76","112","57,258","14,330,051","42.7%","53.6%","25.0%","125.4%","27,513"
"8 安中店","P_1.00","435.3","195","71","122","59,877","13,857,711","28.1%","36.4%","23.1%","129.3%","19,262"
"9 高崎本店","P_1.00","1,324.3","163","100","606","80,640","16,412,400","45.7%","61.1%","20.4%","133.6%","33,054"
"10 倉賀野店","P_1.00","1,116.7","297","82","423","61,997","12,355,290","37.8%","27.5%","19.9%","72.6%","13,602"
"11 金古店","P_1.00","1,187.4","207","98","547","77,597","17,972,278","46.1%","47.3%","23.2%","102.6%","24,206"
"12 伊勢崎店","P_1.00","712.3","159","50","299","39,695","10,022,760","41.9%","31.3%","25.2%","74.7%","15,684"
"13 大間々店","P_1.00","1,471.2","243","106","578","80,049","19,485,000","39.3%","43.6%","24.3%","111.0%","21,533"
"14 館林店","P_1.00","946.8","236","83","282","63,438","14,374,678","29.8%","35.1%","22.7%","117.8%","17,635"
"15 太田矢島店","P_1.00","1,275.3","213","110","554","83,713","19,207,674","43.4%","51.5%","22.9%","118.7%","26,544"
"16 太田店","P_1.00","1,557.3","283","121","656","94,211","22,347,623","42.1%","42.9%","23.7%","102.0%","22,012"
"17 上越店","P_1.00","1,217.4","237","71","383","46,249","10,565,816","31.5%","29.8%","20.7%","94.8%","15,069"
"18 上田店","P_1.09","803.5","155","81","267","59,260","13,577,068","33.2%","52.6%","22.6%","158.2%","25,737"
"19 S熊谷店","P_1.00","1,319.9","265","146","419","113,769","26,885,094","31.7%","55.2%","23.6%","174.0%","27,510"
"20 S鴻巣店","P_1.00","1,157.2","211","88","357","71,881","14,877,930","30.9%","41.5%","20.7%","134.5%","21,220"
"21 S上里店","P_1.00","1,425.8","198","74","414","58,519","14,640,620","29.0%","37.4%","25.0%","128.9%","18,616"
"22 入間店","P_1.00","1,923.6","214","80","727","60,730","11,763,712","37.8%","37.5%","19.4%","99.3%","19,153"
"23 坂戸店","P_1.00","1,076.9","190","92","429","70,028","14,150,799","39.8%","48.3%","20.2%","121.3%","23,960"
"24 花園店","P_1.00","1,119.5","171","106","423","80,780","18,296,999","37.8%","61.9%","22.7%","163.9%","31,046"
"25 杉戸店","P_1.00","1,148.0","165","54","454","43,663","10,554,764","39.5%","32.5%","24.2%","82.3%","16,650"
"26 羽生店","P_1.00","1,125.8","199","62","277","45,298","8,509,800","24.6%","31.4%","18.8%","127.8%","15,902"
"27 千葉みなと店","P_1.00","830.4","237","93","331","75,827","18,402,827","39.8%","39.2%","24.3%","98.3%","19,839"
