"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"店舗平均","-","-","750","-","-","81,423","22,401,701","-","-","26.6%","-","29,037"
"2 渋川インター店","P_0.20","36.0","36","26","26","4,398","984,832","71.6%","71.6%","22.4%","100.0%","35,813"
"3 中之条店","P_0.20","61.5","26","12","37","1,710","488,914","60.7%","45.5%","28.6%","74.9%","20,859"
"5 前橋大利根店","P_0.20","145.3","89","69","96","11,353","2,912,409","66.3%","77.3%","25.7%","116.5%","39,189"
"6 ガーデン前橋店","P_0.20","42.0","42","31","31","991","184,788","74.1%","74.1%","18.6%","100.0%","37,344"
"10 倉賀野店","P_0.20","71.4","71","49","49","8,513","1,757,165","69.1%","69.1%","20.6%","100.0%","35,004"
"16 太田店","P_0.20","35.9","36","28","28","4,379","1,420,462","78.3%","78.3%","32.4%","100.0%","39,233"
"17 上越店","P_0.20","212.5","119","49","82","7,031","2,326,933","38.6%","41.0%","28.6%","106.1%","19,977"
"21 S上里店","P_0.20","79.5","40","26","57","4,369","1,227,180","71.7%","65.9%","28.1%","91.8%","32,220"
"25 杉戸店","P_0.20","237.7","55","41","144","667","251,943","60.4%","75.2%","37.8%","124.5%","35,926"
"27 千葉みなと店","P_0.20","37.2","37","29","29","4,908","1,311,549","77.6%","77.6%","26.7%","100.0%","39,620"
"28 浜野店","P_0.20","124.0","40","26","68","519","132,780","54.7%","64.6%","25.6%","118.1%","29,945"
"32 旭店","P_0.20","37.5","38","20","20","3,134","788,966","52.0%","52.0%","25.2%","100.0%","26,119"
"42 平塚駅前店","P_0.50","132.7","34","20","71","7,158","1,769,403","53.3%","58.0%","24.7%","108.8%","30,044"
"43 上永谷店","P_0.50","90.0","49","18","31","7,422","2,425,765","34.5%","35.9%","32.7%","104.1%","17,684"
"51 伊都店","P_0.20","79.3","79","44","44","6,232","2,279,407","55.3%","55.3%","33.5%","100.0%","27,507"
"55 松浦店","P_0.20","59.9","40","20","27","2,765","965,390","45.2%","49.9%","31.8%","110.3%","24,650"
"63 大分本店","P_0.50","84.0","44","19","36","5,873","1,173,815","42.8%","42.3%","18.1%","98.9%","20,351"
