"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"店舗平均","-","-","23,261","-","-","21,062,523","2,825,916,078","-","-","12.7%","-","9,656"
"1 沼田店","S_21.74","1,020.2","228","95","364","237,345","34,356,608","35.7%","41.8%","14.5%","117.1%","10,282"
"2 渋川インター店","S_21.74","485.5","246","108","200","269,540","40,504,759","41.2%","44.1%","15.0%","107.1%","10,947"
"3 中之条店","S_21.74","864.4","151","37","332","85,357","12,268,827","38.4%","24.4%","14.4%","63.5%","5,694"
"4 前橋若宮店","S_21.74","1,768.2","198","74","786","208,761","32,586,371","44.4%","37.2%","15.6%","83.7%","10,030"
"5 前橋大利根店","S_21.74","2,019.0","485","201","1,018","494,129","59,606,132","50.4%","41.5%","12.1%","82.3%","10,351"
"6 ガーデン前橋店","S_21.74","1,594.9","407","157","747","393,288","46,571,087","46.8%","38.6%","11.8%","82.5%","9,609"
"7 富岡店","S_21.74","367.2","247","97","124","230,420","31,671,673","33.7%","39.1%","13.7%","115.8%","9,473"
"8 安中店","S_21.74","598.2","212","84","141","209,667","27,844,215","23.6%","39.5%","13.3%","167.7%","9,961"
"9 高崎本店","S_21.74","2,383.5","427","253","1,233","640,587","75,420,632","51.7%","59.2%","11.8%","114.5%","15,445"
"10 倉賀野店","S_21.74","1,009.1","287","116","426","278,713","38,219,391","42.2%","40.6%","13.7%","96.2%","9,812"
"11 金古店","S_21.74","1,424.2","367","141","720","368,183","46,198,566","50.6%","38.3%","12.5%","75.7%","9,698"
"12 伊勢崎店","S_21.74","1,266.1","268","74","476","196,250","25,420,641","37.6%","27.5%","13.0%","73.3%","6,890"
"13 大間々店","S_21.74","887.1","354","117","306","305,091","38,912,435","34.4%","33.0%","12.8%","95.9%","8,178"
"14 館林店","S_21.74","1,197.5","364","111","332","289,549","40,700,281","27.8%","30.6%","14.1%","110.1%","7,531"
"15 太田矢島店","S_21.74","1,957.8","347","159","868","407,019","41,073,606","44.3%","45.7%","10.1%","103.2%","11,425"
"16 太田店","S_21.74","2,332.5","353","142","970","362,964","48,755,000","41.6%","40.2%","13.4%","96.6%","10,073"
"17 上越店","S_20.00","1,575.1","518","208","572","424,811","58,918,178","36.3%","40.0%","10.1%","110.2%","10,513"
"18 上田店","S_21.74","1,422.7","280","95","466","218,928","32,261,420","32.7%","33.9%","14.2%","103.5%","8,313"
"19 S熊谷店","S_21.74","2,040.9","395","196","606","473,527","51,932,152","29.7%","49.6%","11.0%","167.0%","12,019"
"20 S鴻巣店","S_21.74","1,674.7","437","178","606","434,631","51,339,889","36.2%","40.7%","11.8%","112.5%","10,069"
"21 S上里店","S_21.74","1,587.3","358","128","442","315,044","43,859,349","27.9%","35.9%","13.9%","128.8%","8,805"
"22 入間店","S_21.74","2,462.4","404","133","832","325,292","39,134,587","33.8%","32.9%","12.0%","97.3%","8,184"
"23 坂戸店","S_21.74","1,749.7","359","170","597","421,534","56,805,740","34.1%","47.3%","13.5%","138.7%","11,392"
"24 花園店","S_21.74","1,638.4","354","170","457","427,062","63,904,177","27.9%","48.1%","15.0%","172.5%","11,807"
"25 杉戸店","S_21.74","1,571.1","342","116","599","275,183","36,136,521","38.1%","33.9%","13.1%","88.8%","8,472"
"26 羽生店","S_21.74","1,218.7","319","94","313","220,582","28,580,784","25.7%","29.5%","13.0%","115.1%","7,304"
"27 千葉みなと店","S_21.74","2,185.9","287","92","1,097","244,063","28,175,500","50.2%","32.2%","11.5%","64.0%","8,167"
"28 浜野店","S_21.74","2,320.4","321","148","919","357,653","31,264,259","39.6%","46.1%","8.7%","116.5%","11,625"
"29 佐倉店","S_21.74","1,982.5","288","121","669","303,094","30,752,934","33.8%","42.2%","10.1%","124.9%","10,601"
