"店舗名","アウト","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト支持率"
"25 杉戸店","-","4,966.6","808","242","1,739","473,148","75,950,130","35.0%","29.9%","16.1%","85.4%","-"
"26 羽生店","-","3,846.0","795","220","923","410,462","64,214,688","24.0%","27.7%","15.6%","115.3%","-"
"27 千葉みなと店","-","5,437.0","1,004","365","2,309","546,948","91,634,098","42.5%","36.4%","16.8%","85.6%","-"
"28 浜野店","-","6,231.3","913","361","2,080","764,993","100,573,023","33.4%","39.5%","13.1%","118.4%","-"
"29 佐倉店","-","5,430.9","828","322","1,786","686,028","93,903,612","32.9%","38.9%","13.7%","118.4%","-"
"30 S東金店","-","3,849.5","950","584","1,536","1,094,260","-45,141,233","39.9%","61.4%","-4.1%","153.9%","-"
"32 旭店","-","2,597.4","701","162","675","282,828","41,541,556","26.0%","23.0%","14.7%","88.6%","-"
"33 妙典駅前店","-","4,714.3","625","244","1,689","538,632","78,725,419","35.8%","39.0%","14.6%","108.9%","-"
"34 ＷＡＫＯ鹿島店","-","4,176.5","834","312","1,126","589,952","103,247,048","27.0%","37.4%","17.2%","138.5%","-"
"35 神栖店","-","5,448.8","895","325","1,682","650,673","108,336,825","30.9%","36.3%","16.2%","117.5%","-"
"36 立川店","-","4,907.5","1,004","248","1,823","461,840","90,138,363","37.2%","24.7%","18.6%","66.5%","-"
"37 新小岩店","-","6,261.6","755","271","2,079","502,734","105,037,128","33.2%","36.0%","20.2%","108.3%","-"
"38 八王子北野店","-","5,483.4","617","186","1,967","361,668","70,447,841","35.9%","30.2%","18.5%","84.1%","-"
"40 錦糸町店","-","4,992.0","996","473","1,996","1,148,482","192,954,723","40.0%","47.5%","16.0%","118.7%","-"
"41 座間店","-","5,373.7","1,024","292","2,440","550,083","97,984,937","45.4%","28.5%","17.8%","62.7%","-"
"42 平塚駅前店","-","4,744.3","992","346","1,637","725,041","127,681,234","34.5%","34.9%","17.6%","101.2%","-"
"43 上永谷店","-","3,927.7","641","171","1,306","284,768","46,390,936","33.3%","26.6%","16.3%","80.1%","-"
"44 姫路店　","-","4,160.7","910","302","1,460","543,482","86,129,374","35.1%","33.2%","15.6%","94.6%","-"
"45 新開地店","-","4,406.2","1,337","599","1,763","1,113,463","153,321,528","40.0%","44.8%","13.6%","112.0%","-"
"46 仙台東店","-","5,248.5","833","295","1,545","685,861","122,765,545","29.4%","35.5%","17.6%","120.5%","-"
"47 仙台泉店","-","5,613.6","910","363","2,003","922,724","160,691,952","35.7%","39.9%","17.1%","111.9%","-"
"48 福岡本店","-","9,570.7","1,195","434","3,081","799,007","153,918,758","32.2%","36.3%","18.0%","112.8%","-"
"49 筑紫野店","-","9,700.8","1,734","591","3,491","1,036,192","202,836,689","36.0%","34.1%","18.4%","94.7%","-"
"50 福重店","-","8,586.7","996","373","3,047","745,662","160,790,582","35.5%","37.4%","20.5%","105.5%","-"
"51 伊都店","-","5,998.8","998","285","2,117","386,923","81,800,843","35.3%","28.6%","20.1%","80.9%","-"
"52 飯塚店","-","7,016.1","1,236","380","2,329","620,192","121,532,040","33.2%","30.7%","18.2%","92.5%","-"
"53 中間店","-","6,529.5","845","277","2,065","443,117","81,454,530","31.6%","32.8%","17.1%","103.7%","-"
"54 門司店","-","1,977.6","633","164","482","243,427","52,810,877","24.4%","26.0%","20.5%","106.6%","-"
"55 松浦店","-","1,122.1","719","134","201","178,860","48,504,472","17.9%","18.7%","26.0%","104.3%","-"
"56 佐々インター店","-","5,488.2","1,018","440","1,708","829,544","171,920,458","31.1%","43.3%","19.2%","139.0%","-"
"57 大野店","-","1,828.9","605","178","410","273,307","63,040,128","22.4%","29.5%","21.9%","131.5%","-"
"58 佐世保南店","-","4,580.1","816","366","1,682","649,516","133,375,272","36.7%","44.8%","19.4%","122.1%","-"
"59 大村店","-","2,804.4","737","291","883","515,844","84,494,117","31.5%","39.6%","15.0%","125.6%","-"
"60 諫早店","-","5,598.8","1,194","393","1,913","669,051","148,614,685","34.2%","32.9%","20.9%","96.4%","-"
"61 長与店","-","2,276.2","846","340","989","578,458","112,540,941","43.4%","40.1%","17.8%","92.4%","-"
"62 女神店","-","4,091.7","1,268","480","1,262","792,636","180,785,514","30.8%","37.9%","21.3%","122.7%","-"
"63 大分本店","-","7,969.4","996","316","2,226","401,865","73,813,562","27.9%","31.7%","17.0%","113.4%","-"
"64 南大分店","-","4,335.4","994","323","1,362","554,479","97,772,385","31.4%","32.5%","16.3%","103.5%","-"
"65 日向店","-","3,775.5","994","355","1,107","555,323","94,983,721","29.3%","35.7%","15.1%","121.9%","-"
"66 都城店","-","6,571.3","1,033","304","2,603","482,357","60,512,893","39.6%","29.4%","10.9%","74.3%","-"
"67 大淀店","-","7,471.0","1,332","518","2,792","850,032","113,395,743","37.4%","38.9%","12.1%","104.0%","-"
"68 延岡店","-","3,576.0","997","366","1,151","641,352","125,342,455","32.2%","36.7%","18.3%","114.1%","-"
"69 松橋インター店","-","3,299.0","827","232","1,084","464,409","68,798,275","32.8%","28.1%","14.8%","85.4%","-"
"70 八代店","-","4,838.5","998","388","1,454","744,727","92,268,793","30.1%","38.9%","12.4%","129.4%","-"
