"店舗名","アウト","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト支持率"
"店舗平均","-","-","61,983","-","-","42,666,169","7,040,377,018","-","-","16.0%","-","-"
"1 沼田店","-","3,666.6","763","271","1,155","484,870","88,292,249","31.5%","35.5%","18.2%","112.6%","-"
"2 渋川インター店","-","1,874.9","710","253","655","503,096","82,492,800","34.9%","35.6%","16.4%","101.9%","-"
"3 中之条店","-","3,095.5","458","114","1,040","176,437","32,133,094","33.6%","24.9%","18.2%","74.2%","-"
"4 前橋若宮店","-","4,979.5","599","198","1,756","496,062","79,828,405","35.3%","33.1%","16.1%","93.8%","-"
"5 前橋大利根店","-","6,617.1","1,200","480","2,646","859,114","132,885,246","40.0%","40.0%","15.5%","100.1%","-"
"6 ガーデン前橋店","-","4,795.4","1,079","369","1,725","799,619","134,914,082","36.0%","34.2%","16.9%","95.2%","-"
"7 富岡店","-","1,239.0","708","239","329","482,853","82,108,970","26.5%","33.7%","17.0%","127.2%","-"
"8 安中店","-","1,984.2","787","235","374","447,593","78,579,789","18.8%","29.9%","17.6%","158.4%","-"
"9 高崎本店","-","6,286.2","992","509","2,784","1,243,968","157,783,526","44.3%","51.3%","12.7%","115.8%","-"
"10 倉賀野店","-","3,776.0","981","339","1,352","501,700","76,660,840","35.8%","34.6%","15.3%","96.5%","-"
"11 金古店","-","4,870.9","997","340","1,923","753,414","122,009,364","39.5%","34.1%","16.2%","86.3%","-"
"12 伊勢崎店","-","3,228.0","719","189","1,077","377,089","65,080,680","33.4%","26.3%","17.3%","78.7%","-"
"13 大間々店","-","4,087.2","992","309","1,288","593,361","93,673,008","31.5%","31.1%","15.8%","98.7%","-"
"14 館林店","-","3,274.8","877","263","824","561,045","95,892,457","25.1%","30.0%","17.1%","119.3%","-"
"15 太田矢島店","-","5,402.1","824","349","2,069","723,101","107,156,213","38.3%","42.3%","14.8%","110.5%","-"
"16 太田店","-","6,400.7","1,042","382","2,274","687,232","110,828,211","35.5%","36.7%","16.1%","103.3%","-"
"17 上越店","-","4,913.7","1,326","414","1,461","655,250","118,352,046","29.7%","31.3%","15.0%","105.1%","-"
"18 上田店","-","3,767.3","785","262","1,037","541,847","107,858,078","27.5%","33.3%","19.6%","121.0%","-"
"19 S熊谷店","-","5,575.0","1,029","472","1,511","982,735","152,073,310","27.1%","45.9%","15.5%","169.3%","-"
"20 S鴻巣店","-","4,599.4","1,032","383","1,454","837,150","121,861,133","31.6%","37.1%","14.6%","117.2%","-"
"21 S上里店","-","4,897.6","986","334","1,236","605,023","100,706,163","25.2%","33.9%","16.6%","134.2%","-"
"22 入間店","-","6,654.8","996","300","2,302","595,283","92,647,958","34.6%","30.1%","15.6%","87.1%","-"
"23 坂戸店","-","4,590.7","923","416","1,555","956,081","148,187,188","33.9%","45.0%","15.5%","133.0%","-"
"24 花園店","-","4,957.8","898","412","1,340","1,007,894","166,535,748","27.0%","45.9%","16.5%","169.6%","-"
