"店舗名","アウト","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト支持率"
"店舗平均","-","-","62,140","-","-","36,816,309","5,996,054,821","-","-","15.7%","-","-"
"1 沼田店","-","3,670.9","765","245","1,020","450,946","70,902,744","27.8%","32.1%","15.7%","115.4%","-"
"2 渋川インター店","-","1,874.8","710","214","572","437,869","68,792,281","30.5%","30.1%","15.7%","98.7%","-"
"3 中之条店","-","3,095.5","456","101","918","154,704","25,571,360","29.7%","22.2%","16.5%","74.7%","-"
"4 前橋若宮店","-","4,980.2","600","181","1,477","444,113","69,769,602","29.7%","30.2%","15.7%","102.0%","-"
"5 前橋大利根店","-","6,621.8","1,207","378","2,194","697,637","110,445,493","33.1%","31.3%","15.8%","94.4%","-"
"6 ガーデン前橋店","-","5,768.7","1,094","294","1,722","636,624","98,246,611","29.9%","26.9%","15.4%","90.1%","-"
"7 富岡店","-","1,242.1","711","202","280","415,322","65,592,008","22.6%","28.4%","15.8%","126.0%","-"
"8 安中店","-","1,982.9","787","201","318","385,071","64,292,631","16.0%","25.5%","16.7%","159.2%","-"
"9 高崎本店","-","6,288.9","996","429","2,272","1,050,927","132,107,018","36.1%","43.1%","12.6%","119.2%","-"
"10 倉賀野店","-","3,768.4","975","253","1,119","438,728","63,847,282","29.7%","25.9%","14.6%","87.3%","-"
"11 金古店","-","4,869.1","1,000","282","1,605","619,561","95,909,686","33.0%","28.2%","15.5%","85.4%","-"
"12 伊勢崎店","-","4,297.2","718","157","1,147","319,687","56,854,775","26.7%","21.9%","17.8%","81.9%","-"
"13 大間々店","-","4,082.6","988","285","1,119","527,048","70,380,879","27.4%","28.8%","13.4%","105.2%","-"
"14 館林店","-","3,276.0","875","230","689","478,391","72,790,056","21.0%","26.2%","15.2%","124.9%","-"
"15 太田矢島店","-","5,406.8","822","289","1,745","578,303","86,327,117","32.3%","35.2%","14.9%","109.0%","-"
"16 太田店","-","5,926.8","1,048","323","1,823","583,149","94,264,700","30.8%","30.8%","16.2%","100.1%","-"
"17 上越店","-","4,942.9","1,353","341","1,258","559,007","98,494,187","25.5%","25.2%","14.5%","99.0%","-"
"18 上田店","-","3,810.5","830","237","935","494,479","82,469,534","24.5%","28.6%","16.3%","116.3%","-"
"19 S熊谷店","-","5,574.8","1,027","427","1,358","905,094","132,890,633","24.4%","41.5%","14.7%","170.6%","-"
"20 S鴻巣店","-","4,607.0","1,046","323","1,261","693,972","98,270,301","27.4%","30.9%","14.2%","112.9%","-"
"21 S上里店","-","4,929.7","995","273","1,049","533,869","81,523,858","21.3%","27.4%","15.3%","128.9%","-"
"22 入間店","-","6,659.5","998","234","1,939","498,983","82,021,342","29.1%","23.4%","16.4%","80.4%","-"
"23 坂戸店","-","4,614.6","947","364","1,367","808,180","124,355,969","29.6%","38.4%","15.4%","129.6%","-"
"24 花園店","-","4,960.1","898","342","1,184","848,033","133,512,238","23.9%","38.1%","15.7%","159.5%","-"
"25 杉戸店","-","4,973.5","816","194","1,468","397,332","67,883,787","29.5%","23.8%","17.1%","80.5%","-"
"26 羽生店","-","3,845.0","797","168","790","320,521","50,097,830","20.6%","21.1%","15.6%","102.7%","-"
"27 千葉みなと店","-","5,455.5","1,011","313","2,008","471,086","77,356,658","36.8%","31.0%","16.4%","84.1%","-"
"28 浜野店","-","6,247.3","921","311","1,770","676,599","99,866,345","28.3%","33.8%","14.8%","119.3%","-"
"29 佐倉店","-","5,427.4","822","284","1,545","614,103","90,849,655","28.5%","34.5%","14.8%","121.4%","-"
"30 S東金店","-","3,879.5","951","488","1,296","1,030,013","30,269,600","33.4%","51.3%","2.9%","153.6%","-"
"32 旭店","-","2,611.0","707","151","586","249,247","41,201,303","22.4%","21.4%","16.5%","95.2%","-"
"33 妙典駅前店","-","4,724.7","635","209","1,477","475,386","73,185,702","31.3%","33.0%","15.4%","105.5%","-"
"34 ＷＡＫＯ鹿島店","-","4,183.0","838","277","983","539,682","94,517,376","23.5%","33.1%","17.2%","141.0%","-"
"35 神栖店","-","5,450.5","897","273","1,492","540,032","94,392,717","27.4%","30.4%","17.0%","111.0%","-"
"36 立川店","-","4,941.8","1,003","240","1,667","464,088","73,821,457","33.7%","24.0%","14.9%","71.1%","-"
"37 新小岩店","-","6,262.3","755","229","1,828","426,903","87,189,571","29.2%","30.3%","19.7%","103.9%","-"
"38 八王子北野店","-","5,484.7","618","158","1,715","316,891","57,757,152","31.3%","25.5%","17.2%","81.6%","-"
"40 錦糸町店","-","4,987.7","995","401","1,739","1,029,466","171,643,575","34.9%","40.2%","15.9%","115.4%","-"
"41 座間店","-","5,380.3","1,030","240","2,151","457,490","79,588,464","40.0%","23.3%","17.4%","58.3%","-"
"42 平塚駅前店","-","4,757.8","996","298","1,425","622,316","111,663,318","29.9%","29.9%","17.9%","99.9%","-"
"43 上永谷店","-","3,925.9","639","150","1,143","250,209","42,466,403","29.1%","23.5%","17.0%","80.8%","-"
"44 姫路店　","-","4,161.1","910","254","1,252","449,872","72,245,915","30.1%","27.9%","15.8%","92.8%","-"
"45 新開地店","-","4,398.2","1,334","533","1,527","1,041,912","132,197,415","34.7%","40.0%","12.5%","115.0%","-"
"46 仙台東店","-","5,245.8","830","259","1,375","589,125","94,786,228","26.2%","31.2%","15.7%","119.1%","-"
"47 仙台泉店","-","5,623.7","912","295","1,663","720,922","122,187,460","29.6%","32.3%","16.7%","109.2%","-"
"48 福岡本店","-","9,548.6","1,172","368","2,795","684,237","126,001,269","29.3%","31.4%","17.1%","107.4%","-"
"49 筑紫野店","-","9,667.2","1,701","521","3,012","902,104","160,165,162","31.2%","30.6%","16.5%","98.3%","-"
"50 福重店","-","8,587.5","997","342","2,865","657,588","136,127,790","33.4%","34.3%","19.6%","102.9%","-"
"51 伊都店","-","6,002.8","997","260","1,962","354,096","73,571,066","32.7%","26.0%","19.7%","79.7%","-"
"52 飯塚店","-","6,962.0","1,210","325","2,105","510,237","98,020,869","30.2%","26.9%","17.7%","88.8%","-"
"53 中間店","-","6,526.2","844","244","1,845","378,610","69,619,638","28.3%","29.0%","17.2%","102.4%","-"
"54 門司店","-","1,980.5","636","153","441","220,666","45,711,385","22.3%","24.1%","19.3%","108.3%","-"
"55 松浦店","-","1,121.6","718","117","183","151,515","39,160,712","16.3%","16.4%","24.7%","100.2%","-"
"56 佐々インター店","-","5,488.4","1,017","394","1,533","713,228","141,319,136","27.9%","38.8%","18.3%","138.8%","-"
"57 大野店","-","1,835.2","605","150","378","226,818","52,142,981","20.6%","24.8%","21.7%","120.4%","-"
"58 佐世保南店","-","4,578.0","813","316","1,504","561,551","113,746,950","32.8%","38.9%","19.0%","118.3%","-"
"59 大村店","-","2,810.8","735","262","797","447,820","77,585,861","28.3%","35.6%","15.8%","125.8%","-"
"60 諫早店","-","5,601.7","1,196","346","1,699","581,231","119,497,773","30.3%","28.9%","19.3%","95.4%","-"
"61 長与店","-","2,273.9","845","299","869","489,739","98,366,501","38.2%","35.4%","18.4%","92.5%","-"
"62 女神店","-","4,092.1","1,267","421","1,142","689,292","152,245,475","27.9%","33.3%","20.5%","119.2%","-"
"63 大分本店","-","7,969.4","995","277","1,927","349,769","60,201,358","24.2%","27.8%","15.7%","115.1%","-"
"64 南大分店","-","4,337.1","995","294","1,187","501,770","85,242,021","27.4%","29.6%","15.7%","108.1%","-"
"65 日向店","-","3,777.3","996","311","943","480,689","86,073,248","25.0%","31.3%","15.7%","125.3%","-"
"66 都城店","-","6,574.8","1,035","220","2,075","348,285","62,239,405","31.6%","21.3%","16.3%","67.4%","-"
"67 大淀店","-","7,474.4","1,335","491","2,505","759,280","98,712,593","33.5%","36.8%","11.6%","109.8%","-"
"68 延岡店","-","3,576.2","996","311","1,023","541,868","114,468,581","28.6%","31.2%","19.7%","109.0%","-"
"69 松橋インター店","-","3,298.7","827","203","978","395,688","58,809,147","29.6%","24.6%","14.9%","83.0%","-"
"70 八代店","-","4,836.6","996","330","1,284","627,338","82,225,664","26.6%","33.2%","13.1%","124.9%","-"
