"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"店舗平均","-","-","14,112","-","-","3,933,586","862,181,917","-","-","21.3%","-","19,773"
"1 沼田店","P_1.00","1,188.3","285","97","396","70,196","16,165,356","33.3%","34.1%","23.0%","102.2%","17,097"
"2 渋川インター店","P_1.00","583.2","143","51","212","40,723","10,080,133","36.4%","35.4%","24.8%","97.3%","17,738"
"3 中之条店","P_1.00","996.3","128","36","345","25,033","6,473,667","34.7%","28.3%","25.9%","81.5%","13,725"
"4 前橋若宮店","P_1.00","953.8","117","59","336","47,514","9,356,634","35.2%","50.4%","19.7%","143.0%","26,686"
"5 前橋大利根店","P_1.00","1,691.1","234","88","580","72,089","14,643,117","34.3%","37.5%","20.3%","109.2%","19,304"
"6 ガーデン前橋店","P_1.00","1,465.9","251","80","436","62,751","12,517,825","29.8%","31.9%","19.9%","107.0%","16,049"
"7 富岡店","P_1.00","262.7","143","68","99","50,258","11,353,236","37.7%","47.3%","22.6%","125.5%","23,780"
"8 安中店","P_1.00","439.7","200","57","101","49,166","9,671,194","23.1%","28.6%","19.7%","123.9%","15,266"
"9 高崎本店","P_1.00","1,265.4","163","89","525","72,405","12,374,000","41.5%","54.5%","17.1%","131.3%","29,159"
"10 倉賀野店","P_1.00","1,094.0","274","71","371","55,684","9,330,656","33.9%","26.0%","16.8%","76.5%","13,043"
"11 金古店","P_1.00","1,153.7","209","84","472","66,536","15,359,023","40.9%","40.4%","23.1%","98.7%","20,356"
"12 伊勢崎店","P_1.00","877.8","159","38","304","30,830","10,168,960","34.7%","23.8%","33.0%","68.6%","11,730"
"13 大間々店","P_1.00","1,469.1","241","92","505","69,715","13,225,427","34.3%","38.2%","19.0%","111.3%","19,132"
"14 館林店","P_1.00","947.1","235","71","247","53,669","11,004,156","26.1%","30.1%","20.5%","115.4%","14,705"
"15 太田矢島店","P_1.00","1,275.9","212","98","476","74,473","14,937,407","37.3%","46.1%","20.1%","123.8%","23,878"
"16 太田店","P_1.00","1,517.9","284","102","565","78,851","18,114,670","37.2%","35.8%","23.0%","96.2%","18,335"
"17 上越店","P_1.00","1,217.2","237","59","333","41,105","10,144,771","27.3%","24.9%","22.4%","91.0%","12,702"
"18 上田店","P_1.09","804.0","156","70","241","54,097","13,104,074","30.0%","44.8%","23.9%","149.5%","22,412"
"19 S熊谷店","P_1.00","1,320.3","264","124","374","100,620","21,900,023","28.3%","46.8%","21.8%","165.3%","23,486"
"20 S鴻巣店","P_1.00","1,154.5","207","72","314","58,940","11,334,193","27.2%","34.5%","19.2%","126.6%","17,599"
"21 S上里店","P_1.00","1,425.2","198","64","362","53,135","10,359,451","25.4%","32.3%","19.5%","127.3%","16,579"
"22 入間店","P_1.00","1,902.0","193","62","615","50,883","11,136,472","32.3%","32.2%","21.9%","99.6%","16,388"
"23 坂戸店","P_1.00","1,195.9","190","86","430","65,063","12,927,319","36.0%","45.5%","19.9%","126.4%","22,791"
"24 花園店","P_1.00","1,121.1","170","90","382","70,908","14,779,531","34.0%","52.7%","20.8%","154.7%","26,506"
"25 杉戸店","P_1.00","1,150.7","167","45","387","37,552","8,354,107","33.6%","27.0%","22.2%","80.3%","13,403"
"26 羽生店","P_1.00","1,126.1","200","52","233","38,097","7,069,100","20.7%","25.8%","18.6%","124.9%","13,129"
"27 千葉みなと店","P_1.00","824.7","232","79","296","65,383","14,164,628","35.9%","34.0%","21.7%","94.6%","17,267"
"28 浜野店","P_1.00","1,151.0","193","75","304","62,582","14,219,955","26.4%","38.7%","22.7%","146.6%","20,587"
"29 佐倉店","P_1.00","1,213.7","197","84","403","65,924","12,911,474","33.2%","42.7%","19.6%","128.6%","22,201"
"30 S東金店","P_1.00","832.1","184","113","310","84,166","14,348,345","37.2%","61.6%","17.0%","165.5%","32,725"
"32 旭店","P_1.00","963.4","186","48","239","36,504","6,205,390","24.8%","25.9%","17.0%","104.5%","12,950"
"33 妙典駅前店","P_1.00","871.2","130","53","329","45,909","7,830,217","37.8%","40.9%","17.1%","108.3%","21,918"
"34 ＷＡＫＯ鹿島店","P_1.00","706.5","250","92","208","58,493","11,350,236","29.4%","36.7%","18.8%","124.8%","18,812"
"35 神栖店","P_1.00","907.5","177","65","288","43,967","9,531,602","31.8%","36.6%","21.1%","115.4%","18,798"
"36 立川店","P_1.00","788.1","203","60","300","41,459","10,984,128","38.1%","29.6%","25.6%","77.6%","15,627"
"37 新小岩店","P_1.00","1,686.5","247","100","488","66,765","16,459,291","28.9%","40.3%","24.0%","139.3%","20,724"
"38 八王子北野店","P_1.12","1,071.1","63","18","383","18,305","4,984,379","35.8%","28.9%","26.3%","80.6%","17,546"
"40 錦糸町店","P_1.00","587.9","90","46","240","36,494","11,618,896","40.9%","51.2%","31.2%","125.3%","28,335"
"41 座間店","P_1.00","936.5","253","74","407","64,054","17,091,247","43.4%","29.4%","26.7%","67.7%","15,517"
"42 平塚駅前店","P_1.00","996.8","196","66","352","53,629","12,247,658","35.3%","33.7%","22.8%","95.3%","17,576"
"43 上永谷店","P_1.00","736.2","131","48","297","41,244","9,717,350","40.3%","36.9%","23.6%","91.5%","19,542"
"44 姫路店　","P_1.02","904.7","203","59","306","41,118","10,133,925","33.9%","29.1%","24.5%","85.9%","13,947"
"45 新開地店","P_1.00","934.8","228","122","385","74,912","14,456,055","41.2%","53.4%","19.1%","129.6%","27,075"
"46 仙台東店","P_1.00","1,048.9","181","76","304","59,777","12,378,348","29.0%","41.7%","20.3%","143.9%","23,553"
