"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"店舗平均","-","-","4,042","-","-","1,445,341","251,186,749","-","-","16.8%","-","11,364"
"1 沼田店","S_5.49","177.1","41","20","69","15,243","2,625,796","39.0%","48.2%","17.2%","123.4%","11,788"
"2 渋川インター店","S_5.49","80.8","36","16","31","13,042","2,388,663","37.9%","44.4%","18.3%","117.2%","10,871"
"3 中之条店","S_5.49","145.1","23","11","62","9,317","1,932,814","42.5%","48.8%","20.7%","114.6%","11,800"
"4 前橋若宮店","S_5.49","157.4","17","8","63","6,649","1,022,208","39.8%","46.0%","15.4%","115.7%","11,999"
"5 前橋大利根店","S_5.49","233.5","76","41","119","31,891","4,339,950","50.9%","54.0%","13.6%","106.2%","13,265"
"6 ガーデン前橋店","S_5.49","267.9","70","27","101","23,553","3,925,656","37.9%","39.0%","16.7%","103.0%","9,761"
"7 富岡店","S_5.49","87.0","36","10","17","8,277","1,039,094","19.0%","27.7%","12.6%","145.6%","6,829"
"8 安中店","S_5.49","150.1","99","39","46","27,354","3,565,140","30.6%","39.7%","13.0%","129.7%","9,506"
"9 高崎本店","S_5.49","289.2","34","22","157","18,794","3,025,532","54.3%","65.7%","16.1%","121.1%","17,072"
"10 倉賀野店","S_5.49","117.0","54","26","65","21,498","3,540,794","55.9%","48.3%","16.5%","86.4%","11,973"
"11 金古店","S_5.49","125.4","48","24","68","19,639","3,592,603","53.9%","50.0%","18.3%","92.7%","12,571"
"12 伊勢崎店","S_5.49","197.9","71","32","79","24,806","3,878,155","40.0%","45.3%","15.6%","113.1%","11,136"
"13 大間々店","S_5.49","116.8","84","43","58","33,712","3,770,121","49.3%","51.5%","11.2%","104.4%","13,158"
"14 館林店","S_5.49","199.8","40","19","55","15,530","1,730,253","27.6%","47.8%","11.1%","173.5%","11,607"
"15 太田矢島店","S_5.49","182.9","42","25","98","20,340","2,269,032","53.6%","59.7%","11.2%","111.2%","14,563"
"16 太田店","S_5.49","160.9","57","31","90","24,870","4,557,533","55.6%","54.9%","18.3%","98.7%","13,750"
"17 上越店","S_5.62","239.0","80","33","83","24,568","5,686,600","34.5%","41.2%","19.9%","119.4%","10,387"
"18 上田店","S_5.43","153.7","26","11","56","8,153","1,580,440","36.3%","40.9%","18.9%","112.7%","9,986"
"19 S熊谷店","S_5.49","239.7","49","29","112","23,941","4,890,145","46.6%","60.4%","20.4%","129.6%","14,879"
"20 S鴻巣店","S_5.49","236.7","87","43","119","34,802","4,116,392","50.4%","49.6%","11.8%","98.4%","12,333"
"21 S上里店","S_5.49","311.5","120","54","125","41,226","6,078,852","40.0%","44.8%","14.7%","112.1%","10,724"
"22 入間店","S_5.49","149.9","66","30","55","23,915","3,689,114","36.9%","45.0%","15.4%","122.1%","11,087"
"23 坂戸店","S_5.49","185.0","59","30","84","24,088","2,387,736","45.7%","51.5%","9.9%","112.8%","12,469"
"25 杉戸店","S_5.49","202.3","83","31","87","23,348","3,495,835","43.0%","37.5%","15.0%","87.2%","9,036"
"26 羽生店","S_5.49","299.8","80","25","103","19,786","2,470,714","34.5%","31.6%","12.5%","91.8%","7,793"
"27 千葉みなと店","S_5.49","288.9","140","82","165","58,462","7,476,353","57.2%","58.5%","12.8%","102.4%","14,392"
"28 浜野店","S_5.49","412.4","85","49","171","40,743","6,357,518","41.4%","57.6%","15.6%","139.1%","14,803"
"29 佐倉店","S_5.49","306.9","56","24","130","20,215","2,910,339","42.3%","43.2%","14.4%","102.1%","10,724"
"30 S東金店","S_5.49","185.9","47","28","76","23,349","2,510,934","40.8%","59.4%","10.8%","145.5%","15,560"
"32 旭店","S_5.49","215.8","40","30","69","14,024","1,987,521","31.9%","39.6%","14.2%","124.3%","10,589"
"33 妙典駅前店","S_6.25","208.0","53","30","108","28,157","4,672,947","51.7%","56.7%","16.6%","109.6%","14,760"
"34 ＷＡＫＯ鹿島店","S_5.49","282.9","21","5","83","3,959","1,183,455","29.2%","25.4%","29.3%","86.8%","5,831"
"35 神栖店","S_5.49","218.9","37","14","69","10,891","2,988,500","31.6%","38.6%","26.7%","122.1%","9,908"
"36 立川店","S_5.49","432.7","76","24","193","19,038","4,581,573","44.7%","31.7%","22.9%","70.8%","8,134"
"38 八王子北野店","S_6.25","361.0","93","28","129","24,699","4,798,346","35.6%","29.7%","18.3%","83.5%","7,766"
"41 座間店","S_5.49","173.7","101","42","76","33,708","4,483,018","44.0%","41.9%","13.3%","95.2%","10,840"
"42 平塚駅前店","S_5.49","206.9","65","39","122","30,935","4,635,342","59.0%","60.1%","15.0%","101.9%","15,870"
"43 上永谷店","S_5.56","203.8","71","25","72","20,913","2,916,053","35.5%","35.7%","13.9%","100.4%","9,071"
"44 姫路店　","S_5.43","209.8","84","48","102","34,528","5,074,009","48.6%","56.9%","14.4%","116.9%","14,080"
"45 新開地店","S_5.49","385.8","113","53","188","40,169","5,202,892","48.8%","47.3%","12.6%","97.0%","12,213"
"46 仙台東店","S_5.49","27.9","28","16","16","15,012","2,237,524","58.9%","58.9%","14.5%","100.0%","16,975"
"47 仙台泉店","S_5.49","25.0","25","13","13","11,909","2,280,213","52.6%","52.6%","18.7%","100.0%","15,286"
"48 福岡本店","S_5.49","237.8","80","35","99","27,815","7,368,926","41.5%","44.0%","25.1%","106.0%","11,417"
"49 筑紫野店","S_5.49","318.0","108","54","116","42,297","10,083,304","36.4%","49.7%","22.3%","136.7%","12,874"
"50 福重店","S_5.49","489.7","60","28","233","20,989","4,712,416","47.5%","46.5%","21.2%","97.9%","11,985"
"51 伊都店","S_5.49","436.7","80","35","219","26,463","6,954,960","50.2%","43.8%","24.6%","87.3%","11,134"
"52 飯塚店","S_5.49","330.6","75","30","124","22,897","4,144,754","37.5%","40.7%","16.5%","108.6%","10,123"
"53 中間店","S_5.49","220.0","60","33","95","22,011","4,524,257","43.0%","54.2%","19.0%","125.9%","13,204"
"54 門司店","S_5.49","153.8","52","18","47","12,949","3,067,526","30.7%","34.7%","21.9%","113.2%","8,776"
"55 松浦店","S_5.49","97.0","80","22","25","15,037","2,860,134","25.5%","27.9%","16.7%","109.5%","6,708"
"56 佐々インター店","S_5.49","252.9","38","20","93","14,583","3,228,971","36.6%","52.7%","20.3%","143.9%","12,966"
"57 大野店","S_5.49","120.7","71","27","36","19,761","4,555,024","29.4%","37.9%","21.2%","128.8%","9,726"
"58 佐世保南店","S_5.49","114.1","36","17","54","12,816","2,733,058","47.2%","47.5%","20.0%","100.7%","11,746"
"59 大村店","S_5.49","160.0","57","18","54","13,989","2,408,956","34.0%","32.3%","15.8%","95.2%","8,089"
"60 諫早店","S_5.49","259.8","80","35","97","25,433","4,458,773","37.3%","43.7%","15.9%","117.2%","11,104"
"61 長与店","S_5.49","34.0","34","20","20","15,414","3,102,074","60.0%","60.0%","18.5%","100.0%","14,754"
"62 女神店","S_5.49","129.9","80","34","47","24,971","7,044,163","36.3%","42.5%","26.0%","116.9%","10,411"
"63 大分本店","S_5.49","447.0","86","39","159","27,805","6,161,475","35.6%","44.8%","20.4%","125.8%","11,329"
"64 南大分店","S_5.49","236.6","35","15","88","11,489","2,419,279","37.2%","43.1%","20.1%","115.8%","10,567"
"65 日向店","S_5.49","205.8","70","22","58","16,168","4,097,535","28.2%","31.2%","22.8%","110.6%","7,689"
"66 都城店","S_5.49","175.8","74","25","60","19,038","4,139,362","34.1%","34.2%","20.5%","100.5%","8,654"
"67 大淀店","S_5.49","390.0","78","37","163","26,038","5,227,482","41.8%","46.8%","18.9%","111.9%","11,432"
"68 延岡店","S_5.49","81.0","63","25","31","19,263","3,981,935","37.7%","40.2%","18.8%","106.6%","9,853"
"69 松橋インター店","S_5.49","63.9","64","27","27","20,374","2,643,945","41.9%","41.9%","13.0%","100.0%","10,154"
"70 八代店","S_5.49","81.0","41","25","44","18,701","3,372,731","54.1%","61.9%","18.0%","114.4%","15,261"
