"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"店舗平均","-","-","19,255","-","-","12,556,149","2,323,971,176","-","-","18.3%","-","9,862"
"1 沼田店","P_4.00","1,022.3","211","42","152","145,940","23,463,984","14.9%","19.8%","16.1%","133.3%","10,013"
"2 渋川インター店","P_4.00","489.9","250","35","84","134,341","26,572,108","17.1%","14.0%","19.8%","82.1%","7,327"
"3 中之条店","P_4.00","830.3","129","12","138","43,855","8,693,300","16.6%","9.5%","19.8%","57.0%","4,981"
"4 前橋若宮店","P_4.00","1,770.1","269","49","322","195,600","30,769,260","18.2%","18.1%","15.7%","99.6%","10,054"
"5 前橋大利根店","P_4.00","1,848.9","354","48","433","183,695","34,911,128","23.4%","13.5%","19.0%","57.8%","7,176"
"6 ガーデン前橋店","P_4.00","1,613.8","353","53","336","208,037","36,863,868","20.8%","15.0%","17.7%","72.2%","7,931"
"7 富岡店","P_4.00","526.7","287","44","61","150,284","26,692,072","11.6%","15.2%","17.8%","131.5%","7,732"
"8 安中店","P_4.00","796.1","276","27","47","115,371","24,792,796","5.9%","9.8%","21.5%","165.8%","5,529"
"9 高崎本店","P_4.00","2,180.3","371","105","486","403,407","59,807,500","22.3%","28.4%","14.8%","127.4%","16,000"
"10 倉賀野店","P_4.00","1,193.4","280","24","218","88,988","16,239,396","18.3%","8.6%","18.2%","46.9%","4,457"
"11 金古店","P_4.00","1,575.9","377","58","318","221,768","40,745,624","20.2%","15.4%","18.4%","76.3%","8,020"
"12 伊勢崎店","P_4.00","1,427.0","222","20","201","81,256","17,925,180","14.1%","9.0%","22.1%","63.6%","4,782"
"13 大間々店","P_4.00","969.5","329","41","119","146,192","20,649,176","12.3%","12.5%","14.1%","101.6%","6,373"
"14 館林店","P_4.00","927.9","233","38","111","143,717","25,346,776","11.9%","16.3%","17.6%","136.5%","8,817"
"15 太田矢島店","P_4.00","1,678.8","222","42","317","150,509","24,333,940","18.9%","19.2%","16.2%","101.3%","10,494"
"16 太田店","P_4.00","2,028.2","318","41","362","155,341","28,157,880","17.9%","12.8%","18.1%","71.7%","6,620"
"17 上越店","P_4.00","1,410.1","358","33","221","113,926","22,673,050","15.6%","9.3%","18.6%","59.4%","4,838"
"18 上田店","P_4.35","1,340.4","278","56","201","200,544","36,660,080","15.0%","20.1%","18.1%","134.0%","10,322"
"19 S熊谷店","P_4.00","1,654.1","319","89","205","326,933","61,020,552","12.4%","27.9%","18.7%","224.9%","14,347"
"20 S鴻巣店","P_4.00","1,246.0","300","58","211","224,249","39,339,260","16.9%","19.2%","17.5%","113.2%","10,165"
"21 S上里店","P_4.00","1,518.4","280","37","149","139,871","27,668,032","9.8%","13.2%","19.8%","134.3%","6,949"
"22 入間店","P_4.00","1,618.3","302","36","326","140,039","31,261,540","20.2%","11.8%","22.3%","58.4%","6,156"
