"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"店舗平均","-","-","13,837","-","-","4,031,944","895,083,735","-","-","21.6%","-","20,391"
"1 沼田店","P_1.00","1,163.9","279","99","395","70,856","15,461,060","34.0%","35.5%","21.8%","104.4%","17,820"
"2 渋川インター店","P_1.00","564.2","124","44","211","36,535","8,878,987","37.4%","35.1%","24.3%","93.7%","18,375"
"3 中之条店","P_1.00","971.9","128","33","344","23,231","5,639,678","35.3%","25.9%","24.3%","73.3%","12,920"
"4 前橋若宮店","P_1.00","768.0","116","57","263","47,806","12,135,329","34.3%","49.0%","25.4%","143.1%","25,757"
"5 前橋大利根店","P_1.00","1,506.1","234","84","511","70,994","15,844,052","33.9%","36.0%","22.3%","106.2%","19,049"
"6 ガーデン前橋店","P_1.00","1,432.9","223","78","427","61,624","13,394,871","29.8%","35.0%","21.7%","117.7%","17,547"
"7 富岡店","P_1.00","329.6","170","69","106","53,909","10,807,753","32.1%","40.4%","20.0%","126.0%","20,865"
"8 安中店","P_1.00","460.0","180","62","114","53,560","9,900,728","24.8%","34.7%","18.5%","139.7%","18,484"
"9 高崎本店","P_1.00","1,188.5","131","79","510","64,882","12,189,800","42.9%","60.4%","18.8%","140.7%","32,343"
"10 倉賀野店","P_1.00","1,056.0","236","69","385","59,388","11,906,818","36.4%","29.3%","20.0%","80.4%","14,586"
"11 金古店","P_1.00","1,147.5","208","88","476","70,867","16,491,761","41.5%","42.6%","23.3%","102.7%","21,321"
"12 伊勢崎店","P_1.00","897.5","174","55","358","42,917","8,841,300","39.8%","31.7%","20.6%","79.7%","16,249"
"13 大間々店","P_1.00","1,471.5","244","99","515","76,918","17,865,368","35.0%","40.7%","23.2%","116.3%","20,479"
"14 館林店","P_1.00","897.0","199","65","234","50,707","11,098,315","26.1%","32.9%","21.9%","125.9%","16,106"
"15 太田矢島店","P_1.00","1,238.2","209","91","488","71,945","17,898,458","39.4%","43.7%","24.9%","110.7%","22,263"
"16 太田店","P_1.00","1,647.6","249","102","599","81,201","15,786,324","36.4%","40.9%","19.4%","112.5%","21,036"
"17 上越店","P_1.00","1,257.1","238","71","338","47,669","9,685,085","26.9%","29.7%","18.2%","110.4%","15,126"
"18 上田店","P_1.09","933.4","158","70","287","54,681","9,896,248","30.7%","44.4%","17.8%","144.3%","21,914"
"19 S熊谷店","P_1.00","1,146.4","242","121","352","97,096","20,140,462","30.7%","50.0%","20.7%","162.9%","25,186"
"20 S鴻巣店","P_1.00","1,205.5","234","70","335","57,458","10,065,174","27.8%","29.9%","17.5%","107.9%","15,193"
"21 S上里店","P_1.00","1,570.4","199","63","446","51,669","11,416,337","28.4%","31.6%","22.1%","111.1%","16,148"
"22 入間店","P_1.00","1,796.9","172","56","631","47,643","12,825,195","35.1%","32.8%","26.9%","93.3%","16,779"
"23 坂戸店","P_1.00","1,017.5","187","90","391","69,272","13,487,712","38.4%","47.8%","19.5%","124.4%","23,925"
"24 花園店","P_1.00","1,352.1","167","89","431","70,199","12,361,993","31.9%","52.9%","17.6%","166.1%","26,643"
"25 杉戸店","P_1.00","1,110.1","167","45","394","39,775","9,198,290","35.5%","27.0%","23.1%","76.1%","13,590"
"26 羽生店","P_1.00","1,056.0","186","48","226","36,877","5,798,600","21.4%","25.5%","15.7%","119.4%","13,032"
"27 千葉みなと店","P_1.00","808.7","216","79","314","69,144","14,296,725","38.9%","36.8%","20.7%","94.7%","19,382"
"28 浜野店","P_1.00","1,132.0","192","75","343","63,797","12,277,350","30.3%","39.2%","19.2%","129.4%","20,167"
"29 佐倉店","P_1.00","1,250.2","197","89","419","70,031","14,481,822","33.5%","45.0%","20.7%","134.4%","23,031"
"30 S東金店","P_1.00","831.3","183","111","304","85,895","14,729,179","36.5%","60.5%","17.1%","165.6%","31,835"
"32 旭店","P_1.00","937.8","186","45","233","33,665","7,110,480","24.8%","24.2%","21.1%","97.4%","11,467"
"33 妙典駅前店","P_1.00","858.2","131","53","351","48,706","10,516,365","40.9%","40.7%","21.6%","99.4%","21,544"
"34 ＷＡＫＯ鹿島店","P_1.00","631.0","215","94","207","62,848","13,506,927","32.8%","43.6%","21.0%","132.9%","22,173"
"35 神栖店","P_1.00","1,116.0","136","60","351","41,518","8,393,032","31.4%","44.0%","19.8%","139.9%","22,026"
"36 立川店","P_1.00","784.4","140","42","328","31,771","9,935,901","41.8%","29.8%","30.5%","71.2%","15,474"
"37 新小岩店","P_1.00","1,591.1","246","100","508","67,374","14,244,430","31.9%","40.7%","20.5%","127.6%","20,575"
"38 八王子北野店","P_1.12","1,069.7","62","16","395","15,259","3,245,572","37.0%","25.9%","20.5%","70.1%","14,766"
"40 錦糸町店","P_1.00","725.3","179","94","297","65,863","12,431,219","40.9%","52.7%","18.2%","129.0%","27,450"
"41 座間店","P_1.00","718.2","252","99","340","82,886","19,981,642","47.3%","39.3%","24.1%","83.1%","20,461"
"42 平塚駅前店","P_1.00","996.6","196","67","379","54,483","14,040,465","38.0%","34.0%","25.8%","89.5%","18,151"
"43 上永谷店","P_1.00","723.3","128","43","305","37,771","10,608,340","42.1%","33.3%","28.1%","78.9%","17,879"
"44 姫路店　","P_1.02","903.7","202","62","324","43,131","11,403,470","35.8%","30.7%","26.3%","85.8%","15,097"
"45 新開地店","P_1.00","935.6","229","127","376","77,579","13,298,344","40.2%","55.5%","16.9%","138.0%","27,188"
"46 仙台東店","P_1.00","1,128.2","181","79","335","62,023","11,529,119","29.7%","43.7%","18.1%","147.0%","24,280"
"47 仙台泉店","P_1.00","959.6","167","84","332","66,323","15,031,458","34.6%","50.6%","22.4%","146.4%","27,673"
"48 福岡本店","P_1.00","1,959.8","199","102","793","65,158","16,189,071","40.5%","51.2%","23.4%","126.5%","27,448"
