"店舗名","アウト","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト支持率"
"25 杉戸店","-","4,976.7","818","201","1,617","425,560","65,812,451","32.5%","24.5%","15.5%","75.5%","-"
"26 羽生店","-","3,856.3","800","178","825","333,824","51,133,478","21.4%","22.2%","15.3%","103.9%","-"
"27 千葉みなと店","-","5,644.4","1,110","342","2,210","557,394","84,432,483","39.1%","30.8%","15.1%","78.8%","-"
"28 浜野店","-","6,297.1","921","351","2,070","774,595","105,639,409","32.9%","38.1%","13.6%","115.8%","-"
"29 佐倉店","-","5,429.2","824","316","1,630","696,477","99,607,275","30.0%","38.3%","14.3%","127.5%","-"
"30 S東金店","-","3,878.8","951","488","1,299","1,081,465","71,791,013","33.5%","51.3%","6.6%","153.2%","-"
"32 旭店","-","2,627.9","705","152","610","276,539","43,390,054","23.2%","21.6%","15.7%","92.9%","-"
"33 妙典駅前店","-","4,927.3","639","240","1,811","565,787","80,072,284","36.7%","37.5%","14.2%","102.0%","-"
"34 ＷＡＫＯ鹿島店","-","4,187.8","837","297","1,056","596,023","96,542,861","25.2%","35.5%","15.9%","140.8%","-"
"35 神栖店","-","5,133.8","895","298","1,570","632,491","100,363,949","30.6%","33.3%","15.5%","108.8%","-"
"36 立川店","-","5,235.1","1,002","205","1,831","394,401","73,076,532","35.0%","20.5%","17.5%","58.6%","-"
"37 新小岩店","-","6,257.2","753","265","2,035","505,564","77,945,525","32.5%","35.2%","14.7%","108.2%","-"
"38 八王子北野店","-","5,513.2","617","162","1,920","339,099","57,515,181","34.8%","26.3%","16.0%","75.4%","-"
"40 錦糸町店","-","4,988.4","996","499","1,998","1,175,224","148,377,019","40.1%","50.1%","11.9%","125.2%","-"
"41 座間店","-","4,289.5","1,029","294","1,802","541,447","82,499,231","42.0%","28.6%","15.2%","68.0%","-"
"42 平塚駅前店","-","4,760.1","997","320","1,575","703,193","114,902,851","33.1%","32.1%","16.3%","96.9%","-"
"43 上永谷店","-","3,924.4","638","150","1,239","259,645","46,511,433","31.6%","23.4%","17.9%","74.2%","-"
"44 姫路店　","-","4,162.2","911","301","1,385","556,502","81,977,864","33.3%","33.0%","14.5%","99.2%","-"
"45 新開地店","-","4,373.0","1,338","617","1,683","1,224,701","148,426,471","38.5%","46.2%","11.9%","120.0%","-"
"46 仙台東店","-","5,224.0","830","292","1,488","688,886","113,600,641","28.5%","35.1%","16.1%","123.4%","-"
"47 仙台泉店","-","5,562.5","872","356","1,841","899,969","134,587,180","33.1%","40.8%","14.7%","123.2%","-"
"48 福岡本店","-","9,578.7","1,198","446","3,212","846,880","119,823,649","33.5%","37.3%","12.8%","111.1%","-"
"49 筑紫野店","-","9,798.8","1,760","552","3,194","1,022,374","180,816,142","32.6%","31.3%","16.4%","96.2%","-"
"50 福重店","-","8,584.4","996","387","3,043","765,353","149,903,319","35.4%","38.8%","18.6%","109.6%","-"
"51 伊都店","-","5,994.9","998","287","2,113","407,943","80,135,446","35.2%","28.8%","18.4%","81.7%","-"
"52 飯塚店","-","7,032.2","1,254","341","2,223","552,727","105,406,353","31.6%","27.2%","17.4%","86.1%","-"
"53 中間店","-","5,871.6","844","290","1,866","462,173","86,104,583","31.8%","34.3%","17.3%","108.1%","-"
"54 門司店","-","1,983.8","635","152","453","223,456","46,989,386","22.9%","23.9%","19.6%","104.6%","-"
"55 松浦店","-","1,124.5","721","129","199","167,634","45,311,442","17.7%","17.9%","25.8%","101.6%","-"
"56 佐々インター店","-","5,492.3","1,020","418","1,636","787,751","166,938,816","29.8%","41.0%","19.6%","137.6%","-"
"57 大野店","-","1,835.5","606","159","386","239,949","59,215,969","21.1%","26.2%","23.4%","124.4%","-"
"58 佐世保南店","-","4,581.6","818","327","1,625","589,439","119,969,703","35.5%","40.0%","19.2%","112.7%","-"
"59 大村店","-","2,815.3","737","284","816","494,311","94,568,819","29.0%","38.5%","17.7%","132.8%","-"
"60 諫早店","-","5,599.2","1,193","373","1,766","628,978","136,662,971","31.5%","31.2%","20.5%","99.0%","-"
"61 長与店","-","2,278.2","847","321","949","552,180","113,383,681","41.6%","37.8%","18.9%","90.9%","-"
"62 女神店","-","4,106.3","1,273","453","1,224","757,753","166,182,135","29.8%","35.6%","20.4%","119.4%","-"
"63 大分本店","-","7,992.7","995","284","2,198","376,491","65,110,260","27.5%","28.6%","15.7%","103.9%","-"
"64 南大分店","-","4,339.2","995","324","1,382","571,578","88,642,412","31.9%","32.5%","14.1%","102.0%","-"
"65 日向店","-","3,781.0","998","339","1,056","553,532","97,342,900","27.9%","34.0%","15.5%","121.8%","-"
"66 都城店","-","6,580.9","1,037","247","2,165","395,108","72,491,244","32.9%","23.8%","16.8%","72.3%","-"
"67 大淀店","-","7,545.8","1,333","543","2,672","904,088","108,181,366","35.4%","40.8%","10.5%","115.1%","-"
"68 延岡店","-","3,589.0","996","384","1,102","683,494","121,537,121","30.7%","38.6%","16.2%","125.6%","-"
"69 松橋インター店","-","3,300.7","830","203","1,027","404,791","58,147,841","31.1%","24.5%","14.4%","78.6%","-"
"70 八代店","-","4,837.9","997","316","1,348","638,121","85,062,385","27.9%","31.7%","13.3%","113.8%","-"
