"店舗名","アウト","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト支持率"
"店舗平均","-","-","62,523","-","-","41,297,741","6,484,125,866","-","-","15.2%","-","-"
"1 沼田店","-","3,720.9","763","242","1,064","452,232","80,838,717","28.6%","31.7%","17.9%","110.8%","-"
"2 渋川インター店","-","1,924.4","712","210","614","469,798","77,253,975","31.9%","29.5%","16.4%","92.5%","-"
"3 中之条店","-","3,144.9","458","101","956","165,550","30,919,328","30.4%","22.1%","18.7%","72.6%","-"
"4 前橋若宮店","-","4,060.0","597","189","1,195","462,290","78,867,780","29.4%","31.6%","17.1%","107.3%","-"
"5 前橋大利根店","-","5,687.6","1,113","413","1,966","769,934","122,009,640","34.6%","37.1%","15.8%","107.3%","-"
"6 ガーデン前橋店","-","5,778.0","1,060","346","1,811","728,437","115,107,765","31.3%","32.7%","15.8%","104.3%","-"
"7 富岡店","-","1,225.6","695","216","297","445,988","72,834,531","24.2%","31.1%","16.3%","128.3%","-"
"8 安中店","-","1,937.8","742","221","351","423,253","71,828,036","18.1%","29.9%","17.0%","164.9%","-"
"9 高崎本店","-","6,268.6","995","447","2,448","1,124,435","134,832,379","39.1%","44.9%","12.0%","115.0%","-"
"10 倉賀野店","-","3,842.7","972","320","1,237","554,334","79,321,483","32.2%","33.0%","14.3%","102.4%","-"
"11 金古店","-","4,946.0","997","319","1,684","715,316","112,324,440","34.0%","32.0%","15.7%","94.1%","-"
"12 伊勢崎店","-","4,480.1","802","211","1,657","396,036","58,500,010","37.0%","26.3%","14.8%","71.2%","-"
"13 大間々店","-","4,122.3","993","302","1,162","568,290","93,105,793","28.2%","30.4%","16.4%","107.9%","-"
"14 館林店","-","3,287.3","882","241","718","517,243","85,381,632","21.8%","27.3%","16.5%","124.8%","-"
"15 太田矢島店","-","5,694.6","815","285","1,979","603,978","90,749,719","34.8%","35.0%","15.0%","100.8%","-"
"16 太田店","-","7,034.6","1,258","450","2,368","827,283","93,425,722","33.7%","35.8%","11.3%","106.3%","-"
"17 上越店","-","4,872.7","1,285","378","1,312","618,986","107,661,248","26.9%","29.4%","14.4%","109.2%","-"
"18 上田店","-","4,687.8","843","291","1,337","575,360","52,525,598","28.5%","34.5%","8.8%","120.9%","-"
"19 S熊谷店","-","4,847.3","1,033","424","1,377","947,212","138,375,017","28.4%","41.0%","14.6%","144.5%","-"
"20 S鴻巣店","-","4,616.2","1,047","338","1,391","738,436","95,257,760","30.1%","32.3%","12.9%","107.2%","-"
"21 S上里店","-","4,905.9","996","270","1,174","548,217","83,507,947","23.9%","27.1%","15.2%","113.3%","-"
"22 入間店","-","6,690.9","997","254","2,110","562,033","90,909,622","31.5%","25.5%","16.2%","80.9%","-"
"23 坂戸店","-","4,612.0","944","396","1,546","939,805","136,305,607","33.5%","41.9%","14.5%","125.1%","-"
"24 花園店","-","4,826.5","896","353","1,376","888,405","136,148,989","28.5%","39.4%","15.3%","138.1%","-"
