"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"店舗平均","-","-","18,774","-","-","13,222,606","2,365,281,004","-","-","17.6%","-","10,372"
"1 沼田店","P_4.00","1,027.3","216","36","145","132,144","24,095,896","14.1%","16.7%","18.2%","118.2%","8,752"
"2 渋川インター店","P_4.00","489.5","249","36","82","144,271","25,812,704","16.8%","14.3%","17.9%","85.1%","7,810"
"3 中之条店","P_4.00","835.3","129","12","130","43,405","10,111,868","15.6%","9.0%","23.3%","57.8%","4,599"
"4 前橋若宮店","P_4.00","1,363.3","267","47","216","182,148","36,460,964","15.9%","17.7%","20.0%","111.2%","9,698"
"5 前橋大利根店","P_4.00","1,370.3","275","43","317","180,459","39,080,892","23.2%","15.5%","21.7%","66.9%","8,437"
"6 ガーデン前橋店","P_4.00","1,553.4","318","54","334","220,607","43,604,348","21.5%","17.1%","19.8%","79.8%","9,112"
"7 富岡店","P_4.00","442.7","243","41","56","148,016","25,362,532","12.6%","17.0%","17.1%","134.6%","8,662"
"8 安中店","P_4.00","703.9","224","28","46","119,422","26,014,952","6.5%","12.4%","21.8%","189.5%","6,860"
"9 高崎本店","P_4.00","2,085.1","370","106","485","404,203","47,794,000","23.2%","28.7%","11.8%","123.4%","16,152"
"10 倉賀野店","P_4.00","1,185.6","266","27","216","103,117","16,870,296","18.2%","10.2%","16.4%","55.7%","5,147"
"11 金古店","P_4.00","1,574.1","375","62","319","242,406","43,990,544","20.3%","16.6%","18.1%","81.9%","8,715"
"12 伊勢崎店","P_4.00","1,300.8","179","17","278","73,022","15,920,000","21.3%","9.8%","21.8%","45.7%","5,128"
"13 大間々店","P_4.00","891.2","289","39","107","147,645","31,799,720","12.0%","13.6%","21.5%","113.9%","7,018"
"14 館林店","P_4.00","917.1","235","35","107","141,168","30,093,088","11.7%","14.9%","21.3%","127.1%","8,075"
"15 太田矢島店","P_4.00","1,601.0","220","43","334","170,624","32,864,644","20.9%","19.5%","19.3%","93.6%","11,134"
"16 太田店","P_4.00","2,156.8","281","50","450","195,215","31,683,544","20.9%","17.9%","16.2%","85.6%","9,303"
"17 上越店","P_4.00","1,297.6","287","34","216","116,084","25,343,167","16.6%","11.7%","20.7%","70.6%","6,024"
"18 上田店","P_4.35","1,485.8","277","65","265","232,398","21,448,520","17.8%","23.4%","9.1%","131.5%","11,703"
"19 S熊谷店","P_4.00","1,259.8","322","83","191","322,119","63,616,488","15.1%","25.8%","19.7%","170.6%","13,868"
"20 S鴻巣店","P_4.00","1,184.5","302","52","218","215,229","36,398,612","18.4%","17.4%","16.9%","94.2%","9,243"
"21 S上里店","P_4.00","1,332.5","280","37","130","147,951","29,025,092","9.7%","13.2%","19.6%","135.6%","7,063"
"22 入間店","P_4.00","1,498.6","303","40","344","158,446","32,235,848","23.0%","13.4%","20.3%","58.1%","6,853"
"23 坂戸店","P_4.00","1,437.9","319","105","305","394,528","65,641,548","21.2%","33.1%","16.6%","156.1%","17,441"
"24 花園店","P_4.00","1,171.4","331","103","203","387,161","55,708,908","17.4%","31.2%","14.4%","179.7%","16,208"
"25 杉戸店","P_4.00","1,410.2","224","24","276","102,717","19,899,404","19.6%","10.8%","19.4%","55.2%","5,948"
"26 羽生店","P_4.00","829.1","186","20","70","84,178","17,940,000","8.5%","10.9%","21.3%","128.2%","5,917"
"27 千葉みなと店","P_4.00","1,900.1","307","32","478","126,004","31,261,448","25.1%","10.4%","24.8%","41.3%","5,330"
"28 浜野店","P_4.00","1,916.0","319","64","387","255,935","44,077,152","20.2%","20.0%","17.2%","99.1%","10,632"
"29 佐倉店","P_4.00","1,449.0","286","64","251","237,461","39,896,448","17.3%","22.4%","16.8%","128.9%","11,889"
"30 S東金店","P_4.00","1,316.7","301","110","293","406,265","33,542,300","22.3%","36.7%","8.3%","164.7%","19,781"
"32 旭店","P_4.00","415.5","222","14","58","60,670","12,656,500","13.9%","6.4%","20.9%","46.0%","3,426"
"33 妙典駅前店","P_4.00","1,531.5","143","34","376","152,704","25,184,816","24.6%","23.4%","16.5%","95.2%","13,472"
"34 ＷＡＫＯ鹿島店","P_4.00","1,072.4","319","91","162","283,509","47,793,237","15.1%","28.4%","16.7%","187.7%","14,590"
"35 神栖店","P_4.00","1,671.4","317","55","353","187,349","33,072,227","21.1%","17.4%","17.5%","82.3%","8,763"
"36 立川店","P_4.00","1,639.1","317","26","437","101,526","28,408,863","26.6%","8.1%","27.7%","30.3%","4,286"
"37 新小岩店","P_4.00","1,831.4","228","55","405","182,216","23,285,604","22.1%","23.9%","12.3%","108.2%","13,019"
"38 八王子北野店","P_4.00","1,807.6","88","10","444","43,540","10,536,230","24.5%","11.5%","23.8%","46.9%","6,585"
"40 錦糸町店","P_4.00","1,754.4","456","191","543","632,422","87,784,372","31.0%","41.9%","13.4%","135.4%","22,946"
"41 座間店","P_4.00","1,564.4","320","37","464","133,935","21,288,744","29.7%","11.6%","15.9%","38.9%","6,044"
"42 平塚駅前店","P_4.00","1,756.1","323","57","336","220,329","48,392,196","19.2%","17.8%","22.0%","92.9%","9,502"
"43 上永谷店","P_4.00","1,554.4","139","11","338","43,589","11,031,660","21.7%","7.7%","25.3%","35.7%","3,911"
"44 姫路店　","P_4.08","1,322.3","237","33","266","124,408","26,103,123","20.2%","13.9%","20.9%","68.7%","7,209"
"45 新開地店","P_4.00","1,100.9","409","150","275","492,593","56,704,459","25.0%","36.6%","11.4%","146.3%","18,972"
"46 仙台東店","P_4.00","1,747.3","256","60","355","241,229","47,052,692","20.3%","23.4%","19.4%","115.2%","13,270"
"47 仙台泉店","P_4.00","2,032.4","335","110","544","413,852","64,182,344","26.8%","33.0%","15.3%","123.3%","19,262"
