"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"店舗平均","-","-","4,092","-","-","1,641,109","267,100,424","-","-","15.7%","-","12,586"
"1 沼田店","S_5.49","208.0","24","16","83","12,630","1,525,433","39.8%","63.7%","12.1%","159.9%","15,478"
"2 渋川インター店","S_5.49","127.9","36","18","50","15,679","2,879,537","38.8%","51.1%","18.4%","131.7%","12,630"
"3 中之条店","S_5.49","176.0","24","10","75","8,030","999,542","42.6%","41.7%","12.4%","97.9%","9,944"
"4 前橋若宮店","S_5.49","123.9","17","10","49","8,822","1,632,986","39.2%","56.4%","18.5%","143.7%","14,911"
"5 前橋大利根店","S_5.49","188.4","64","43","103","35,006","4,393,788","54.8%","66.9%","12.6%","122.0%","16,873"
"6 ガーデン前橋店","S_5.49","272.7","69","37","114","30,210","4,147,646","41.8%","53.6%","13.7%","128.5%","13,132"
"7 富岡店","S_5.49","58.1","35","16","20","12,138","1,778,313","34.0%","44.2%","14.7%","130.2%","10,417"
"8 安中店","S_5.49","121.8","99","46","50","33,619","3,757,856","41.4%","46.7%","11.2%","113.0%","11,158"
"9 高崎本店","S_5.49","299.0","49","31","179","26,611","2,583,081","59.9%","64.5%","9.7%","107.6%","16,848"
"10 倉賀野店","S_5.49","116.8","54","32","72","25,926","2,603,579","61.9%","60.1%","10.0%","97.1%","14,583"
"11 金古店","S_5.49","131.9","48","27","72","22,017","3,360,483","54.8%","55.6%","15.3%","101.5%","14,116"
"12 伊勢崎店","S_5.49","236.4","75","39","115","29,450","3,919,704","48.8%","51.8%","13.3%","106.1%","12,374"
"13 大間々店","S_5.49","117.0","84","40","58","32,586","4,801,859","49.2%","48.1%","14.7%","97.9%","12,025"
"14 館林店","S_5.49","219.6","60","27","68","22,853","3,668,118","31.0%","46.0%","16.1%","148.2%","11,450"
"15 太田矢島店","S_5.49","261.7","42","24","135","20,371","3,520,336","51.7%","58.2%","17.3%","112.6%","14,500"
"16 太田店","S_5.49","271.7","91","49","135","37,877","5,733,840","49.8%","54.4%","15.1%","109.1%","13,548"
"17 上越店","S_5.62","192.8","79","39","78","30,854","6,543,300","40.6%","49.6%","18.3%","122.1%","12,877"
"18 上田店","S_5.43","214.5","36","20","73","15,123","2,847,240","34.2%","56.0%","18.5%","163.9%","13,575"
"19 S熊谷店","S_5.49","416.1","49","28","147","23,070","2,748,807","35.4%","57.0%","11.9%","161.3%","14,331"
"20 S鴻巣店","S_5.49","297.5","79","39","136","32,861","3,913,614","45.6%","49.5%","11.9%","108.6%","12,360"
"21 S上里店","S_5.49","327.5","119","52","129","42,065","5,178,581","39.4%","43.9%","12.3%","111.3%","10,802"
"22 入間店","S_5.49","242.8","87","35","75","28,262","5,117,862","31.1%","40.4%","18.1%","130.1%","9,973"
"23 坂戸店","S_5.49","224.9","59","30","109","25,794","3,521,349","48.3%","50.6%","13.7%","104.8%","12,391"
"25 杉戸店","S_5.49","244.9","84","35","114","27,074","2,622,646","46.6%","41.5%","9.7%","89.1%","10,499"
"26 羽生店","S_5.49","319.6","80","26","113","20,862","2,710,237","35.4%","32.5%","13.0%","91.8%","8,017"
"27 千葉みなと店","S_5.49","273.9","167","101","162","74,225","8,482,544","59.2%","60.3%","11.4%","101.8%","14,834"
"28 浜野店","S_5.49","369.9","85","53","180","44,432","6,514,253","48.6%","62.1%","14.7%","127.8%","16,002"
"29 佐倉店","S_5.49","294.9","35","23","144","19,186","2,081,938","48.7%","66.0%","10.9%","135.4%","16,690"
"30 S東金店","S_5.49","185.8","47","28","81","23,708","2,920,361","43.3%","60.6%","12.3%","139.8%","15,459"
"32 旭店","S_5.49","179.7","40","15","56","12,116","943,435","31.4%","37.7%","7.8%","120.0%","8,963"
