"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"店舗平均","-","-","817","-","-","75,958","20,778,590","-","-","26.5%","-","24,273"
"2 渋川インター店","P_0.20","18.0","18","14","14","2,810","723,465","79.2%","79.2%","25.7%","100.0%","39,363"
"3 中之条店","P_0.20","43.9","26","12","26","1,685","492,655","59.1%","45.1%","29.2%","76.4%","22,160"
"5 前橋大利根店","P_0.20","125.5","90","60","73","9,957","2,916,993","58.5%","67.4%","29.3%","115.2%","33,813"
"6 ガーデン前橋店","P_0.20","51.6","32","20","29","3,182","836,664","56.5%","62.0%","26.3%","109.8%","28,508"
"10 倉賀野店","P_0.20","44.1","44","25","25","4,428","1,133,817","56.8%","56.8%","25.6%","100.0%","27,748"
"12 伊勢崎店","P_0.50","35.8","36","4","4","2,038","509,670","12.2%","12.2%","25.0%","100.0%","5,719"
"16 太田店","P_0.20","71.4","71","43","43","6,200","1,476,733","60.3%","60.3%","23.8%","100.0%","29,401"
"17 上越店","P_0.20","172.6","79","44","74","6,172","1,885,429","42.8%","56.6%","26.1%","132.3%","27,847"
"20 S鴻巣店","P_0.20","213.0","57","14","50","2,566","470,013","23.7%","25.2%","18.3%","106.2%","12,952"
"26 羽生店","P_0.20","200.0","80","21","83","1,131","61,580","41.6%","26.1%","5.4%","62.7%","12,933"
"27 千葉みなと店","P_0.20","44.0","44","29","29","5,088","1,346,723","65.6%","65.6%","26.5%","100.0%","33,194"
"32 旭店","P_0.20","100.9","37","20","23","2,937","736,460","22.4%","54.3%","25.1%","242.2%","25,417"
"36 立川店","P_0.50","142.6","60","14","45","5,160","1,495,636","31.3%","23.5%","27.6%","75.2%","11,712"
"42 平塚駅前店","P_0.50","133.6","35","18","60","6,499","1,467,256","44.8%","50.7%","22.6%","113.2%","25,092"
"43 上永谷店","P_0.50","89.5","49","16","32","6,891","2,057,600","35.2%","32.8%","29.9%","93.0%","16,124"
"51 伊都店","P_0.20","79.1","79","43","43","6,383","2,197,875","54.6%","54.6%","31.2%","100.0%","27,582"
"55 松浦店","P_0.20","60.0","40","21","27","2,831","970,021","45.2%","51.4%","31.1%","113.6%","24,949"
