"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"店舗平均","-","-","737","-","-","66,695","17,928,502","-","-","26.0%","-","24,215"
"2 渋川インター店","P_0.20","18.0","18","15","15","2,645","579,641","81.0%","81.0%","21.9%","100.0%","39,472"
"3 中之条店","P_0.20","43.0","25","12","27","1,660","422,465","61.7%","47.8%","25.5%","77.4%","24,000"
"5 前橋大利根店","P_0.20","126.0","90","58","72","9,562","2,375,753","57.5%","64.8%","24.8%","112.8%","33,350"
"6 ガーデン前橋店","P_0.20","46.9","27","16","26","2,713","719,414","55.5%","59.9%","26.5%","107.8%","30,087"
"10 倉賀野店","P_0.20","35.2","35","20","20","3,534","807,801","55.6%","55.6%","22.9%","100.0%","27,213"
"12 伊勢崎店","P_0.50","35.1","35","3","3","1,680","342,850","9.7%","9.7%","20.4%","100.0%","4,928"
"16 太田店","P_0.20","69.6","70","39","39","5,489","1,474,378","55.8%","55.8%","26.9%","100.0%","27,241"
"17 上越店","P_0.20","173.4","79","42","70","5,549","1,617,695","40.4%","52.5%","24.6%","130.0%","25,755"
"20 S鴻巣店","P_0.20","177.1","57","12","44","628","100,324","24.7%","21.5%","16.0%","87.0%","10,481"
"27 千葉みなと店","P_0.20","43.0","43","27","27","4,544","1,231,735","62.0%","62.0%","27.1%","100.0%","31,347"
"32 旭店","P_0.20","101.8","38","19","21","2,584","616,128","20.7%","49.5%","23.8%","239.1%","23,925"
"36 立川店","P_0.50","128.0","60","14","40","4,971","1,484,850","31.1%","23.9%","28.5%","76.8%","11,510"
"42 平塚駅前店","P_0.50","133.8","35","17","57","6,273","1,521,038","42.6%","48.8%","24.2%","114.6%","25,237"
"43 上永谷店","P_0.50","89.3","48","15","31","6,448","1,763,450","34.3%","32.0%","27.3%","93.1%","15,435"
"51 伊都店","P_0.20","79.3","79","38","38","5,608","1,940,302","48.5%","48.5%","31.4%","100.0%","24,754"
"55 松浦店","P_0.20","59.4","39","21","27","2,807","930,678","46.1%","52.2%","29.8%","113.3%","25,882"
