"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"店舗平均","-","-","4,052","-","-","1,501,716","248,775,937","-","-","15.9%","-","11,910"
"1 沼田店","S_5.49","218.8","35","20","87","15,498","2,376,802","39.9%","57.2%","15.3%","143.2%","14,051"
"2 渋川インター店","S_5.49","128.0","36","18","49","15,264","2,361,053","38.4%","49.1%","15.5%","127.7%","12,803"
"3 中之条店","S_5.49","186.8","24","10","79","8,178","1,137,899","42.5%","43.0%","13.9%","101.1%","10,396"
"4 前橋若宮店","S_5.49","123.8","17","9","49","7,724","1,736,001","39.8%","53.0%","22.5%","132.9%","13,217"
"5 前橋大利根店","S_5.49","190.7","67","39","100","32,226","4,678,275","52.6%","58.3%","14.5%","110.8%","14,595"
"6 ガーデン前橋店","S_5.49","273.8","70","35","111","28,171","2,272,299","40.6%","50.6%","8.1%","124.7%","12,573"
"7 富岡店","S_5.49","58.5","36","14","19","10,498","1,197,287","32.2%","39.6%","11.4%","122.9%","9,490"
"8 安中店","S_5.49","122.6","100","43","48","29,904","3,153,822","39.2%","43.4%","10.5%","110.8%","10,283"
"9 高崎本店","S_5.49","301.2","49","27","163","23,638","1,871,564","54.2%","55.7%","7.9%","102.8%","15,105"
"10 倉賀野店","S_5.49","116.8","54","27","66","22,193","2,505,918","56.8%","50.4%","11.3%","88.8%","12,452"
"11 金古店","S_5.49","131.7","48","24","70","19,927","2,762,024","53.2%","50.5%","13.9%","95.1%","12,817"
"12 伊勢崎店","S_5.49","210.3","76","40","108","29,295","3,497,440","51.2%","51.8%","11.9%","101.3%","12,620"
"13 大間々店","S_5.49","117.0","84","39","54","29,808","4,578,939","46.2%","46.0%","15.4%","99.5%","11,231"
"14 館林店","S_5.49","218.9","60","27","63","20,836","1,613,454","28.6%","44.7%","7.7%","156.3%","11,155"
"15 太田矢島店","S_5.49","261.9","42","23","125","18,845","1,968,615","47.7%","55.5%","10.4%","116.4%","14,165"
"16 太田店","S_5.49","239.9","91","43","115","33,290","3,770,731","48.0%","47.7%","11.3%","99.4%","12,031"
"17 上越店","S_5.62","193.3","79","35","72","26,995","4,736,100","37.5%","44.2%","14.8%","118.1%","11,276"
"18 上田店","S_5.43","218.6","30","13","70","9,449","1,454,220","32.1%","43.5%","15.0%","135.4%","10,514"
"19 S熊谷店","S_5.49","388.7","49","27","131","21,192","1,834,643","33.6%","55.3%","8.7%","164.5%","13,574"
"20 S鴻巣店","S_5.49","249.2","67","28","119","23,091","2,888,511","47.8%","41.8%","12.5%","87.4%","10,848"
"21 S上里店","S_5.49","353.5","120","51","132","40,369","6,774,979","37.3%","42.3%","16.8%","113.3%","10,472"
"22 入間店","S_5.49","242.8","87","33","70","25,605","3,042,910","28.9%","37.9%","11.9%","131.4%","9,443"
"23 坂戸店","S_5.49","183.8","59","28","80","23,754","3,779,444","43.7%","47.9%","15.9%","109.6%","11,684"
"25 杉戸店","S_5.49","244.0","83","30","105","23,816","3,145,384","43.1%","36.5%","13.2%","84.6%","9,254"
"26 羽生店","S_5.49","318.9","79","25","109","20,114","3,751,035","34.2%","31.0%","18.6%","90.8%","7,648"
"27 千葉みなと店","S_5.49","316.2","166","93","178","67,402","9,308,666","56.2%","55.9%","13.8%","99.6%","13,890"
"28 浜野店","S_5.49","412.9","85","49","199","40,273","4,993,512","48.2%","57.4%","12.4%","119.1%","14,852"
"29 佐倉店","S_5.49","294.0","35","24","134","19,513","1,715,439","45.7%","67.4%","8.8%","147.3%","16,833"
