"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"店舗平均","-","-","13,751","-","-","3,743,574","803,658,335","-","-","20.8%","-","19,690"
"1 沼田店","P_1.00","1,166.7","282","100","397","68,863","14,287,051","34.1%","35.4%","20.7%","103.8%","17,776"
"2 渋川インター店","P_1.00","564.1","124","44","210","34,817","7,545,849","37.2%","35.6%","21.7%","95.7%","18,367"
"3 中之条店","P_1.00","974.7","128","36","345","23,750","5,161,737","35.4%","27.9%","21.7%","78.6%","13,835"
"4 前橋若宮店","P_1.00","768.2","116","58","259","47,139","9,952,104","33.7%","50.3%","21.1%","149.3%","26,474"
"5 前橋大利根店","P_1.00","1,744.3","233","82","551","65,255","14,736,536","31.6%","35.5%","22.6%","112.3%","18,213"
"6 ガーデン前橋店","P_1.00","1,678.2","228","74","471","57,826","11,843,083","28.1%","32.5%","20.5%","116.0%","16,670"
"7 富岡店","P_1.00","338.0","178","68","104","52,102","10,213,183","30.7%","38.4%","19.6%","125.2%","19,819"
"8 安中店","P_1.00","461.6","182","57","105","47,964","10,164,777","22.8%","31.6%","21.2%","138.6%","16,755"
"9 高崎本店","P_1.00","1,194.4","130","76","492","58,586","9,503,200","41.2%","58.1%","16.2%","141.2%","31,045"
"10 倉賀野店","P_1.00","1,183.4","244","65","406","58,368","11,257,445","34.3%","26.7%","19.3%","77.9%","13,446"
"11 金古店","P_1.00","1,148.1","208","85","461","66,912","15,640,999","40.2%","40.6%","23.4%","101.2%","20,801"
"12 伊勢崎店","P_1.00","899.5","176","57","367","42,480","7,031,180","40.8%","32.6%","16.6%","79.9%","16,551"
"13 大間々店","P_1.00","1,469.3","241","97","492","73,064","14,896,107","33.5%","40.2%","20.4%","120.0%","20,474"
"14 館林店","P_1.00","908.4","200","62","224","47,589","10,252,825","24.6%","31.1%","21.5%","126.1%","15,696"
"15 太田矢島店","P_1.00","1,238.3","210","89","472","68,255","14,703,854","38.1%","42.3%","21.5%","111.0%","21,698"
"16 太田店","P_1.00","1,626.8","248","98","584","74,343","14,174,400","35.9%","39.4%","19.1%","109.9%","20,279"
"17 上越店","P_1.00","1,259.3","239","65","330","42,602","7,977,031","26.2%","27.2%","16.6%","103.7%","13,846"
"18 上田店","P_1.09","899.8","155","63","279","47,893","6,935,336","31.0%","41.0%","14.2%","132.2%","20,155"
"19 S熊谷店","P_1.00","1,224.0","237","113","350","88,269","17,283,196","28.6%","47.7%","19.6%","166.6%","23,864"
"20 S鴻巣店","P_1.00","1,240.0","235","64","315","49,569","8,582,298","25.4%","27.4%","17.3%","107.8%","13,803"
