"店舗名","アウト","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト支持率"
"店舗平均","-","-","62,740","-","-","33,302,975","4,984,872,153","-","-","14.4%","-","-"
"1 沼田店","-","3,725.0","770","261","1,087","397,428","75,081,109","29.2%","33.9%","18.9%","116.3%","-"
"2 渋川インター店","-","1,922.2","710","221","607","393,391","55,533,687","31.6%","31.1%","14.1%","98.6%","-"
"3 中之条店","-","3,149.3","458","109","977","138,865","23,862,848","31.0%","23.8%","17.2%","76.8%","-"
"4 前橋若宮店","-","4,061.1","598","186","1,150","380,919","63,118,216","28.3%","31.2%","16.6%","110.1%","-"
"5 前橋大利根店","-","5,778.8","1,205","387","1,894","604,750","98,468,337","32.8%","32.1%","16.3%","98.1%","-"
"6 ガーデン前橋店","-","5,816.9","1,098","328","1,711","595,463","81,384,676","29.4%","29.9%","13.7%","101.5%","-"
"7 富岡店","-","1,242.6","712","214","291","359,088","58,392,154","23.5%","30.1%","16.3%","128.2%","-"
"8 安中店","-","1,989.8","794","219","339","349,858","54,666,113","17.0%","27.5%","15.6%","161.4%","-"
"9 高崎本店","-","6,366.3","999","431","2,340","898,306","100,556,055","36.8%","43.1%","11.2%","117.4%","-"
"10 倉賀野店","-","3,845.0","974","280","1,187","426,855","63,835,231","30.9%","28.7%","15.0%","93.1%","-"
"11 金古店","-","4,945.5","998","315","1,654","579,968","88,701,476","33.4%","31.6%","15.3%","94.4%","-"
"12 伊勢崎店","-","4,468.7","821","200","1,464","321,420","44,646,904","32.8%","24.3%","13.9%","74.3%","-"
"13 大間々店","-","4,120.4","991","304","1,111","492,031","69,675,314","27.0%","30.7%","14.2%","113.8%","-"
"14 館林店","-","3,277.6","878","234","682","414,512","56,553,348","20.8%","26.7%","13.6%","128.2%","-"
"15 太田矢島店","-","5,743.7","819","278","1,829","485,838","67,510,627","31.8%","34.0%","13.9%","106.7%","-"
"16 太田店","-","7,085.5","1,303","435","2,162","657,949","58,743,775","30.5%","33.4%","8.9%","109.5%","-"
"17 上越店","-","4,945.8","1,355","367","1,348","482,617","81,693,824","27.3%","27.1%","13.8%","99.5%","-"
"18 上田店","-","4,688.7","843","236","1,295","398,847","21,831,818","27.6%","28.0%","5.1%","101.5%","-"
"19 S熊谷店","-","5,525.5","1,030","423","1,376","782,707","110,856,165","24.9%","41.1%","14.2%","164.8%","-"
"20 S鴻巣店","-","4,599.1","1,050","310","1,296","572,118","61,685,800","28.2%","29.5%","10.8%","104.8%","-"
"21 S上里店","-","4,971.0","997","276","1,072","470,731","68,238,895","21.6%","27.7%","14.5%","128.3%","-"
"22 入間店","-","6,691.9","997","247","1,981","453,931","65,932,202","29.6%","24.8%","14.5%","83.8%","-"
"23 坂戸店","-","4,609.7","942","396","1,447","730,169","107,190,910","31.4%","42.0%","14.7%","133.8%","-"
"24 花園店","-","4,964.7","897","344","1,110","701,953","110,022,192","22.4%","38.3%","15.7%","171.4%","-"
"25 杉戸店","-","4,971.5","814","194","1,511","346,334","59,627,796","30.4%","23.9%","17.2%","78.5%","-"
"26 羽生店","-","3,846.6","795","161","796","273,974","42,474,608","20.7%","20.2%","15.5%","97.7%","-"
"27 千葉みなと店","-","5,544.3","1,105","322","2,041","437,304","64,739,903","36.8%","29.2%","14.8%","79.2%","-"
"28 浜野店","-","6,227.6","917","327","1,965","613,306","92,305,649","31.6%","35.7%","15.1%","113.1%","-"
"29 佐倉店","-","5,428.2","821","316","1,611","570,356","77,363,295","29.7%","38.5%","13.6%","129.6%","-"
"30 S東金店","-","3,881.5","954","520","1,306","926,991","55,044,394","33.6%","54.5%","5.9%","162.0%","-"
"32 旭店","-","2,619.7","707","158","612","244,815","36,150,574","23.4%","22.4%","14.8%","95.9%","-"
"33 妙典駅前店","-","4,926.5","639","227","1,667","451,263","63,172,314","33.8%","35.5%","14.0%","105.0%","-"
"34 ＷＡＫＯ鹿島店","-","4,181.9","836","296","1,021","499,827","81,711,721","24.4%","35.4%","16.0%","145.1%","-"
"35 神栖店","-","5,453.9","896","292","1,530","505,132","82,304,886","28.1%","32.6%","15.9%","116.2%","-"
"36 立川店","-","5,237.5","1,001","213","1,736","338,839","45,490,034","33.1%","21.3%","12.4%","64.3%","-"
"37 新小岩店","-","6,258.2","752","229","1,923","361,605","65,907,066","30.7%","30.5%","17.5%","99.2%","-"
"38 八王子北野店","-","5,484.2","617","166","1,796","279,140","43,434,787","32.7%","26.9%","14.6%","82.2%","-"
"40 錦糸町店","-","4,987.3","996","455","1,857","903,026","109,165,331","37.2%","45.8%","11.3%","122.9%","-"
"41 座間店","-","4,288.5","1,030","277","1,734","426,204","66,553,736","40.4%","26.9%","15.6%","66.5%","-"
"42 平塚駅前店","-","4,761.5","998","302","1,481","556,281","91,962,185","31.1%","30.2%","16.5%","97.3%","-"
"43 上永谷店","-","3,927.0","640","156","1,212","223,093","37,041,000","30.9%","24.3%","16.6%","78.8%","-"
"44 姫路店　","-","4,160.1","909","287","1,330","436,363","53,804,643","32.0%","31.6%","12.1%","98.8%","-"
"45 新開地店","-","4,373.8","1,337","582","1,618","930,033","105,077,171","37.0%","43.5%","11.1%","117.6%","-"
"46 仙台東店","-","5,248.9","833","268","1,411","520,205","67,510,866","26.9%","32.2%","12.6%","119.6%","-"
"47 仙台泉店","-","5,626.1","914","337","1,744","672,324","79,095,857","31.0%","36.9%","11.5%","119.1%","-"
"48 福岡本店","-","9,573.7","1,197","430","2,949","688,881","110,384,708","30.8%","35.9%","14.7%","116.7%","-"
"49 筑紫野店","-","9,733.2","1,761","541","3,072","825,983","141,769,999","31.6%","30.7%","15.8%","97.4%","-"
"50 福重店","-","8,585.8","999","367","2,936","591,590","113,320,708","34.2%","36.7%","18.1%","107.4%","-"
"51 伊都店","-","5,994.7","997","275","2,037","329,736","63,460,314","34.0%","27.6%","18.0%","81.3%","-"
"52 飯塚店","-","7,029.8","1,256","368","2,228","500,144","85,867,754","31.7%","29.3%","15.7%","92.4%","-"
"53 中間店","-","5,865.1","844","286","1,832","387,899","65,065,153","31.2%","33.9%","15.3%","108.5%","-"
"54 門司店","-","1,982.9","634","161","453","196,726","39,314,330","22.9%","25.4%","18.6%","111.0%","-"
"55 松浦店","-","1,119.3","716","127","191","137,759","32,343,491","17.1%","17.7%","22.1%","103.5%","-"
"56 佐々インター店","-","5,482.2","1,018","418","1,632","635,493","121,989,044","29.8%","41.0%","17.6%","137.9%","-"
"57 大野店","-","1,833.2","603","163","402","205,669","46,412,606","21.9%","27.0%","21.3%","123.0%","-"
"58 佐世保南店","-","4,578.2","817","320","1,587","486,619","105,115,252","34.7%","39.2%","20.3%","113.0%","-"
"59 大村店","-","2,815.8","738","291","833","417,404","74,537,767","29.6%","39.5%","16.4%","133.5%","-"
"60 諫早店","-","5,601.3","1,196","375","1,769","524,432","104,035,106","31.6%","31.4%","18.4%","99.3%","-"
"61 長与店","-","2,273.7","844","313","916","436,836","86,583,760","40.3%","37.1%","18.1%","92.0%","-"
"62 女神店","-","4,108.0","1,274","448","1,212","609,060","130,832,472","29.5%","35.1%","19.8%","119.0%","-"
"63 大分本店","-","7,970.8","995","282","2,079","314,751","53,689,216","26.1%","28.4%","15.6%","108.8%","-"
"64 南大分店","-","4,342.2","999","336","1,362","472,890","79,524,118","31.4%","33.7%","15.4%","107.3%","-"
"65 日向店","-","3,778.0","996","336","1,001","444,379","71,748,086","26.5%","33.8%","14.0%","127.4%","-"
"66 都城店","-","6,581.6","1,036","261","2,176","338,327","59,099,349","33.1%","25.2%","16.0%","76.1%","-"
"67 大淀店","-","7,475.0","1,336","523","2,543","708,206","87,615,923","34.0%","39.1%","10.9%","115.1%","-"
"68 延岡店","-","3,589.1","996","386","1,101","556,634","95,327,066","30.7%","38.7%","15.5%","126.2%","-"
"69 松橋インター店","-","3,299.2","828","212","1,023","347,268","43,627,539","31.0%","25.6%","12.6%","82.7%","-"
"70 八代店","-","4,833.7","994","332","1,328","540,165","65,088,900","27.5%","33.4%","12.0%","121.7%","-"
