"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"店舗平均","-","-","18,995","-","-","10,395,718","1,808,060,617","-","-","17.2%","-","9,662"
"1 沼田店","P_4.00","1,030.0","220","37","146","110,394","24,454,960","14.2%","16.7%","22.2%","117.6%","8,442"
"2 渋川インター店","P_4.00","489.8","250","35","83","116,813","17,525,148","16.9%","13.9%","15.0%","81.9%","7,464"
"3 中之条店","P_4.00","838.0","129","11","131","33,806","8,753,248","15.6%","8.9%","25.9%","56.9%","4,438"
"4 前橋若宮店","P_4.00","1,365.6","270","48","209","154,729","30,099,676","15.3%","17.9%","19.5%","116.7%","9,871"
"5 前橋大利根店","P_4.00","1,431.7","336","42","306","139,176","26,076,248","21.4%","12.6%","18.7%","58.8%","6,444"
"6 ガーデン前橋店","P_4.00","1,589.0","353","58","323","186,840","34,368,288","20.3%","16.4%","18.4%","80.6%","8,338"
"7 富岡店","P_4.00","451.0","251","41","54","123,381","23,311,936","12.0%","16.2%","18.9%","134.5%","8,358"
"8 安中店","P_4.00","733.2","254","28","45","98,795","18,092,240","6.2%","11.2%","18.3%","181.1%","5,988"
"9 高崎本店","P_4.00","2,156.0","370","100","466","320,380","37,802,800","21.6%","27.1%","11.8%","125.1%","15,093"
"10 倉賀野店","P_4.00","1,194.4","274","24","202","75,522","13,569,760","16.9%","8.8%","18.0%","52.1%","4,367"
"11 金古店","P_4.00","1,575.3","375","62","310","195,383","36,533,560","19.7%","16.4%","18.7%","83.2%","8,431"
"12 伊勢崎店","P_4.00","1,396.8","197","18","242","62,181","11,747,520","17.4%","9.2%","18.9%","52.8%","4,881"
"13 大間々店","P_4.00","931.7","292","40","104","125,691","24,430,532","11.1%","13.7%","19.4%","123.3%","7,173"
"14 館林店","P_4.00","928.4","237","34","100","111,824","18,860,828","10.8%","14.3%","16.9%","132.7%","7,598"
"15 太田矢島店","P_4.00","1,627.9","220","42","309","133,604","20,511,316","19.0%","19.1%","15.4%","100.4%","10,425"
"16 太田店","P_4.00","2,255.9","309","49","407","152,943","22,205,616","18.0%","15.8%","14.5%","87.5%","8,066"
"17 上越店","P_4.00","1,371.4","359","30","221","85,742","18,905,415","16.1%","8.3%","20.8%","51.7%","4,231"
"18 上田店","P_4.35","1,487.8","277","56","262","158,046","14,229,360","17.6%","20.2%","8.8%","114.9%","9,779"
"19 S熊谷店","P_4.00","1,563.1","321","84","188","265,798","43,064,904","12.0%","26.1%","16.2%","217.1%","13,650"
"20 S鴻巣店","P_4.00","1,181.0","301","51","209","168,387","22,683,676","17.7%","17.0%","13.5%","96.0%","8,786"
"21 S上里店","P_4.00","1,534.3","279","36","137","117,932","21,222,988","8.9%","12.8%","18.0%","144.0%","6,748"
"22 入間店","P_4.00","1,577.9","302","36","311","119,252","23,323,564","19.7%","12.0%","19.6%","60.8%","6,165"
"23 坂戸店","P_4.00","1,435.0","317","104","288","307,666","50,878,080","20.1%","32.8%","16.5%","163.3%","17,189"
"24 花園店","P_4.00","1,615.8","332","94","187","293,763","49,611,136","11.6%","28.4%","16.9%","245.0%","14,691"
"25 杉戸店","P_4.00","1,407.2","220","25","259","82,763","13,378,420","18.4%","11.4%","16.2%","61.8%","5,952"
"26 羽生店","P_4.00","840.4","196","19","66","69,628","15,530,600","7.9%","9.6%","22.3%","121.8%","5,396"
"27 千葉みなと店","P_4.00","1,897.6","305","29","450","97,139","19,889,236","23.7%","9.6%","20.5%","40.6%","4,931"
"28 浜野店","P_4.00","1,914.8","319","60","368","207,854","43,167,908","19.2%","18.8%","20.8%","98.1%","10,097"
"29 佐倉店","P_4.00","1,447.8","284","64","252","197,986","29,089,376","17.4%","22.5%","14.7%","129.1%","11,821"
"30 S東金店","P_4.00","1,316.3","300","116","294","349,057","35,750,500","22.3%","38.7%","10.2%","173.4%","20,763"
