"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"店舗平均","-","-","13,947","-","-","3,249,625","691,827,537","-","-","20.6%","-","19,544"
"1 沼田店","P_1.00","1,166.5","281","106","410","63,247","14,664,925","35.1%","37.7%","23.2%","107.2%","18,736"
"2 渋川インター店","P_1.00","564.3","124","48","214","32,035","7,084,104","38.0%","38.9%","22.1%","102.5%","19,770"
"3 中之条店","P_1.00","974.9","129","37","357","20,713","4,345,331","36.7%","28.7%","21.0%","78.4%","13,957"
"4 前橋若宮店","P_1.00","768.9","117","57","256","38,695","6,905,180","33.4%","49.0%","17.8%","147.0%","25,539"
"5 前橋大利根店","P_1.00","1,504.9","233","82","502","56,093","11,763,734","33.3%","35.3%","21.0%","105.8%","18,024"
"6 ガーデン前橋店","P_1.00","1,461.8","252","77","418","50,475","9,102,186","28.6%","30.6%","18.0%","106.9%","15,534"
"7 富岡店","P_1.00","338.2","178","72","109","46,214","9,002,416","32.3%","40.6%","19.5%","125.8%","20,628"
"8 安中店","P_1.00","482.4","203","61","112","44,649","8,237,049","23.1%","30.2%","18.4%","130.6%","16,304"
"9 高崎本店","P_1.00","1,225.2","133","72","492","48,735","8,919,100","40.2%","54.1%","18.3%","134.6%","28,643"
"10 倉賀野店","P_1.00","1,092.1","272","71","385","52,127","9,515,093","35.2%","26.1%","18.3%","73.9%","13,047"
"11 金古店","P_1.00","1,147.4","207","84","467","55,660","11,092,339","40.7%","40.5%","19.9%","99.5%","20,150"
"12 伊勢崎店","P_1.00","920.5","197","54","352","34,341","5,372,910","38.2%","27.3%","15.6%","71.3%","13,655"
"13 大間々店","P_1.00","1,469.1","241","93","489","59,780","11,304,544","33.3%","38.7%","18.9%","116.4%","19,469"
"14 館林店","P_1.00","905.8","195","62","228","41,349","9,466,950","25.2%","31.9%","22.9%","126.6%","15,980"
"15 太田矢島店","P_1.00","1,262.0","212","89","460","57,386","12,866,601","36.4%","41.8%","22.4%","114.9%","21,162"
"16 太田店","P_1.00","1,632.0","270","96","567","63,333","11,650,533","34.7%","35.7%","18.4%","102.8%","18,377"
"17 上越店","P_1.00","1,257.8","238","72","362","40,856","8,830,591","28.8%","30.2%","19.4%","104.8%","15,240"
"18 上田店","P_1.09","890.3","158","59","286","36,808","4,226,788","32.1%","37.3%","11.1%","116.0%","18,580"
"19 S熊谷店","P_1.00","1,236.8","241","114","349","77,673","14,330,322","28.3%","47.2%","18.4%","167.0%","24,277"
"20 S鴻巣店","P_1.00","1,219.7","219","62","307","43,186","7,532,817","25.2%","28.2%","17.4%","111.8%","14,195"
"21 S上里店","P_1.00","1,446.0","198","61","369","42,388","8,409,313","25.5%","30.6%","19.8%","120.1%","15,775"
"22 入間店","P_1.00","1,797.7","171","54","593","37,155","9,775,543","33.0%","31.5%","26.3%","95.7%","15,948"
"23 坂戸店","P_1.00","1,054.0","187","87","381","53,781","10,256,198","36.1%","46.6%","19.1%","128.9%","22,646"
"24 花園店","P_1.00","1,139.3","168","86","350","58,082","11,350,642","30.7%","50.8%","19.5%","165.2%","25,489"
"25 杉戸店","P_1.00","1,109.5","166","40","373","29,070","7,846,642","33.7%","23.9%","27.0%","71.1%","12,014"
"26 羽生店","P_1.00","1,064.8","199","46","218","30,030","4,872,600","20.5%","23.0%","16.2%","112.2%","11,487"
"27 千葉みなと店","P_1.00","805.8","213","74","285","54,494","11,710,164","35.4%","34.7%","21.5%","98.1%","18,105"
"28 浜野店","P_1.00","1,129.3","189","69","327","50,237","10,628,879","28.9%","36.4%","21.2%","125.8%","19,156"
"29 佐倉店","P_1.00","1,230.1","195","88","413","58,833","11,684,635","33.6%","45.3%","19.9%","135.0%","23,530"
"30 S東金店","P_1.00","834.2","186","111","304","72,426","13,348,764","36.4%","59.4%","18.4%","163.3%","31,448"
"32 旭店","P_1.00","929.1","187","43","233","29,532","7,546,410","25.1%","23.2%","25.6%","92.8%","11,555"
"33 妙典駅前店","P_1.00","860.2","133","47","322","35,991","8,267,418","37.4%","35.1%","23.0%","93.9%","18,909"
"34 ＷＡＫＯ鹿島店","P_1.00","669.1","215","90","198","50,350","11,567,732","29.6%","41.7%","22.4%","140.6%","21,449"
"35 神栖店","P_1.00","849.1","176","57","266","34,462","8,382,466","31.3%","32.4%","23.8%","103.6%","16,538"
"36 立川店","P_1.00","783.1","139","39","291","24,864","5,202,905","37.2%","28.1%","20.0%","75.7%","15,078"
"37 新小岩店","P_1.00","1,593.3","247","91","476","53,328","11,330,047","29.9%","36.9%","20.5%","123.5%","19,133"
"38 八王子北野店","P_1.12","1,055.8","48","14","364","12,087","2,578,673","34.4%","28.6%","20.5%","83.2%","17,080"
"40 錦糸町店","P_1.00","703.3","158","64","251","37,631","6,425,682","35.7%","40.4%","16.4%","113.1%","20,984"
"41 座間店","P_1.00","759.3","253","89","330","61,148","13,623,718","43.5%","35.3%","22.3%","81.1%","18,356"
"42 平塚駅前店","P_1.00","997.7","197","62","365","43,509","9,802,110","36.5%","31.6%","22.5%","86.5%","16,908"
"43 上永谷店","P_1.00","724.2","129","45","302","31,519","7,266,250","41.7%","35.0%","23.1%","83.8%","18,257"
"44 姫路店　","P_1.02","902.8","201","60","311","33,442","6,709,377","34.5%","29.7%","19.9%","86.0%","14,552"
"45 新開地店","P_1.00","932.9","228","122","377","61,633","9,364,867","40.4%","53.5%","15.0%","132.4%","26,621"
"46 仙台東店","P_1.00","1,130.5","183","70","313","45,883","8,109,836","27.7%","38.1%","17.2%","137.7%","21,165"
"47 仙台泉店","P_1.00","961.3","167","81","319","53,676","11,388,798","33.1%","48.6%","20.9%","146.5%","26,763"
"48 福岡本店","P_1.00","1,959.4","200","96","769","52,543","13,229,398","39.3%","48.2%","23.4%","122.8%","25,690"
"49 筑紫野店","P_1.00","2,265.7","377","153","801","87,142","20,509,058","35.4%","40.6%","22.1%","114.9%","21,031"
"50 福重店","P_1.00","1,880.7","200","93","790","54,358","13,262,402","42.0%","46.5%","23.4%","110.6%","24,575"
"51 伊都店","P_1.00","1,663.7","239","77","630","45,822","10,877,174","37.8%","32.4%","22.8%","85.6%","17,343"
"52 飯塚店","P_1.00","1,901.4","311","124","684","62,168","15,686,640","36.0%","39.9%","23.7%","110.8%","20,033"
"53 中間店","P_1.00","1,163.9","204","87","450","44,034","9,180,003","38.7%","42.4%","19.4%","109.8%","21,374"
"54 門司店","P_1.00","585.9","202","67","174","32,527","8,141,401","29.8%","33.4%","23.5%","112.2%","16,459"
"55 松浦店","P_1.00","339.7","200","36","55","19,776","5,866,164","16.1%","17.9%","27.9%","111.3%","8,862"
"56 佐々インター店","P_1.00","1,431.1","198","116","521","58,032","12,136,471","36.4%","58.6%","18.4%","161.1%","30,031"
"57 大野店","P_1.00","602.6","197","62","137","33,976","7,616,762","22.8%","31.6%","20.9%","138.8%","15,937"
