"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"店舗平均","-","-","618","-","-","50,095","14,189,722","-","-","27.3%","-","25,289"
"2 渋川インター店","P_0.20","17.5","18","14","14","2,167","528,012","79.8%","79.8%","24.4%","100.0%","40,728"
"3 中之条店","P_0.20","43.0","25","13","27","1,475","380,090","62.6%","50.8%","25.8%","81.1%","24,920"
"5 前橋大利根店","P_0.20","104.0","68","49","62","7,205","1,813,326","60.1%","72.2%","25.2%","120.1%","37,774"
"6 ガーデン前橋店","P_0.20","47.0","27","13","23","273","58,547","49.4%","48.1%","21.5%","97.5%","23,566"
"10 倉賀野店","P_0.20","36.0","36","14","14","271","38,877","39.5%","39.5%","14.4%","100.0%","21,795"
"12 伊勢崎店","P_0.50","31.4","31","2","2","307","34,645","5.2%","5.2%","11.3%","100.0%","2,811"
"16 太田店","P_0.20","69.5","70","42","42","5,071","1,331,520","59.8%","59.8%","26.3%","100.0%","28,543"
"17 上越店","P_0.20","172.4","78","41","72","4,906","1,475,967","41.6%","52.9%","25.5%","127.2%","26,335"
"27 千葉みなと店","P_0.20","43.0","43","27","27","4,056","1,063,286","63.1%","63.1%","26.2%","100.0%","32,307"
"32 旭店","P_0.20","101.4","37","19","21","2,326","727,836","20.9%","51.2%","31.3%","244.5%","24,524"
"36 立川店","P_0.50","127.4","59","14","37","4,106","1,207,229","29.4%","22.9%","28.1%","78.1%","11,367"
"42 平塚駅前店","P_0.50","133.3","34","16","56","5,223","1,212,838","42.0%","47.8%","23.2%","113.7%","24,214"
"43 上永谷店","P_0.50","89.7","49","16","31","5,506","2,005,815","34.1%","32.0%","36.4%","94.0%","14,590"
"51 伊都店","P_0.20","80.0","80","38","38","4,755","1,585,575","47.9%","47.9%","30.0%","100.0%","24,674"
"55 松浦店","P_0.20","60.0","40","21","27","2,450","726,159","44.4%","51.9%","26.2%","116.9%","26,178"
