"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"店舗平均","-","-","25,024","-","-","18,285,886","2,244,296,005","-","-","11.5%","-","9,345"
"1 沼田店","S_21.74","1,061.3","228","97","361","209,485","34,361,977","34.0%","42.7%","16.4%","125.6%","10,610"
"2 渋川インター店","S_21.74","523.2","283","106","193","229,951","29,445,566","37.0%","37.4%","12.8%","101.2%","9,427"
"3 中之条店","S_21.74","901.3","150","36","327","75,234","9,051,960","36.3%","24.1%","12.0%","66.4%","5,870"
"4 前橋若宮店","S_21.74","1,527.2","195","74","554","182,348","24,945,193","36.3%","38.1%","13.7%","104.9%","10,391"
"5 前橋大利根店","S_21.74","1,857.0","492","175","774","374,135","54,018,696","41.7%","35.5%","14.4%","85.2%","8,937"
"6 ガーデン前橋店","S_21.74","2,051.8","419","158","763","334,269","34,322,499","37.2%","37.6%","10.3%","101.2%","9,430"
"7 富岡店","S_21.74","395.1","247","88","110","181,182","25,142,935","27.9%","35.5%","13.9%","127.2%","8,630"
"8 安中店","S_21.74","652.9","239","86","135","181,135","24,448,762","20.6%","35.8%","13.5%","173.5%","8,918"
"9 高崎本店","S_21.74","2,567.3","447","229","1,137","507,705","51,576,738","44.3%","51.2%","10.2%","115.6%","13,722"
"10 倉賀野店","S_21.74","1,126.4","334","130","430","272,693","36,759,411","38.2%","38.8%","13.5%","101.5%","9,776"
"11 金古店","S_21.74","1,533.7","367","144","660","311,387","38,223,693","43.0%","39.3%","12.3%","91.3%","9,927"
"12 伊勢崎店","S_21.74","1,891.6","339","91","733","200,187","23,333,219","38.8%","26.7%","11.7%","69.0%","6,780"
"13 大間々店","S_21.74","942.5","376","133","287","280,013","29,746,654","30.4%","35.4%","10.6%","116.4%","8,764"
"14 館林店","S_21.74","1,192.4","387","115","292","244,592","26,212,738","24.5%","29.6%","10.7%","120.9%","7,363"
"15 太田矢島店","S_21.74","2,247.0","345","125","807","279,060","31,846,763","35.9%","36.4%","11.4%","101.3%","9,253"
"16 太田店","S_21.74","2,828.9","564","205","1,016","408,182","20,198,590","35.9%","36.3%","4.9%","101.2%","9,150"
"17 上越店","S_20.00","1,703.3","600","187","559","326,644","48,186,801","32.8%","31.1%","11.1%","94.8%","8,176"
"18 上田店","S_21.74","2,088.7","382","112","677","197,676","2,336,900","32.4%","29.3%","0.7%","90.4%","7,277"
"19 S熊谷店","S_21.74","2,149.8","419","198","619","420,025","50,298,521","28.8%","47.2%","12.0%","163.9%","11,706"
"20 S鴻巣店","S_21.74","1,693.2","454","161","565","335,232","27,709,153","33.3%","35.5%","8.3%","106.5%","8,891"
"21 S上里店","S_21.74","1,598.8","399","129","407","275,975","34,589,217","25.4%","32.2%","12.5%","126.6%","8,023"
"22 入間店","S_21.74","2,537.4","436","124","746","274,744","30,483,346","29.4%","28.4%","11.1%","96.5%","7,284"
"23 坂戸店","S_21.74","1,765.0","379","174","618","348,095","43,563,021","35.0%","46.0%","12.5%","131.4%","11,211"
"24 花園店","S_21.74","1,762.6","398","164","419","350,107","49,060,414","23.8%","41.3%","14.0%","174.0%","10,259"
"25 杉戸店","S_21.74","1,612.2","344","98","531","213,456","35,011,523","33.0%","28.6%","16.4%","86.6%","7,271"
"26 羽生店","S_21.74","1,243.4","320","72","291","157,269","19,412,500","23.4%","22.5%","12.3%","96.1%","5,599"
"27 千葉みなと店","S_21.74","2,283.4","378","98","1,027","223,691","22,243,392","45.0%","26.0%","9.9%","57.7%","6,645"
"28 浜野店","S_21.74","2,276.7","325","151","906","321,834","34,292,652","39.8%","46.6%","10.7%","117.3%","12,078"
"29 佐倉店","S_21.74","1,983.4","307","141","622","297,180","34,327,977","31.4%","45.9%","11.6%","146.5%","11,671"
"30 S東金店","S_21.74","1,389.0","420","262","570","483,436","1,802,306","41.0%","62.3%","0.4%","151.8%","16,278"
"32 旭店","S_21.74","540.0","220","65","146","151,681","15,234,720","27.0%","29.7%","10.0%","109.9%","7,312"
"33 妙典駅前店","S_21.74","2,171.4","310","121","849","275,346","32,789,782","39.1%","39.2%","11.9%","100.1%","10,195"
"34 ＷＡＫＯ鹿島店","S_21.74","1,629.4","273","103","446","196,873","27,981,964","27.4%","37.8%","13.7%","138.4%","9,724"
"35 神栖店","S_21.74","2,256.4","372","162","764","299,995","42,893,141","33.8%","43.5%","13.7%","128.7%","11,402"
"36 立川店","S_21.74","2,182.0","408","111","770","210,810","16,319,339","35.3%","27.2%","6.5%","77.2%","7,139"
"37 新小岩店","S_21.74","2,099.3","278","99","802","190,186","31,183,379","38.2%","35.7%","15.5%","93.5%","9,333"
"38 八王子北野店","S_21.74","2,260.2","389","111","878","209,205","26,231,665","38.8%","28.4%","11.4%","73.2%","7,351"
"40 錦糸町店","S_21.74","2,204.9","381","218","979","386,478","32,469,759","44.4%","57.2%","7.1%","128.9%","14,825"
"41 座間店","S_21.74","1,791.0","356","102","877","225,116","27,228,196","49.0%","28.6%","12.1%","58.4%","7,400"
"42 平塚駅前店","S_21.74","1,651.4","379","128","605","299,937","37,140,109","36.6%","33.8%","12.4%","92.3%","8,954"
"43 上永谷店","S_21.74","1,344.0","250","56","470","130,302","16,787,584","34.9%","22.6%","12.9%","64.6%","5,972"
"44 姫路店　","S_21.74","1,698.9","390","151","643","283,725","26,060,461","37.8%","38.8%","8.9%","102.6%","9,664"
"45 新開地店","S_20.00","1,833.9","586","274","758","476,799","41,729,959","41.3%","46.7%","8.4%","113.0%","11,774"
"46 仙台東店","S_21.74","2,326.9","365","132","751","294,179","35,838,936","32.3%","36.1%","11.7%","111.7%","10,590"
"47 仙台泉店","S_21.74","2,542.3","372","146","911","322,470","34,929,952","35.8%","39.3%","10.4%","109.5%","11,459"
"48 福岡本店","S_21.74","4,110.6","519","214","1,470","396,033","49,640,535","35.7%","41.3%","10.8%","115.5%","10,535"
"49 筑紫野店","S_21.74","3,845.9","639","212","1,406","385,040","63,268,735","36.6%","33.2%","14.6%","90.7%","8,436"
"50 福重店","S_21.74","4,061.3","420","168","1,520","303,877","52,286,700","37.4%","39.9%","15.7%","106.6%","10,311"
"51 伊都店","S_21.74","2,032.3","360","95","773","180,105","32,473,737","38.0%","26.4%","16.5%","69.3%","6,684"
"52 飯塚店","S_21.74","2,560.9","560","162","944","287,853","41,353,617","36.9%","28.9%","12.5%","78.4%","7,266"
"53 中間店","S_21.74","2,488.8","336","132","906","233,626","35,124,222","36.4%","39.5%","13.3%","108.4%","10,078"
"54 門司店","S_21.74","700.0","221","57","176","103,605","18,273,807","25.2%","26.0%","16.0%","103.2%","6,429"
"55 松浦店","S_21.74","362.4","240","43","63","79,285","15,218,682","17.3%","17.9%","17.6%","103.7%","4,362"
"56 佐々インター店","S_21.74","2,030.4","464","200","702","361,659","70,147,568","34.6%","43.2%","17.4%","125.0%","10,637"
"57 大野店","S_21.74","623.8","217","56","142","110,343","24,422,138","22.8%","25.8%","20.7%","113.0%","6,734"
"58 佐世保南店","S_21.74","1,493.6","352","156","604","271,350","52,359,996","40.4%","44.2%","17.7%","109.4%","11,257"
"59 大村店","S_21.74","1,040.0","275","126","348","221,039","35,966,220","33.5%","45.7%","14.4%","136.5%","11,290"
"60 諫早店","S_21.74","2,215.6","480","159","786","282,628","46,247,485","35.5%","33.2%","14.4%","93.5%","8,204"
"61 長与店","S_21.74","803.8","349","145","375","260,555","44,915,768","46.7%","41.6%","15.1%","89.1%","10,479"
"62 女神店","S_21.74","1,350.4","479","194","446","337,899","64,991,934","33.0%","40.4%","17.1%","122.2%","9,893"
"63 大分本店","S_21.74","3,031.2","345","97","922","172,106","23,832,157","30.4%","28.1%","12.1%","92.5%","7,213"
"64 南大分店","S_21.74","1,845.6","366","146","663","249,078","32,485,333","35.9%","40.0%","11.1%","111.4%","9,973"
"65 日向店","S_20.00","1,105.0","376","150","358","232,888","29,910,019","32.4%","39.8%","10.1%","123.0%","9,974"
"66 都城店","S_21.74","2,379.0","439","114","829","196,925","30,712,219","34.9%","26.0%","13.7%","74.6%","6,396"
"67 大淀店","S_21.74","3,007.6","552","236","1,054","367,387","28,904,236","35.0%","42.7%","5.8%","121.8%","10,680"
"68 延岡店","S_20.00","1,100.5","394","166","372","254,660","30,612,770","33.8%","42.2%","9.6%","124.9%","10,469"
"69 松橋インター店","S_21.74","971.7","338","108","341","217,591","22,793,826","35.1%","31.9%","10.5%","90.7%","7,926"
"70 八代店","S_21.74","1,228.4","434","174","389","330,342","26,582,238","31.7%","40.1%","8.0%","126.4%","9,897"
