"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"店舗平均","-","-","4,082","-","-","1,305,756","223,932,813","-","-","16.5%","-","11,949"
"1 沼田店","S_5.49","224.2","41","21","89","14,303","1,599,247","39.7%","52.0%","11.2%","131.1%","12,981"
"2 渋川インター店","S_5.49","127.3","35","18","48","12,425","950,857","38.1%","51.4%","7.7%","135.1%","12,891"
"3 中之条店","S_5.49","192.2","24","11","81","7,638","1,332,219","42.2%","47.6%","17.4%","112.8%","11,209"
"4 前橋若宮店","S_5.49","123.5","16","7","45","5,148","1,168,167","36.2%","40.3%","22.7%","111.6%","10,310"
"5 前橋大利根店","S_5.49","199.2","76","39","99","28,142","4,796,333","49.7%","51.6%","17.0%","103.8%","13,025"
"6 ガーデン前橋店","S_5.49","274.1","70","34","106","23,606","3,533,156","38.9%","47.9%","15.0%","123.2%","12,036"
"7 富岡店","S_5.49","58.3","35","13","18","8,312","934,867","30.2%","37.2%","11.2%","123.4%","8,946"
"8 安中店","S_5.49","121.3","98","43","48","25,280","3,888,062","39.4%","44.1%","15.4%","111.9%","10,453"
"9 高崎本店","S_5.49","309.7","49","30","166","21,485","2,257,417","53.5%","61.4%","10.5%","114.8%","16,131"
"10 倉賀野店","S_5.49","115.9","54","26","65","17,681","2,792,989","56.2%","47.8%","15.8%","85.0%","11,619"
"11 金古店","S_5.49","131.2","48","25","71","17,538","2,851,884","54.1%","52.4%","16.3%","96.8%","13,257"
"12 伊勢崎店","S_5.49","207.6","77","37","105","24,404","4,158,610","50.5%","48.3%","17.0%","95.7%","11,844"
"13 大間々店","S_5.49","116.1","83","38","54","26,547","4,193,584","46.2%","45.8%","15.8%","99.1%","11,580"
"14 館林店","S_5.49","218.9","59","24","59","16,749","2,012,832","27.0%","40.4%","12.0%","149.6%","9,974"
"15 太田矢島店","S_5.49","261.2","42","22","119","15,788","2,285,947","45.6%","52.7%","14.5%","115.6%","13,322"
"16 太田店","S_5.49","239.2","90","44","113","28,421","3,357,516","47.2%","48.4%","11.8%","102.5%","12,127"
"17 上越店","S_5.62","193.0","79","38","77","24,469","4,295,050","39.6%","47.6%","14.7%","120.0%","12,300"
"18 上田店","S_5.43","222.0","26","9","70","6,318","1,038,770","31.6%","36.6%","16.0%","115.7%","9,353"
"19 S熊谷店","S_5.49","373.5","49","27","127","19,211","3,162,418","34.1%","56.3%","16.5%","164.9%","14,172"
"20 S鴻巣店","S_5.49","246.8","75","36","121","25,313","3,760,154","49.1%","47.8%","14.9%","97.4%","11,903"
"21 S上里店","S_5.49","351.8","120","51","129","34,436","4,017,377","36.6%","42.3%","11.7%","115.4%","10,450"
"22 入間店","S_5.49","203.9","88","33","61","22,780","2,349,749","29.7%","38.1%","10.3%","128.3%","9,663"
"23 坂戸店","S_5.49","167.6","59","30","76","20,629","2,493,611","45.2%","51.1%","12.1%","113.1%","12,538"
"25 杉戸店","S_5.49","244.5","84","31","101","21,046","3,391,211","41.4%","37.4%","16.1%","90.3%","9,497"
"26 羽生店","S_5.49","318.9","80","24","104","17,048","2,658,908","32.7%","30.2%","15.6%","92.6%","7,499"
"27 千葉みなと店","S_5.49","315.3","165","93","176","57,924","9,833,825","55.7%","56.5%","17.0%","101.5%","14,025"
"28 浜野店","S_5.49","412.5","84","47","192","33,381","4,216,210","46.7%","55.4%","12.6%","118.7%","14,304"
"29 佐倉店","S_5.49","293.9","35","23","134","16,358","2,261,307","45.8%","64.9%","13.8%","141.8%","16,398"
"30 S東金店","S_5.49","185.9","47","31","82","22,072","4,142,824","44.1%","66.3%","18.8%","150.3%","17,148"
"32 旭店","S_5.49","178.8","39","15","54","10,798","1,867,268","30.4%","39.4%","17.3%","129.5%","9,257"
"33 妙典駅前店","S_6.25","208.8","54","28","104","22,405","2,863,870","49.7%","51.8%","12.8%","104.2%","13,378"
"34 ＷＡＫＯ鹿島店","S_5.49","215.6","31","10","69","6,995","1,590,140","32.1%","32.9%","22.0%","102.4%","8,389"
"35 神栖店","S_5.49","134.6","30","14","46","8,679","1,302,883","34.1%","46.8%","14.1%","137.1%","11,939"
"36 立川店","S_5.49","500.0","76","23","229","16,062","4,464,342","45.8%","30.1%","26.6%","65.9%","7,949"
"38 八王子北野店","S_6.25","360.3","92","32","136","23,604","4,895,960","37.8%","34.4%","19.6%","90.9%","8,915"
"41 座間店","S_5.49","172.4","99","50","88","33,834","5,495,934","50.8%","50.7%","16.2%","99.8%","13,363"
"42 平塚駅前店","S_5.49","188.3","64","38","123","26,182","4,185,240","65.3%","59.0%","16.0%","90.4%","15,711"
"43 上永谷店","S_5.56","193.0","72","28","77","19,935","2,950,411","39.7%","39.4%","14.8%","99.2%","10,132"
"44 姫路店　","S_5.43","209.1","83","48","108","30,138","4,280,923","51.5%","57.2%","13.9%","111.0%","14,299"
"45 新開地店","S_5.49","407.6","114","55","196","35,749","7,039,951","48.0%","48.7%","19.4%","101.6%","12,445"
"46 仙台東店","S_5.49","28.0","28","16","16","12,198","1,698,641","55.8%","55.8%","13.2%","100.0%","16,721"
"47 仙台泉店","S_5.49","39.0","39","18","18","13,418","1,958,683","45.8%","45.8%","14.2%","100.0%","13,267"
"48 福岡本店","S_5.49","238.0","80","42","110","26,671","6,016,087","46.3%","52.4%","21.1%","113.3%","13,461"
"49 筑紫野店","S_5.49","318.0","108","53","112","33,292","7,048,026","35.3%","48.6%","19.7%","137.8%","12,609"
"50 福重店","S_5.49","525.6","60","30","253","19,221","4,289,327","48.1%","49.6%","21.1%","102.9%","12,847"
"51 伊都店","S_5.49","436.6","80","38","228","22,555","4,355,712","52.1%","47.9%","17.2%","91.8%","11,905"
"52 飯塚店","S_5.49","331.8","76","36","135","23,592","5,004,519","40.8%","47.1%","19.6%","115.3%","12,025"
"53 中間店","S_5.49","140.0","60","34","69","20,032","4,182,862","49.6%","56.3%","19.0%","113.5%","13,582"
"54 門司店","S_5.49","154.0","52","19","46","12,142","3,574,303","29.7%","36.9%","27.8%","124.4%","9,267"
"55 松浦店","S_5.49","94.3","77","18","22","11,839","3,466,282","22.9%","23.8%","27.2%","104.1%","6,012"
"56 佐々インター店","S_5.49","252.7","40","20","90","12,963","3,135,271","35.5%","50.5%","22.4%","142.0%","12,906"
"57 大野店","S_5.49","121.7","72","29","39","18,712","3,765,064","32.3%","40.5%","18.2%","125.3%","10,586"
"58 佐世保南店","S_5.49","115.7","36","18","53","11,982","2,386,759","46.1%","50.1%","18.6%","108.6%","13,294"
"59 大村店","S_5.49","134.0","57","23","51","14,787","3,518,404","37.9%","39.6%","22.2%","104.6%","9,947"
"60 諫早店","S_5.49","220.0","80","41","103","26,045","5,402,603","46.9%","51.7%","19.1%","110.2%","12,937"
"61 長与店","S_5.49","31.3","31","21","21","13,882","2,915,023","67.3%","67.3%","19.4%","100.0%","16,870"
