"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"店舗平均","-","-","4,091","-","-","1,564,036","269,908,769","-","-","16.6%","-","11,983"
"1 沼田店","S_5.49","224.3","41","22","90","17,307","1,939,538","40.1%","53.1%","11.2%","132.3%","13,186"
"2 渋川インター店","S_5.49","127.5","35","19","49","14,933","1,046,345","38.5%","52.2%","7.0%","135.5%","13,021"
"3 中之条店","S_5.49","192.3","24","11","82","9,211","1,389,142","42.8%","47.9%","15.1%","112.0%","11,360"
"4 前橋若宮店","S_5.49","123.5","17","7","46","6,214","1,315,617","36.9%","40.0%","21.2%","108.6%","10,316"
"5 前橋大利根店","S_5.49","199.3","76","39","100","33,642","5,781,871","50.2%","51.9%","17.2%","103.3%","13,080"
"6 ガーデン前橋店","S_5.49","274.2","70","34","108","28,394","3,554,656","39.4%","48.4%","12.5%","122.7%","12,162"
"7 富岡店","S_5.49","58.4","35","14","18","10,142","1,087,778","30.7%","38.4%","10.7%","124.8%","9,265"
"8 安中店","S_5.49","121.5","99","43","48","30,462","4,935,420","39.2%","43.9%","16.2%","112.0%","10,469"
"9 高崎本店","S_5.49","309.5","49","30","166","25,576","3,173,300","53.7%","60.4%","12.4%","112.7%","15,943"
"10 倉賀野店","S_5.49","115.9","53","26","66","21,270","3,071,411","56.6%","48.4%","14.4%","85.6%","11,828"
"11 金古店","S_5.49","131.2","48","25","71","20,656","3,248,351","54.3%","51.9%","15.7%","95.6%","13,214"
"12 伊勢崎店","S_5.49","207.6","77","37","106","29,216","4,897,045","50.9%","48.8%","16.8%","95.7%","11,919"
"13 大間々店","S_5.49","116.2","83","39","54","31,919","5,003,496","46.7%","46.3%","15.7%","99.2%","11,711"
"14 館林店","S_5.49","218.8","59","24","60","20,161","2,290,315","27.3%","40.9%","11.4%","149.8%","10,192"
"15 太田矢島店","S_5.49","261.4","42","22","120","19,004","3,113,689","46.1%","52.9%","16.4%","114.8%","13,346"
"16 太田店","S_5.49","239.4","90","44","114","34,314","4,217,693","47.5%","48.4%","12.3%","101.7%","12,200"
"17 上越店","S_5.62","193.0","79","38","77","29,327","5,436,950","40.1%","47.8%","15.7%","119.3%","12,343"
"18 上田店","S_5.43","221.9","26","10","72","7,670","1,430,020","32.3%","38.1%","18.2%","118.2%","9,578"
"19 S熊谷店","S_5.49","376.0","49","28","130","22,960","3,399,067","34.5%","56.8%","14.8%","164.4%","14,379"
"20 S鴻巣店","S_5.49","244.4","73","34","120","28,919","4,596,149","49.1%","47.1%","15.9%","95.8%","11,727"
"21 S上里店","S_5.49","351.9","120","52","131","41,675","5,275,645","37.3%","43.1%","12.7%","115.7%","10,690"
"22 入間店","S_5.49","203.9","88","34","61","27,692","2,958,700","30.0%","38.8%","10.7%","129.4%","9,836"
"23 坂戸店","S_5.49","167.7","59","30","76","25,021","3,377,632","45.2%","50.9%","13.5%","112.8%","12,548"
"25 杉戸店","S_5.49","244.5","84","32","102","25,798","4,101,739","41.8%","38.7%","15.9%","92.6%","9,810"
"26 羽生店","S_5.49","318.8","80","25","106","20,611","3,296,683","33.2%","30.8%","16.0%","92.7%","7,618"
"27 千葉みなと店","S_5.49","315.6","166","94","176","69,558","12,149,781","55.6%","56.6%","17.5%","101.8%","14,071"
"28 浜野店","S_5.49","412.5","85","48","194","40,267","4,887,655","47.1%","56.4%","12.1%","119.7%","14,535"
"29 佐倉店","S_5.49","293.9","35","23","134","19,329","2,496,598","45.7%","64.5%","12.9%","141.3%","16,248"
"30 S東金店","S_5.49","185.8","47","31","82","26,107","5,040,505","44.2%","65.9%","19.3%","149.0%","17,005"
"32 旭店","S_5.49","178.6","39","16","54","13,071","2,084,150","30.5%","40.2%","15.9%","131.7%","9,475"
"33 妙典駅前店","S_6.25","208.7","54","28","104","26,908","3,889,495","49.9%","52.2%","14.5%","104.7%","13,503"
"34 ＷＡＫＯ鹿島店","S_5.49","215.5","31","10","70","8,242","1,947,471","32.3%","32.5%","22.9%","100.8%","8,328"
"35 神栖店","S_5.49","134.5","30","14","45","10,300","1,844,095","33.8%","46.7%","17.0%","138.1%","11,704"
"36 立川店","S_5.49","500.0","76","23","230","19,100","5,261,018","46.0%","30.2%","26.3%","65.6%","7,972"
"38 八王子北野店","S_6.25","360.3","92","32","137","27,971","6,027,817","38.0%","34.5%","20.4%","90.7%","8,878"
"41 座間店","S_5.49","172.4","99","51","87","40,350","6,315,390","50.8%","50.8%","15.7%","100.2%","13,384"
"42 平塚駅前店","S_5.49","188.4","64","38","123","31,443","5,086,487","65.4%","59.1%","16.2%","90.4%","15,758"
"43 上永谷店","S_5.56","193.0","72","28","76","23,417","3,268,789","39.2%","38.7%","14.0%","98.9%","10,008"
"44 姫路店　","S_5.43","209.1","83","48","109","36,442","4,928,253","52.2%","57.5%","13.2%","110.3%","14,391"
"45 新開地店","S_5.49","407.5","113","55","194","42,234","7,704,171","47.7%","48.2%","18.0%","101.1%","12,345"
"46 仙台東店","S_5.49","28.0","28","16","16","14,686","2,218,569","56.0%","56.0%","14.4%","100.0%","16,863"
"47 仙台泉店","S_5.49","39.0","39","18","18","16,092","2,301,688","45.5%","45.5%","13.9%","100.0%","13,143"
"48 福岡本店","S_5.49","238.0","80","42","110","32,191","7,568,754","46.3%","52.8%","22.1%","113.9%","13,513"
"49 筑紫野店","S_5.49","318.0","108","53","112","40,161","8,271,931","35.4%","49.2%","19.2%","139.1%","12,704"
"50 福重店","S_5.49","525.5","60","30","252","22,912","4,557,937","48.0%","49.4%","18.7%","102.8%","12,825"
"51 伊都店","S_5.49","436.5","80","38","227","27,162","5,505,817","52.0%","47.9%","18.2%","92.0%","11,922"
"52 飯塚店","S_5.49","331.8","76","35","134","27,880","6,034,021","40.3%","46.3%","20.0%","115.0%","11,795"
"53 中間店","S_5.49","140.0","60","34","70","24,371","5,290,133","50.3%","56.7%","19.8%","112.8%","13,702"
"54 門司店","S_5.49","154.0","52","19","45","14,401","4,000,078","29.3%","36.2%","26.1%","123.7%","9,179"
"55 松浦店","S_5.49","94.2","77","19","22","14,041","3,797,494","23.2%","24.2%","25.0%","104.4%","6,064"
"56 佐々インター店","S_5.49","252.3","39","20","89","15,364","3,881,917","35.4%","50.4%","23.4%","142.2%","12,801"
"57 大野店","S_5.49","121.6","72","29","39","22,424","4,492,902","32.3%","40.3%","18.1%","124.8%","10,578"
"58 佐世保南店","S_5.49","115.4","36","18","53","14,184","3,111,128","45.5%","49.4%","20.7%","108.6%","13,054"
"59 大村店","S_5.49","134.0","57","22","50","17,449","3,723,439","37.7%","39.4%","19.8%","104.6%","9,947"
"60 諫早店","S_5.49","220.0","80","41","103","31,452","6,846,031","46.8%","51.5%","20.1%","110.0%","12,955"
"61 長与店","S_5.49","31.2","31","21","21","16,303","3,071,964","66.8%","66.8%","17.2%","100.0%","16,699"
"62 女神店","S_5.49","130.0","80","36","48","26,372","6,954,300","36.8%","44.7%","24.2%","121.6%","10,782"
"63 大分本店","S_5.49","402.6","86","42","155","32,088","7,560,155","38.5%","49.2%","21.8%","127.6%","12,446"
"64 南大分店","S_5.49","193.0","35","17","80","13,467","3,213,662","41.7%","49.7%","22.7%","119.2%","12,208"
"65 日向店","S_5.49","170.0","34","15","57","12,339","2,356,143","33.6%","45.0%","16.7%","133.7%","11,484"
"66 都城店","S_5.49","174.8","73","33","66","24,856","5,817,460","37.5%","44.7%","22.2%","119.2%","11,042"
"67 大淀店","S_5.49","389.7","78","41","169","32,195","6,097,724","43.3%","52.9%","17.7%","122.1%","13,432"
"68 延岡店","S_5.49","60.0","42","24","30","17,821","3,133,473","50.0%","56.3%","16.3%","112.7%","14,002"
"69 松橋インター店","S_5.49","64.0","64","31","31","22,959","1,985,480","47.7%","47.7%","8.6%","100.0%","11,646"
"70 八代店","S_5.49","125.0","41","18","49","14,046","1,246,642","38.9%","43.9%","8.9%","112.8%","11,005"
