"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"店舗平均","-","-","13,975","-","-","3,879,847","826,857,165","-","-","20.7%","-","19,506"
"1 沼田店","P_1.00","1,166.6","282","106","408","75,019","17,544,921","35.0%","37.6%","23.4%","107.4%","18,674"
"2 渋川インター店","P_1.00","564.4","124","48","213","37,858","8,694,739","37.7%","38.3%","23.0%","101.3%","19,559"
"3 中之条店","P_1.00","974.9","129","37","356","24,863","5,312,554","36.5%","28.7%","21.4%","78.5%","14,015"
"4 前橋若宮店","P_1.00","769.1","117","57","257","45,965","8,076,842","33.4%","48.7%","17.6%","145.9%","25,345"
"5 前橋大利根店","P_1.00","1,505.3","233","81","500","66,686","14,025,756","33.2%","34.9%","21.0%","104.9%","17,891"
"6 ガーデン前橋店","P_1.00","1,458.2","248","77","420","60,421","11,769,408","28.8%","31.1%","19.5%","108.0%","15,731"
"7 富岡店","P_1.00","338.1","178","72","109","54,932","10,377,377","32.2%","40.5%","18.9%","125.6%","20,572"
"8 安中店","P_1.00","481.9","202","61","112","53,074","9,350,706","23.1%","30.2%","17.6%","130.7%","16,327"
"9 高崎本店","P_1.00","1,220.9","132","71","491","58,021","10,142,100","40.2%","54.0%","17.5%","134.4%","28,699"
"10 倉賀野店","P_1.00","1,087.6","267","71","384","61,949","10,763,777","35.3%","26.5%","17.4%","74.9%","13,222"
"11 金古店","P_1.00","1,147.7","208","84","465","66,733","13,322,500","40.5%","40.4%","20.0%","99.8%","20,178"
"12 伊勢崎店","P_1.00","917.3","193","55","355","41,870","6,563,850","38.8%","28.5%","15.7%","73.6%","14,302"
"13 大間々店","P_1.00","1,469.3","241","95","490","72,881","14,028,365","33.3%","39.4%","19.2%","118.2%","19,840"
"14 館林店","P_1.00","905.9","195","62","228","49,041","11,420,741","25.1%","31.7%","23.3%","126.1%","15,848"
"15 太田矢島店","P_1.00","1,258.0","212","89","463","68,405","15,273,444","36.8%","41.9%","22.3%","113.8%","21,253"
"16 太田店","P_1.00","1,628.0","266","97","571","76,470","14,464,822","35.0%","36.5%","18.9%","104.3%","18,791"
"17 上越店","P_1.00","1,257.8","238","72","361","48,935","10,558,891","28.7%","30.2%","19.4%","105.2%","15,287"
"18 上田店","P_1.09","890.2","157","60","286","44,499","5,522,194","32.2%","37.9%","12.1%","117.8%","18,770"
"19 S熊谷店","P_1.00","1,236.5","240","113","350","92,736","17,658,716","28.3%","47.2%","19.0%","166.8%","24,257"
"20 S鴻巣店","P_1.00","1,221.6","222","62","307","51,847","9,039,513","25.1%","27.9%","17.4%","111.3%","14,154"
"21 S上里店","P_1.00","1,445.9","198","62","372","51,194","9,465,032","25.7%","31.4%","18.5%","122.2%","16,079"
"22 入間店","P_1.00","1,798.1","171","54","593","44,628","11,382,863","33.0%","31.7%","25.5%","96.1%","16,062"
"23 坂戸店","P_1.00","1,052.6","186","86","379","64,725","12,069,715","36.0%","46.5%","18.6%","129.1%","22,830"
"24 花園店","P_1.00","1,139.2","168","85","350","69,510","13,866,888","30.8%","50.6%","19.9%","164.6%","25,559"
"25 杉戸店","P_1.00","1,109.4","166","40","372","35,107","9,144,483","33.6%","24.4%","26.0%","72.7%","12,243"
"26 羽生店","P_1.00","1,064.9","199","45","217","35,913","5,857,800","20.4%","22.8%","16.3%","112.1%","11,561"
"27 千葉みなと店","P_1.00","806.3","214","74","285","65,052","14,174,153","35.3%","34.7%","21.8%","98.2%","18,097"
"28 浜野店","P_1.00","1,130.1","190","69","327","60,229","12,638,849","28.9%","36.4%","21.0%","126.0%","19,164"
"29 佐倉店","P_1.00","1,229.6","195","89","412","70,570","13,771,021","33.5%","45.7%","19.5%","136.3%","23,690"
