"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"店舗平均","-","-","634","-","-","60,837","17,068,140","-","-","27.0%","-","25,080"
"2 渋川インター店","P_0.20","17.6","18","14","14","2,569","634,572","79.2%","79.2%","24.7%","100.0%","40,547"
"3 中之条店","P_0.20","42.9","25","13","27","1,731","431,141","62.8%","51.4%","24.9%","81.8%","25,006"
"5 前橋大利根店","P_0.20","107.5","72","50","63","8,781","2,293,108","59.0%","70.0%","26.1%","118.8%","36,690"
"6 ガーデン前橋店","P_0.20","47.0","27","13","23","615","121,143","49.3%","47.5%","19.7%","96.3%","22,969"
"10 倉賀野店","P_0.20","35.9","36","17","17","808","197,096","46.2%","46.2%","24.4%","100.0%","23,843"
"12 伊勢崎店","P_0.50","31.6","32","2","2","518","60,510","6.2%","6.2%","11.7%","100.0%","3,281"
"16 太田店","P_0.20","69.3","69","42","42","6,043","1,592,153","60.0%","60.0%","26.3%","100.0%","28,715"
"17 上越店","P_0.20","172.6","79","41","71","5,816","1,680,479","41.1%","52.2%","24.3%","127.1%","26,062"
"27 千葉みなと店","P_0.20","43.0","43","27","27","4,824","1,258,134","62.3%","62.3%","26.1%","100.0%","31,931"
"32 旭店","P_0.20","101.5","38","19","21","2,763","872,462","20.6%","50.0%","31.6%","242.4%","24,202"
"36 立川店","P_0.50","127.5","60","14","37","4,986","1,473,131","29.1%","22.8%","28.2%","78.4%","11,506"
"42 平塚駅前店","P_0.50","133.4","34","17","56","6,258","1,469,284","42.1%","48.3%","23.5%","114.8%","24,444"
"43 上永谷店","P_0.50","89.7","49","15","30","6,519","2,221,940","33.8%","31.7%","34.1%","93.6%","14,630"
"51 伊都店","P_0.20","80.0","80","38","38","5,677","1,910,948","47.5%","47.5%","30.3%","100.0%","24,531"
"55 松浦店","P_0.20","60.0","40","21","27","2,928","852,039","44.5%","52.2%","25.6%","117.4%","26,385"
