"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"58 佐世保南店","S_21.74","1,493.4","352","153","601","322,253","64,655,689","40.2%","43.5%","18.5%","108.2%","11,086"
"59 大村店","S_21.74","1,040.0","275","125","344","263,583","43,627,681","33.0%","45.3%","14.6%","137.1%","11,202"
"60 諫早店","S_21.74","2,215.7","480","160","780","340,219","56,571,550","35.2%","33.3%","14.6%","94.6%","8,221"
"61 長与店","S_21.74","803.9","349","148","378","315,236","51,121,909","47.0%","42.3%","14.1%","89.9%","10,682"
"62 女神店","S_21.74","1,350.4","479","192","443","403,269","73,630,984","32.8%","40.1%","16.2%","122.2%","9,866"
"63 大分本店","S_21.74","3,031.0","345","97","922","206,271","26,734,831","30.4%","28.2%","11.2%","92.7%","7,236"
"64 南大分店","S_21.74","1,845.6","366","144","665","296,615","38,029,095","36.0%","39.5%","10.9%","109.6%","9,915"
"65 日向店","S_20.00","1,104.8","376","148","353","275,591","33,208,877","31.9%","39.4%","9.3%","123.6%","9,879"
"66 都城店","S_21.74","2,378.5","439","116","820","239,196","36,641,357","34.5%","26.3%","13.4%","76.4%","6,450"
"67 大淀店","S_21.74","3,007.7","552","235","1,045","438,506","31,374,886","34.8%","42.6%","5.1%","122.5%","10,643"
"68 延岡店","S_20.00","1,100.6","394","165","368","303,125","35,382,786","33.4%","41.9%","9.3%","125.2%","10,414"
"69 松橋インター店","S_21.74","971.4","337","105","336","257,079","27,860,739","34.6%","31.3%","10.8%","90.3%","7,785"
"70 八代店","S_21.74","1,228.5","435","173","386","396,439","36,952,346","31.4%","39.8%","9.3%","126.7%","9,799"
