"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"店舗平均","-","-","18,780","-","-","14,240,453","2,902,684,553","-","-","20.2%","-","11,071"
"1 沼田店","P_4.00","1,019.5","212","42","166","153,407","32,520,732","16.3%","19.8%","21.2%","121.2%","10,092"
"2 渋川インター店","P_4.00","489.4","249","40","95","159,178","29,870,188","19.3%","16.2%","18.8%","84.0%","8,647"
"3 中之条店","P_4.00","827.5","126","14","150","49,497","11,560,992","18.2%","11.0%","23.4%","60.4%","5,609"
"4 前橋若宮店","P_4.00","1,362.7","267","52","241","209,528","41,631,404","17.7%","19.5%","19.9%","110.0%","10,951"
"5 前橋大利根店","P_4.00","1,445.5","354","51","361","218,386","48,976,924","25.0%","14.5%","22.4%","58.2%","8,068"
"6 ガーデン前橋店","P_4.00","1,627.1","351","65","375","266,284","53,332,776","23.0%","18.5%","20.0%","80.4%","9,947"
"7 富岡店","P_4.00","474.3","274","46","61","161,323","26,741,124","12.9%","16.6%","16.6%","128.9%","8,470"
"8 安中店","P_4.00","747.9","268","33","52","141,120","24,124,392","7.0%","12.5%","17.1%","179.3%","6,927"
"9 高崎本店","P_4.00","2,172.5","367","121","547","465,853","64,817,100","25.2%","32.9%","13.9%","130.6%","18,349"
"10 倉賀野店","P_4.00","1,196.2","280","29","233","111,573","18,604,336","19.4%","10.5%","16.7%","53.9%","5,440"
"11 金古店","P_4.00","1,570.9","375","69","357","268,819","57,967,312","22.7%","18.3%","21.6%","80.7%","9,468"
"12 伊勢崎店","P_4.00","1,455.1","208","33","363","129,413","26,298,900","25.0%","16.0%","20.3%","64.1%","8,465"
"13 大間々店","P_4.00","965.6","326","50","133","186,054","39,637,444","13.8%","15.2%","21.3%","110.4%","7,865"
"14 館林店","P_4.00","932.9","237","42","122","170,984","33,576,864","13.1%","17.8%","19.6%","136.0%","9,826"
"15 太田矢島店","P_4.00","1,627.1","220","54","400","200,090","31,851,984","24.6%","24.4%","15.9%","99.5%","13,214"
"16 太田店","P_4.00","2,255.1","307","64","534","152,304","15,070,940","23.7%","20.7%","9.9%","87.5%","10,766"
"17 上越店","P_4.00","1,400.9","357","39","247","137,570","35,923,747","17.6%","10.9%","25.1%","61.9%","5,700"
"18 上田店","P_4.35","1,524.0","275","65","364","229,546","40,038,500","23.9%","23.6%","17.3%","98.9%","11,852"
"19 S熊谷店","P_4.00","1,556.3","318","91","217","346,524","72,006,908","13.9%","28.7%","20.8%","205.6%","14,889"
"20 S鴻巣店","P_4.00","1,173.3","301","61","235","247,754","55,712,152","20.1%","20.2%","22.5%","100.7%","10,738"
"21 S上里店","P_4.00","1,525.8","279","42","162","165,414","34,493,948","10.6%","15.2%","20.9%","143.2%","8,006"
"22 入間店","P_4.00","1,576.9","301","41","349","163,853","38,178,704","22.1%","13.7%","23.3%","62.1%","7,362"
"23 坂戸店","P_4.00","1,435.4","319","109","321","388,501","76,876,304","22.4%","34.2%","19.8%","153.1%","18,377"
"24 花園店","P_4.00","1,656.6","374","114","225","430,332","85,798,848","13.6%","30.7%","19.9%","225.8%","16,138"
"25 杉戸店","P_4.00","1,407.2","221","27","286","110,181","26,961,928","20.3%","12.0%","24.5%","59.1%","6,553"
"26 羽生店","P_4.00","844.2","200","24","82","94,186","24,410,400","9.7%","11.9%","25.9%","123.0%","6,513"
"27 千葉みなと店","P_4.00","1,881.1","290","32","509","131,284","31,372,860","27.1%","11.2%","23.9%","41.3%","5,935"
"28 浜野店","P_4.00","1,992.3","317","71","392","292,712","53,414,512","19.7%","22.4%","18.2%","114.0%","12,078"
"29 佐倉店","P_4.00","1,452.1","285","74","274","283,129","48,522,344","18.9%","26.1%","17.1%","138.3%","14,195"
"30 S東金店","P_4.00","1,316.2","300","111","301","407,882","34,800,440","22.9%","37.1%","8.5%","162.1%","20,138"
"32 旭店","P_4.00","447.8","222","18","63","69,533","13,467,780","14.0%","8.1%","19.4%","57.7%","4,043"
"33 妙典駅前店","P_4.00","2,021.8","142","39","515","165,597","29,269,772","25.5%","27.4%","17.7%","107.6%","15,137"
"34 ＷＡＫＯ鹿島店","P_4.00","1,073.2","318","100","183","309,495","58,430,184","17.0%","31.4%","18.7%","184.5%","16,418"
"35 神栖店","P_4.00","1,692.6","319","64","394","208,137","46,227,705","23.3%","20.0%","22.0%","85.9%","10,144"
"36 立川店","P_4.00","1,647.5","322","35","454","137,362","35,374,839","27.6%","10.8%","25.3%","39.0%","5,866"
"37 新小岩店","P_4.00","1,914.9","227","39","395","147,426","34,127,765","20.6%","17.3%","22.8%","83.7%","9,718"
"38 八王子北野店","P_4.00","1,821.4","88","13","454","50,930","13,690,638","24.9%","14.3%","26.6%","57.4%","7,620"
"40 錦糸町店","P_4.00","1,785.9","457","173","539","598,621","116,770,557","30.2%","37.9%","19.1%","125.6%","21,105"
"41 座間店","P_4.00","1,569.6","326","37","470","137,380","29,315,060","30.0%","11.4%","21.3%","37.9%","6,126"
"42 平塚駅前店","P_4.00","1,754.0","322","66","352","251,396","49,041,268","20.1%","20.5%","19.5%","102.1%","10,967"
"43 上永谷店","P_4.00","1,552.6","139","12","344","55,454","16,143,120","22.2%","8.9%","29.1%","40.0%","4,925"
"44 姫路店　","P_4.08","1,323.6","237","38","287","134,517","26,843,295","21.7%","16.1%","19.9%","74.3%","8,347"
"45 新開地店","P_4.00","1,205.2","410","144","292","473,175","73,117,745","24.2%","35.3%","15.4%","145.5%","18,623"
"46 仙台東店","P_4.00","1,832.5","257","69","406","282,466","52,027,664","22.1%","26.9%","18.3%","121.4%","15,654"
"47 仙台泉店","P_4.00","2,204.0","358","103","600","397,384","72,833,368","27.2%","28.7%","18.2%","105.3%","17,030"
"48 福岡本店","P_4.00","3,272.6","398","83","663","269,377","55,648,323","20.3%","20.8%","20.1%","102.5%","11,330"
"49 筑紫野店","P_4.00","2,842.1","638","136","623","421,470","92,299,407","21.9%","21.3%","21.3%","97.0%","11,260"
"50 福重店","P_4.00","2,498.6","320","84","553","273,627","68,379,836","22.1%","26.2%","24.6%","118.3%","14,290"
"51 伊都店","P_4.00","1,746.9","240","31","374","101,666","26,003,394","21.4%","12.9%","25.3%","60.5%","6,591"
"52 飯塚店","P_4.00","1,899.4","310","51","382","166,502","37,764,417","20.1%","16.5%","22.1%","82.1%","8,875"
"53 中間店","P_4.00","2,188.2","244","36","438","117,882","23,084,830","20.0%","14.8%","19.1%","73.8%","8,051"
"54 門司店","P_4.00","543.0","159","20","63","65,807","19,370,452","11.6%","12.3%","28.9%","105.8%","6,719"
"55 松浦店","P_4.00","239.2","159","11","14","39,229","11,630,213","5.9%","7.2%","29.4%","122.2%","3,722"
"56 佐々インター店","P_4.00","1,562.1","319","92","278","282,022","79,300,230","17.8%","28.7%","27.6%","161.3%","14,794"
"57 大野店","P_4.00","335.1","119","17","36","57,746","16,346,968","10.8%","14.6%","27.9%","135.4%","7,226"
"58 佐世保南店","P_4.00","1,154.7","252","71","271","230,445","63,755,922","23.5%","28.1%","27.2%","119.6%","14,951"
"59 大村店","P_4.00","760.0","200","58","148","179,456","36,080,128","19.5%","29.1%","19.5%","149.2%","15,977"
