"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"店舗平均","-","-","13,625","-","-","3,766,865","840,763,863","-","-","21.7%","-","19,293"
"1 沼田店","P_1.00","1,168.4","283","102","391","73,146","17,622,296","33.5%","35.9%","24.1%","107.3%","17,888"
"2 渋川インター店","P_1.00","565.1","125","47","200","38,273","9,103,457","35.3%","37.4%","23.8%","106.0%","19,089"
"3 中之条店","P_1.00","976.4","128","37","338","24,818","6,415,012","34.6%","28.6%","25.8%","82.5%","13,684"
"4 前橋若宮店","P_1.00","769.9","118","58","258","47,363","9,651,053","33.5%","49.6%","20.4%","147.7%","26,114"
"5 前橋大利根店","P_1.00","1,507.4","236","87","499","71,914","13,717,340","33.1%","36.7%","19.1%","111.1%","19,139"
"6 ガーデン前橋店","P_1.00","1,464.2","254","78","415","62,420","11,696,111","28.4%","30.7%","18.7%","108.1%","15,728"
"7 富岡店","P_1.00","311.2","151","66","103","49,913","9,983,234","33.2%","43.8%","20.0%","131.6%","22,041"
"8 安中店","P_1.00","482.6","203","58","109","50,832","10,146,904","22.5%","28.8%","20.0%","127.8%","15,262"
"9 高崎本店","P_1.00","1,240.7","140","77","506","63,210","12,835,000","40.8%","55.1%","20.3%","135.0%","29,375"
"10 倉賀野店","P_1.00","1,095.5","276","72","366","57,125","11,208,796","33.4%","26.2%","19.6%","78.4%","12,853"
"11 金古店","P_1.00","1,149.6","210","86","462","68,429","14,393,962","40.2%","41.1%","21.0%","102.1%","20,796"
"12 伊勢崎店","P_1.00","889.6","168","50","346","39,108","7,887,390","38.9%","29.9%","20.2%","76.8%","15,165"
"13 大間々店","P_1.00","1,468.4","240","94","490","72,395","14,063,585","33.4%","39.3%","19.4%","117.8%","19,962"
"14 館林店","P_1.00","910.6","200","67","232","51,608","11,331,150","25.5%","33.4%","22.0%","130.9%","16,816"
"15 太田矢島店","P_1.00","1,266.4","211","95","489","75,154","16,680,793","38.6%","45.0%","22.2%","116.5%","23,407"
"16 太田店","P_1.00","1,636.4","275","108","608","54,679","12,405,013","37.2%","39.2%","22.7%","105.6%","20,054"
"17 上越店","P_1.00","1,226.5","238","64","342","45,023","9,034,702","27.9%","26.9%","17.8%","96.4%","13,831"
"18 上田店","P_1.09","935.5","159","67","302","50,285","11,683,770","32.3%","42.0%","22.9%","130.1%","20,913"
"19 S熊谷店","P_1.00","1,242.0","248","114","369","92,685","20,519,284","29.7%","46.1%","22.1%","155.4%","23,007"
"20 S鴻巣店","P_1.00","1,227.5","209","61","304","51,851","12,882,468","24.8%","29.0%","24.8%","117.0%","14,699"
"21 S上里店","P_1.00","1,443.9","198","63","358","52,546","11,042,741","24.8%","32.1%","21.0%","129.4%","16,363"
"22 入間店","P_1.00","1,799.8","174","53","594","43,406","10,638,387","33.0%","30.3%","24.5%","91.7%","15,742"
"23 坂戸店","P_1.00","1,075.0","189","86","376","63,952","13,135,892","35.0%","45.5%","20.5%","130.1%","22,866"
"24 花園店","P_1.00","1,111.0","155","79","363","64,867","15,037,039","32.6%","50.9%","23.2%","155.9%","25,967"
"25 杉戸店","P_1.00","1,109.7","167","39","375","34,452","8,444,894","33.8%","23.2%","24.5%","68.7%","11,886"
"26 羽生店","P_1.00","1,076.0","199","47","225","36,985","8,753,600","20.9%","23.6%","23.7%","112.7%","12,259"
"27 千葉みなと店","P_1.00","819.5","226","75","296","63,247","14,376,670","36.1%","32.9%","22.7%","91.1%","17,042"
