"店舗名","アウト","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト支持率"
"店舗平均","-","-","60,865","-","-","39,873,536","6,771,463,456","-","-","16.5%","-","-"
"1 沼田店","-","3,708.5","763","258","1,069","485,110","85,344,287","28.8%","33.8%","17.6%","117.1%","-"
"2 渋川インター店","-","1,914.0","713","219","596","475,744","77,161,544","31.1%","30.8%","16.2%","98.8%","-"
"3 中之条店","-","3,132.5","455","107","960","172,342","34,608,965","30.7%","23.5%","20.1%","76.6%","-"
"4 前橋若宮店","-","4,034.3","598","191","1,202","478,334","76,377,374","29.8%","31.9%","16.0%","107.2%","-"
"5 前橋大利根店","-","5,698.8","1,209","398","1,960","781,022","133,603,835","34.4%","32.9%","17.1%","95.6%","-"
"6 ガーデン前橋店","-","5,785.7","1,094","324","1,782","745,081","108,901,783","30.8%","29.6%","14.6%","96.1%","-"
"7 富岡店","-","1,239.7","709","204","288","433,259","71,723,158","23.2%","28.8%","16.6%","124.3%","-"
"8 安中店","-","1,983.8","787","222","347","448,545","69,953,973","17.5%","28.2%","15.6%","161.6%","-"
"9 高崎本店","-","6,314.8","993","446","2,412","1,154,669","148,889,489","38.2%","44.9%","12.9%","117.6%","-"
"10 倉賀野店","-","3,793.0","980","277","1,177","518,199","76,863,451","31.0%","28.2%","14.8%","90.9%","-"
"11 金古店","-","4,889.9","999","311","1,698","710,308","121,358,218","34.7%","31.1%","17.1%","89.6%","-"
"12 伊勢崎店","-","4,335.0","718","237","1,612","473,286","50,125,262","37.2%","32.9%","10.6%","88.6%","-"
"13 大間々店","-","4,096.6","979","315","1,179","622,476","100,252,757","28.8%","32.1%","16.1%","111.7%","-"
"14 館林店","-","3,282.4","881","247","716","544,344","84,887,341","21.8%","28.0%","15.6%","128.3%","-"
"15 太田矢島店","-","5,264.2","816","318","1,962","686,759","103,730,215","37.3%","38.9%","15.1%","104.4%","-"
"16 太田店","-","6,588.5","826","319","2,315","349,416","10,567,541","35.1%","38.6%","3.0%","109.8%","-"
"17 上越店","-","4,935.8","1,346","356","1,327","602,717","127,658,930","26.9%","26.4%","18.5%","98.3%","-"
"18 上田店","-","4,681.4","836","253","1,576","534,430","80,426,850","33.7%","30.3%","14.7%","90.1%","-"
"19 S熊谷店","-","5,434.8","1,024","412","1,394","921,218","156,720,433","25.7%","40.2%","17.0%","156.8%","-"
"20 S鴻巣店","-","4,608.1","1,048","329","1,319","745,480","120,070,182","28.6%","31.3%","16.1%","109.5%","-"
"21 S上里店","-","4,957.7","994","288","1,103","597,100","93,234,660","22.2%","28.9%","15.6%","130.1%","-"
"22 入間店","-","6,666.6","996","238","1,985","520,187","87,430,288","29.8%","23.9%","16.8%","80.2%","-"
"23 坂戸店","-","4,604.8","944","391","1,450","875,519","144,512,511","31.5%","41.4%","16.5%","131.4%","-"
"24 花園店","-","4,950.0","895","359","1,196","922,322","154,049,737","24.2%","40.1%","16.7%","165.9%","-"
"25 杉戸店","-","4,969.0","812","188","1,532","412,007","78,236,740","30.8%","23.2%","19.0%","75.2%","-"
"26 羽生店","-","3,850.7","796","170","820","333,012","59,019,467","21.3%","21.4%","17.7%","100.5%","-"
"27 千葉みなと店","-","5,513.7","1,059","318","2,092","504,080","83,610,911","37.9%","30.1%","16.6%","79.3%","-"
"28 浜野店","-","6,239.2","915","318","1,834","739,337","112,155,841","29.4%","34.7%","15.2%","118.1%","-"
"29 佐倉店","-","5,427.4","822","314","1,570","697,965","98,282,433","28.9%","38.2%","14.1%","132.0%","-"
"30 S東金店","-","3,879.9","952","463","1,220","1,020,262","48,995,663","31.5%","48.6%","4.8%","154.5%","-"
"32 旭店","-","2,617.2","705","152","583","271,613","41,252,178","22.3%","21.6%","15.2%","96.7%","-"
"33 妙典駅前店","-","4,871.4","636","217","1,712","525,589","79,677,009","35.1%","34.2%","15.2%","97.3%","-"
"34 ＷＡＫＯ鹿島店","-","4,181.3","836","285","998","571,059","105,707,309","23.9%","34.1%","18.2%","143.0%","-"
"35 神栖店","-","5,448.9","894","280","1,533","580,616","112,396,953","28.1%","31.3%","18.9%","111.4%","-"
"36 立川店","-","5,233.6","1,002","199","1,737","411,015","84,498,862","33.2%","19.9%","19.6%","59.9%","-"
"37 新小岩店","-","6,251.1","748","228","1,883","436,123","95,700,089","30.1%","30.5%","21.3%","101.4%","-"
"38 八王子北野店","-","5,481.6","616","155","1,792","324,867","58,295,793","32.7%","25.2%","17.1%","77.0%","-"
"40 錦糸町店","-","4,987.6","997","398","1,797","1,058,836","189,285,052","36.0%","40.0%","17.2%","110.9%","-"
"41 座間店","-","4,290.1","1,030","246","1,662","487,600","86,660,537","38.7%","23.9%","17.8%","61.6%","-"
"42 平塚駅前店","-","4,754.5","993","323","1,486","714,828","119,873,108","31.2%","32.5%","16.8%","104.1%","-"
"43 上永谷店","-","3,924.8","638","145","1,184","258,680","49,657,001","30.2%","22.7%","19.2%","75.2%","-"
"44 姫路店　","-","4,162.7","912","284","1,316","517,504","83,223,186","31.6%","31.2%","15.9%","98.5%","-"
"45 新開地店","-","4,385.2","1,337","565","1,581","1,108,419","153,441,363","36.1%","42.3%","13.7%","117.3%","-"
